Proto-Germanic	German	probability
β_ɑ̃_#>	b̥_#>	1.0
β_ɑ	b̥	1.0
β	b	1.0
ˈɔː_θ	ˈuː_t	1.0
ˈɑ_ɣ	ˈaː_ɡ	1.0
ˈɑ_t	ˈa_s	1.0
ˈɑ_r	ˈa_ɐ	1.0
ˈɑ_nː	ˈɛ_n	1.0
ˈu_r	ˈʊ_ɐ	1.0
ˈu_n	ˈoː_n	1.0
ˈu_l	ˈɔ_l	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈɔʏ̯	1.0
ˈi_n	ˈɪ_n	1.0
ˈe_k	ˈɪ_ç	1.0
ɸ_ɑ	f	1.0
ɸ_#>	f_#>	1.0
ɣ_j	k	1.0
ɣ	ɡ	1.0
ɡ	-	1.0
ɛː	-	1.0
ɔː_#>	ə_#>	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː_n	n	1.0
ɑ_ɣ	ɪ_ç	1.0
ɑ_n	ə_n	1.0
ɑ_l	l	1.0
ŋ_ɡ	ŋ	1.0
ð_ɛː	t_ɐ	1.0
ð_ɑ̃_#>	t_#>	1.0
ð_ɑ	t	1.0
ð_i	t	1.0
ð	t	1.0
z	ɐ	1.0
t_ɑ	s	1.0
t_i_z_#>	t_#>	1.0
s_ɑ̃_#>	s_#>	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
r_ɔː_#>	ɐ_#>	1.0
r_ɑ_z_#>	ɐ_#>	1.0
r_u_z_#>	ɐ_#>	1.0
r_t	ɐ_ʦ	1.0
r_n	ɐ_n	1.0
r_i_#>	ɐ_#>	1.0
p_ɑ	f	1.0
nː	n	1.0
n_ɑ̃_#>	n_#>	1.0
n_ɑ	n	1.0
n_i	n	1.0
n_d	n_d̥	1.0
n_#>	n_#>	1.0
m_ɑ_z_#>	m_#>	1.0
m_b	m	1.0
lː_ɑ_z_#>	l_#>	1.0
l_ˈɔː	l_ˈuː	1.0
l_ɑ_z_#>	l_#>	1.0
l_u	l	1.0
l_i	l	1.0
l	l	1.0
kʷ	-	1.0
k_i	x	1.0
i_z_#>	ə_#>	1.0
i_j	ə	1.0
i_#>	#>	1.0
e	-	1.0
d_u	d̥	1.0
d	t	1.0
<#_θ	<#_d	1.0
<#_ˈɑi̯	<#_ˈaɪ̯	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈi	<#_ˈɪ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ɸ	<#_f	1.0
<#_ɣ	<#_ɡ	1.0
<#_xʷ	<#_v	1.0
<#_w	<#_v	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_ʁ	1.0
<#_p	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_tʰ	1.0
<#_b	<#_b	1.0
#>	ə_#>	1.0
z_#>	#>	0.977
ɑ	-	0.953
n	n	0.875
i	-	0.875
ˈuː	ˈaʊ̯	0.857
ˈeu̯	ˈiː	0.833
j	-	0.818
ˈi	ˈɪ	0.812
<#_x	<#_h	0.806
r_#>	ɐ_#>	0.8
ˈɑi̯	ˈaɪ̯	0.778
ˈɛː	ˈaː	0.75
m	m	0.75
u	-	0.714
ˈɔː	ˈuː	0.667
ɣ_ɑ	ɡ̊	0.667
ɔ̃ː_#>	ə_#>	0.667
x_t	ç_t	0.667
x	-	0.667
s_#>	#>	0.667
p	f	0.667
k_ɑ_z_#>	ʃ_#>	0.667
<#_ˈu	<#	0.667
ˈɑ_x	ˈa_x	0.6
ŋ	ŋ	0.6
r_ˈi	ʁ_ˈɪ	0.6
d_ɑ	d̥	0.6
s	-	0.583
w	v	0.579
θ	d̥	0.571
<#_s	<#_ʃ	0.556
r	ʁ	0.541
ɔːː_#>	ə_#>	0.5
ɔːː_#>	#>	0.5
iː	ə	0.5
iː	-	0.5
ˈɑ	ˈa	0.486
ˈe	ˈɛ	0.462
r	ɐ	0.459
<#_s	<#_z	0.444
θ	d	0.429
w	-	0.421
t	s	0.421
s	z	0.417
ˈɑu̯	ˈoː	0.412
ˈɑu̯	ˈaʊ̯	0.412
ˈu	ˈɔ	0.412
ˈɑ_x	ˈɛː	0.4
ŋ	-	0.4
r_ˈi	ʁ_ˈaɪ̯	0.4
k	-	0.4
d_ɑ	d	0.4
t	t	0.368
ˈɔː	ˈyː	0.333
ɣ_ɑ	ɡ	0.333
ɔ̃ː_#>	#>	0.333
x_t	x_t	0.333
x	ŋ	0.333
s_#>	s_#>	0.333
p	p͡f	0.333
k_ɑ_z_#>	ç_#>	0.333
<#_ˈu	<#_ˈʊ	0.333
ˈɑ	ˈaː	0.324
ˈu	ˈʊ	0.324
k	k	0.3
u	ə	0.286
ˈɛː	ˈoː	0.25
m	n	0.25
ˈe	ˈeː	0.231
ˈɑi̯	-	0.222
t	ʦ	0.211
ˈu	ˈʏ	0.206
r_#>	#>	0.2
k	ç	0.2
<#_x	<#	0.194
ˈi	ˈiː	0.188
ˈɑu̯	ˈøː	0.176
ˈeu̯	ˈɪ	0.167
ˈuː	ˈuː	0.143
n	-	0.125
i	ç	0.125
ˈe	ˈɪ	0.115
ˈe	ˈiː	0.115
ˈɑ	ˈeː	0.108
k	x	0.1
j	ʁ_ə	0.091
j	j	0.091
ˈɑ	ˈɛ	0.081
ˈe	-	0.077
ˈu	ˈoː	0.059
