Dutch	Bavarian	probability
b	b̥	1.0
f	f	1.0
j	j	1.0
m	m	1.0
v̥	b̥	1.0
z̥	s	1.0
ŋ	ŋ	1.0
ə	-	1.0
ɦ	h	1.0
ʋ	ʋ	1.0
ˈyː	ˈai̯	1.0
ˈɑu̯	ˈo_j	1.0
ˈʏ	ˈu	1.0
k	x	0.271
ˈaː	ˈe	0.091
ˈaː	ˈɛ	0.101
ˈu	ˈuɐ̯	0.841
ˈɔ	ˈɔ	0.121
ˈɛi̯	ˈai̯	0.801
k	ç	0.222
n	n	0.902
p	p͡f	0.272
ˈaː	ˈɒ	0.052
ˈeː	ˈɛː	0.052
ˈɑ	ˈo	0.222
ˈɔ	ˈo	0.202
ˈɪ	ˈi	0.942
t	ʦ	0.283
ɫ	j	0.313
ˈeː	ˈe	0.103
ˈeː	ˈoɐ̯	0.133
ˈoː	ˈaː	0.23
ˈɑ	ˈɔ	0.093
d	t	0.164
n	m	0.054
s	s	0.464
v	f	0.934
z	s	0.824
ˈoː	ˈi	0.134
ˈoː	ˈoɐ̯	0.14
ˈɑ	ˈɒ	0.174
ˈɛ	ˈo	0.084
ˈɛ	ˈi	0.264
χ	-	0.234
d̥	t	0.215
d̥	d̥	0.785
t	t	0.225
ˈaː	ˈɒː	0.205
ˈaː	ˈoː	0.235
ˈi	ˈiɐ̯	0.335
ˈoː	ˈou̯	0.185
ˈœy̯	ˈau̯	0.955
ˈɑ	ˈoɐ̯	0.095
ˈɑ	ˈa	0.285
ˈɛ	-	0.155
ˈɛ	ˈɛ	0.25
d	d̥	0.836
s	ʃ	0.536
t	s	0.446
ɾ	a	0.126
ˈoː	ˈu	0.086
ˈɑ	ˈɒː	0.096
ˈɛ	ˈe	0.246
z	ʃ	0.137
ɫ	l	0.687
ɾ	ɐ	0.347
ɾ	r	0.517
ˈeː	ˈi	0.067
ˈeː	ˈɛ	0.17
ˈeː	ˈeː	0.367
ˈi	ˈai̯	0.317
ˈoː	ˈo	0.097
ˈɔ	ˈu	0.677
χ	x	0.147
p	f	0.728
ˈaː	ˈa	0.098
ˈeː	ˈai̯	0.108
ˈu	ˈiɐ̯	0.08
ˈɪ	ˈiː	0.058
k	kʰ	0.439
ˈaː	ˈɔ	0.219
ˈi	ˈiː	0.119
ˈi	ˈi	0.229
ˈoː	ˈe	0.09
ˈu	ˈeɐ̯	0.079
ˈɛi̯	ˈoɐ̯	0.199
χ	ɡ̊	0.619
