Standard Mandarin	Standard Mandarin	probability
⁵⁵	⁵⁵	1.0
⁵¹	⁵¹	1.0
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	ʐ̩	1.0
ʐ	ʐ	1.0
ʊ	ʊ	1.0
ʈ͡ʂʰ	ʈ͡ʂʰ	1.0
ʈ͡ʂ	ʈ͡ʂ	1.0
ʂ	ʂ	1.0
ɻ	ɻ	1.0
ɥ	ɥ	1.0
ɤ	ɤ	1.0
ɛ	ɛ	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ɔ	ɔ	1.0
ɑ	ɑ	1.0
ŋ	ŋ	1.0
³⁵	³⁵	1.0
²¹⁴	²¹⁴	1.0
z̩	z̩	1.0
y	y	1.0
x	x	1.0
w_⁵⁵	w_⁵⁵	1.0
w	w	1.0
u	u	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
n_j	n_j	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
e	e	1.0
a	a	1.0
