Alsatian	West Frisian	probability
ˈɛ	ˈɪə̯	1.0
ˈɒ_x	ˈai̯	1.0
ˈɒ_l	ˈɔː	1.0
ˈœ	ˈɪə̯	1.0
ˈøi̯	ˈuː_z	1.0
ˈø	ˈu	1.0
ˈu_ʁ	ˈoə̯	1.0
ˈo_ʁ	ˈoə̯	1.0
ˈo	ˈɔ	1.0
ˈei̯	ˈɛ_j	1.0
ˈaː	-	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʁ_ˈoː	r	1.0
ə_ʁ	r	1.0
ŋ	ŋ	1.0
x	χ	1.0
w	v	1.0
s_ə	t_ə	1.0
p	p	1.0
n_s	s	1.0
n_d̥	n	1.0
m	m	1.0
l_b̥	l	1.0
l	l	1.0
kʰ	ʦ	1.0
j	-	1.0
h	h	1.0
eː	j_ɪ	1.0
e	ˈiː	1.0
d̥_ə	r	1.0
b̥	b	1.0
ə	ə	0.968
n	n	0.933
d̥	d	0.862
ɡ̊	ɡ	0.804
ʁ	r	0.801
f	f	0.79
ˈɒː	-	0.764
ʋ	ʋ	0.744
s	s	0.679
ˈæː	-	0.62
ˈæ	ˈɛ	0.589
ˈəi̯	-	0.533
ˈyː	ˈuː	0.523
ʃ	s	0.509
ˈeː	-	0.507
k	ɣ̥	0.5
k	k	0.5
i	ɪ	0.5
i	-	0.5
ˈɒ	ˈa	0.484
ˈyː	-	0.477
ˈəi̯	ˈiə̯	0.467
ˈʊː	ˈuə̯	0.451
ˈi	ˈɪ	0.434
ˈæ	-	0.411
t	d	0.391
ˈæː	ˈiə̯	0.38
ˈe	ˈɪ	0.372
ˈoː	ˈiə̯	0.365
ˈoː	ˈoə̯	0.325
ˈe	-	0.321
ˈe	ˈɛ	0.307
ˈu	ˈɔ	0.28
t	d̥	0.276
ˈʊː	ˈɪə̯	0.273
t	t	0.258
s	t	0.253
ˈiː	j	0.248
ˈeː	ˈɪə̯	0.247
ˈeː	ˈiə̯	0.246
ˈɒː	ˈa	0.236
ˈu	ˈu	0.222
f	p	0.21
ɡ̊	-	0.196
ˈu	ˈɪ	0.191
ˈɒ	-	0.183
ˈi	ˈi	0.179
ˈi	-	0.176
ˈɒ	ˈɔː	0.174
ʃ	s_k	0.174
ˈoː	ˈɪə̯	0.168
ʃ	k	0.166
ˈʊː	ˈoː	0.165
ʋ	v	0.159
ʃ	χ	0.15
ˈiː	ˈiə̯	0.146
ˈiː	j_ˈɪ	0.146
ˈiː	-	0.146
ˈoː	-	0.142
d̥	-	0.138
ˈiː	ˈiː	0.114
ˈʊː	-	0.111
ˈiː	j_ˈɔ	0.102
ˈɒ	ˈaː	0.099
ʋ	-	0.097
ˈi	ˈiː	0.092
ʁ	-	0.087
ˈu	ˈy	0.085
ˈu	ˈuː	0.085
ˈu	ˈyː	0.082
t	-	0.074
ˈi	ˈɔ	0.072
s	ɕ	0.068
ˈiː	ˈɔu̯	0.067
n	-	0.067
ʁ	ˈuə̯_r	0.063
ˈɒ	ˈɪə̯	0.06
ˈu	ˈɛː	0.056
