East Frisian Low Saxon	East Frisian Low Saxon	probability
χ_t	d̥	1.0
χ	ɡ̊	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɛə̯	ˈœː	1.0
ˈɔː_ɐ	ˈɒˀ	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈʌ_mˀ_s_d̥	1.0
ˈœy̯	-	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøː	-	1.0
ˈøy̯	ˈøː	1.0
ˈæːɪ̯	-	1.0
ˈæː_ɐ	ɐ	1.0
ˈyːʏ̯	ˈoˀ	1.0
ˈyː	-	1.0
ˈuːu̯	ˈuː	1.0
ˈoːo̯	-	1.0
ˈiːi̯	ˈiˀ	1.0
ˈeːe̯	-	1.0
ˈeː_v	w	1.0
ˈeː	-	1.0
ʊ	ˈoː	1.0
ɫ	l_ə	1.0
ɣ̊_#>	#>	1.0
ɑɪ̯	ə	1.0
ɐ_d̥_#>	ɐˀ_#>	1.0
ŋ_#>	#>	1.0
z̥_#>	s_#>	1.0
w	ʋ	1.0
v̥_#>	#>	1.0
v̥	w	1.0
t_v	ʦʰ	1.0
t_n	ð̞ˠ_ə	1.0
p_n	b̥_ə	1.0
p_#>	b̥_#>	1.0
o	ˈʌ	1.0
n_n	n_ə	1.0
n_d̥	nˀ	1.0
n_#>	#>	1.0
l_f	lˀ	1.0
l_d̥	lˀ	1.0
h	h	1.0
f_ˈøː	f	1.0
f	f	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_v	<#	1.0
<#_t	<#_ʦʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_h	<#_j	1.0
z	s	0.952
s	s	0.939
r	ʁ	0.917
d̥	ð̞ˠ	0.867
m	m	0.846
v	ʋ	0.824
l	l	0.818
ˈʊ	ˈu	0.8
ˈuː	ˈuˀ	0.8
ˈɑʊ̯	ˈoˀ	0.727
ɡ	ɡ̊	0.722
ɐ	ɐ	0.722
ˈɔ	-	0.714
k_#>	ɡ̊_#>	0.714
ˈiː	ˈiˀ	0.667
ŋ	ŋˀ	0.625
ˈʏə̯	-	0.6
ˈɛːɪ̯	-	0.6
ˈɑː	-	0.6
#>	ɐ_#>	0.6
ˈʏ	-	0.571
k	ɡ̊	0.526
t	d̥	0.515
ˈɑːɑ̯	ˈæ	0.5
ˈɑːɑ̯	-	0.5
ˈɑː_ɐ	ˈɑˀ	0.5
ˈɑː_ɐ	ˈɑ	0.5
ˈɑ	ˈæ	0.5
ˈoː	-	0.5
ɡ_n	ə	0.5
ɡ_n	w_ə	0.5
ˈʏ	ˈø	0.429
n	n	0.426
ˈɪ	ˈe	0.417
ˈʏə̯	ˈœ	0.4
ˈɛːɪ̯	ˈeˀ	0.4
ˈɑː	ˈɛ	0.4
d	d̥	0.4
#>	ˈoˀ_#>	0.4
ˈæɪ̯	ˈeˀ	0.375
ŋ	-	0.375
d	ʦʰ	0.371
ˈɛ	ˈɛ	0.333
ˈɛ	ˈe	0.333
ˈɛ	-	0.333
ˈɒː	ˈɔˀ	0.333
ˈɒː	-	0.333
ˈiː	ˈiː	0.333
t	ð̞ˠ	0.333
p	pʰ	0.333
p	b̥_ə	0.333
p	b̥	0.333
ˈæɪ̯	-	0.312
ɣ̊	ɡ̊	0.3
ɣ̊	j	0.3
ˈɪ	-	0.292
ˈɔ	ˈu	0.286
k_#>	#>	0.286
ɡ	-	0.278
n	ə	0.278
ˈɑʊ̯	-	0.273
ˈoː	ˈo	0.222
k	-	0.211
ˈʊ	ˈɔ	0.2
ˈɒː	ˈɔː	0.2
ˈɑ	ˈɑ	0.2
ˈɑ	-	0.2
ˈuː	-	0.2
ɣ̊	ˈɑˀ_j	0.2
ɣ̊	w	0.2
d	-	0.2
ˈæɪ̯	ˈyː	0.188
l	lˀ	0.182
v	w	0.176
ˈɪ	ˈɛ	0.167
ˈoː	ˈøˀ	0.167
ɐ	ɐˀ	0.167
k	ɡ̊_ə	0.158
m	-	0.154
ˈɒː	ˈæ	0.133
d̥	ə_ð̞ˠ	0.133
ˈɪ	ˈiˀ	0.125
ˈæɪ̯	ˈyˀ	0.125
ˈoː	ˈœˀ	0.111
ɐ	-	0.111
n	nˀ	0.111
n	n_ə	0.111
k	w	0.105
ˈɑ	ˈʌ	0.1
t	-	0.091
r	ʁ_ˈœˀ	0.083
t	ð̞ˠ_ə	0.061
s	ˈe_s	0.061
