Swedish	Zeelandic	probability
ˈœː	ˈʊə̯	1.0
ˈæː	-	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈiː	1.0
ʊ	n	1.0
ʈː	ɾ_t	1.0
ʈ	t	1.0
ʂ	s	1.0
ɵ	i	1.0
ɳ	ɾ	1.0
ɪ	-	1.0
ɡː	x	1.0
ɡ	x	1.0
ɖ	ɾ_d̥	1.0
ɔ	iː	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
v_ɛ	v_ə	1.0
tʰ	d	1.0
t	t	1.0
sː	n_z̥	1.0
rː	ɾ	1.0
r_a	ɾ_ə	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
k	k	1.0
jː	x	1.0
j_ˈʉː	ˈiː	1.0
h	ˈʊə̯	1.0
f	v	1.0
b	b	1.0
a	ə	1.0
ɛ	ə	0.898
r	ɾ	0.846
ˈiː	ˈi	0.827
v	ʋ	0.808
l	ɫ	0.801
s_k	s	0.753
tː	t	0.675
ɕ	k	0.669
ˈʏ	-	0.638
ˈoː	ˈɛː	0.63
s	z	0.621
ˈɪ	ˈɪ	0.615
ˈa	ˈɑ	0.609
ˈɑː	ˈɑ	0.591
lː	ɫ	0.574
d	d̥	0.566
ˈɔ	-	0.561
ˈɛ	ˈæ	0.553
ˈœ	-	0.553
ɧ	z	0.507
nː	n	0.503
ˈʊ	ˈɔ	0.5
ˈʊ	ˈu	0.5
ɧ	s	0.493
ˈɵ	-	0.457
ˈœ	ˈɔ	0.447
ˈɔ	ˈɔ	0.439
ˈøː	ˈʊə̯	0.432
ˈʉː	ˈyː	0.431
ˈɵ	ˈɔ	0.429
lː	d̥	0.426
ˈuː	ˈuː	0.419
ˈeː	ˈɪə̯	0.414
j	x	0.41
ˈɑː	ˈɛː	0.409
ˈɪ	ˈi	0.385
s	s	0.379
j	ˈɪə̯	0.378
ˈuː	-	0.363
ˈʏ	ˈʏ	0.362
nː	n_d	0.352
ˈʉː	ˈiː	0.336
ɕ	d	0.331
ˈøː	-	0.33
tː	x_t	0.325
ˈɛː	ɾ	0.309
ˈɛ	-	0.299
ˈeː	ˈæi̯	0.267
d	-	0.265
ˈɛː	ˈiː	0.257
s_k	s_x	0.247
ˈʉː	-	0.232
ˈoː	ˈøː	0.23
ˈɛː	-	0.222
ˈuː	ˈu	0.218
ˈɛː	ˈeː	0.212
j	ɫ	0.212
ˈeː	ˈeː	0.202
v	v	0.192
l	ɫ_ə	0.184
ˈiː	-	0.173
d	d	0.168
ˈøː	ˈuː	0.163
ˈa	ˈɛː	0.157
nː	n_ə	0.145
ˈoː	ˈɑ	0.14
ˈeː	ˈiːə̯	0.117
ˈa	ˈæ	0.115
ˈɵ	ˈʏ	0.113
ɛ	-	0.102
ˈøː	ˈɪə̯	0.075
ˈɛ	ˈæi̯	0.074
ˈɛ	ˈeː	0.074
r	-	0.073
ˈa	ˈɒː	0.06
ˈa	-	0.06
