Lengadocian	Lengadocian	probability
ˈy	ˈu	1.0
ˈu_l	ˈɔ_cː	1.0
ˈi_#>	#>	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_t	ˈa_i	1.0
ˈa_#>	ˈa_#>	1.0
ʎ	ɖː	1.0
ɾ_e	ɖː_u	1.0
ɲ_ɔ	ɲː_u	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ	-	1.0
ɔ_#>	#>	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð	t	1.0
y	u	1.0
w_#>	i_#>	1.0
s_ˈe	s_ˈɛ	1.0
s_ˈa	s_ˈa	1.0
s_k	s_k	1.0
s_#>	#>	1.0
p_l	p_j	1.0
p	p	1.0
nː	m_i	1.0
n_d	nː	1.0
m_u	m_u	1.0
lː	z_u	1.0
l_ɔ	l_a	1.0
l_#>	l_u_#>	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
j_ˈe	ˈe	1.0
j_s	ʃː	1.0
i	i	1.0
f_l	f_j	1.0
d	d	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.947
k	k	0.915
ˈi	ˈi	0.885
ˈa	ˈa	0.841
m	m	0.778
<#_ˈa	<#_ˈa	0.778
ɣ	ɡ	0.75
t	t	0.742
<#_a	<#_a	0.714
ɾ	r	0.7
u	u	0.7
ˈɔ	ˈɔ	0.682
n	n	0.677
ʦ	ʧ_i	0.667
#>	u_#>	0.637
ɲ	ɲː	0.6
l	ɖː	0.593
ˈɛ	ˈɛ	0.5
ˈa_w	ˈɔ	0.5
ˈa_w	ˈa_l	0.5
ʤ	ɟ	0.5
ɡ	ɡ	0.5
ɡ	ɟ	0.5
s	s	0.5
j	-	0.5
e_#>	ˈi_#>	0.5
e_#>	#>	0.5
w	u	0.471
b	v	0.471
b	b	0.471
ˈu	ˈu	0.444
ʧ	tː_u	0.444
ˈe	ˈɛ	0.423
ʀ	l	0.409
ɲ	ɲː_u	0.4
ˈe	ˈi	0.385
e	i	0.381
β	p	0.357
ʤ	-	0.357
ʧ	tː	0.333
ʦ	-	0.333
z	-	0.333
l	l	0.333
ˈɛ	ˈe	0.324
#>	i_#>	0.324
u	o	0.3
w	-	0.294
e	u	0.286
<#_a	<#	0.286
t	tː	0.258
n	n_t	0.258
ˈu	ˈɔ	0.25
ɣ	k	0.25
j	ˈe	0.25
j	j	0.25
e	-	0.238
ˈɔ	ˈo	0.227
ʀ	r	0.227
ʧ	-	0.222
z	z	0.222
z	j	0.222
z	d	0.222
<#_ˈa	<#_ˈo	0.222
β	b	0.214
ʀ	rː	0.182
ɾ	-	0.175
ˈa	ˈa_n	0.159
m	mː	0.148
β	r	0.143
β	a	0.143
β	-	0.143
ʤ	ɟː	0.143
s	sː	0.143
ɾ	a_r	0.125
ˈɛ	-	0.118
w	l	0.118
w	a	0.118
ˈi	ˈi_n	0.115
ˈe	i	0.115
ˈu	ˈo	0.111
s	i	0.095
e	a	0.095
ˈɔ	ˈɔ_l	0.091
ʀ	u	0.091
ʀ	-	0.091
ˈu	ˈɔ_n	0.083
ˈe	ˈe	0.077
m	m_u	0.074
l	j	0.074
s	ʧː	0.071
n	nː	0.065
ˈɛ	ˈi	0.059
b	-	0.059
ˈu	ˈɔ_r	0.056
ˈu	ˈo_n	0.056
f	fː	0.053
