Eastern Lombard	Eastern Lombard	probability
ˈɛ_l	ˈi_ʝ	1.0
ø	-	1.0
z_e	e	1.0
y	m	1.0
w	w	1.0
u	o	1.0
s_#>	θ_#>	1.0
r_k	ɾ_k	1.0
r_a	ɾ_a	1.0
r_#>	o_#>	1.0
p_j	ɟ͡ʝ	1.0
p	p	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
f_j	ˈi	1.0
f_#>	β_e_#>	1.0
e_r	ɾ_e	1.0
e_n	e_n	1.0
e_#>	#>	1.0
d_ˈi	ˈe_ɾ	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈe	<#_b_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
a	a	0.922
k	k	0.889
r	ɾ	0.864
ɡ	ɣ	0.846
ˈy	ˈu	0.818
n	n	0.793
ˈa	ˈa	0.776
l_#>	l_#>	0.75
ŋ	ŋ	0.714
ɲ	ɲ	0.667
o	o	0.667
b	b	0.647
l	l	0.643
<#	<#_b	0.643
ˈo	ˈo	0.636
t	t	0.604
ˈe_#>	ˈe_#>	0.6
ʋ	b	0.6
#>	o_#>	0.595
s	s	0.517
ˈi	ˈi	0.516
ˈɛ	ˈe	0.5
ʤ	x	0.5
ʤ	-	0.5
i	i	0.5
f	β	0.5
f	f	0.5
d	d	0.5
ˈu	ˈo	0.474
ˈɔ	w_ˈe	0.45
ʧ	x	0.429
ˈɛ	j_ˈe	0.409
ˈe_#>	#>	0.4
ʋ	β	0.4
z	x	0.375
e	e	0.375
d	ð	0.375
b	β	0.353
ˈe	ˈe	0.346
ɲ	n	0.333
o	-	0.333
j	-	0.308
ˈɔ	ˈo	0.3
ˈø	w_ˈe	0.3
i	e	0.3
e	-	0.292
ʧ	ʧ_e	0.286
ʧ	ɟ͡ʝ	0.286
ŋ	n	0.286
ˈe	j_ˈe	0.269
ˈu	w_ˈe	0.263
z	θ	0.25
z	-	0.25
t	ð	0.25
s	θ	0.25
l_#>	#>	0.25
j	ʝ	0.231
j	x	0.231
j	l	0.231
<#	<#_a	0.214
ˈø	ˈu	0.2
ˈø	ˈo	0.2
ˈø	w	0.2
i	-	0.2
ˈy	ˈo	0.182
ˈo	w_ˈe	0.182
l	ʝ	0.179
e	ɾ	0.167
ˈu	ˈo_n	0.158
ˈe	ˈi	0.154
ˈe	ˈe_n	0.154
ɡ	-	0.154
#>	ɾ_#>	0.151
ˈɔ	ˈu	0.15
<#	<#_o	0.143
s	e_s	0.133
ˈi	ˈe	0.129
z	ɟ͡ʝ	0.125
d	-	0.125
ˈa	ˈa_n	0.119
l	-	0.107
ˈu	ˈu	0.105
n	ɾ	0.103
n	-	0.103
ˈɔ	-	0.1
ˈø	x	0.1
ˈi	ˈi_n	0.097
ˈi	ˈe_ɾ	0.097
ˈi	j	0.097
ˈɛ	ˈi	0.091
ˈo	ˈu	0.091
ˈo	ˈa	0.091
r	-	0.091
#>	e_#>	0.087
t	ʧ	0.083
e	ˈe	0.083
e	b_e	0.083
ˈe	b_ˈe	0.077
l	o	0.071
ˈi	e	0.065
t	d	0.062
k	ˈe_ɣ	0.056
k	ɡ	0.056
