Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈɛ_j	1.0
ˈɛ_t	ˈɛ_k	1.0
ˈɔ̃	ˈu_ŋ	1.0
ˈu_a	ˈu_a	1.0
ˈi_#>	e_#>	1.0
ˈe_ʃ	z	1.0
ˈa_#>	ˈe_#>	1.0
ʦ	s	1.0
ʒ	ʤ	1.0
ʎ_ə	j_a	1.0
ʎ_#>	j_#>	1.0
ʎ	j	1.0
ʃ_#>	s_#>	1.0
ʁ_ə	e	1.0
ʁ_o	e_r	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ɛ̃	a_n	1.0
ɛː	a	1.0
ə_#>	#>	1.0
ɔ̃	-	1.0
ɑ̃	a_ŋ	1.0
ɑː	a_s	1.0
z	z	1.0
y	r_y	1.0
w_ˈɛ̃	ˈy_ɲ	1.0
w_ˈɛː	ˈu	1.0
u	u	1.0
p	p	1.0
o_#>	#>	1.0
o	u	1.0
n_a	ŋ_a	1.0
n	n	1.0
m	m	1.0
ĩ	i_ŋ	1.0
d	d	1.0
b	b	1.0
a_ð	a_r	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_l	1.0
v	v	0.939
f	f	0.92
ʁ	r	0.911
k	k	0.9
ˈa	ˈa	0.895
s	s	0.889
ˈaː	ˈa	0.8
w_ˈe	ˈø	0.75
ˈɑ̃	ˈa_ŋ	0.727
ˈi	ˈi	0.722
t	t	0.722
e	s	0.7
l	l	0.667
ˈo	ˈu	0.625
ˈɛ̃	ˈɛ_ŋ	0.6
j_ˈe	ˈɛ	0.6
j	-	0.588
ʃ	k	0.583
ˈɛ	ˈɛ	0.545
ð	r	0.526
ˈɔ	ˈɔ	0.5
ˈɔ	ˈu	0.5
ˈø	ˈɔ	0.5
ɛ	e	0.5
ɛ	-	0.5
ə	a	0.5
ɔ	u	0.5
ɔ	-	0.5
ˈɛ	-	0.455
i	a	0.429
ˈu	ˈy	0.417
ˈe	ˈɛ	0.407
ˈɛ̃	ŋ	0.4
ˈoː	ˈɔ	0.4
ə	e	0.4
j_ˈe	ˈe	0.4
ˈo	ˈy	0.375
ˈĩ	ˈi_ŋ	0.375
ˈĩ	ˈi_n	0.375
#>	t_#>	0.34
ˈu	ˈɔ	0.333
e	-	0.3
w	ˈu	0.286
w	-	0.286
i	i	0.286
i	-	0.286
ˈɑ̃	ˈa_n	0.273
ˈoː	ˈa_w	0.267
ˈø	ˈu	0.25
ˈø	-	0.25
ˈu	ˈu	0.25
ˈĩ	ŋ	0.25
w_ˈe	ˈɔ_k	0.25
l	j	0.25
ˈɛː	ˈe	0.235
ˈɛː	-	0.235
j	j	0.235
ˈe	ˈa	0.222
w	ˈø	0.214
w	w	0.214
ˈoː	ˈø	0.2
ˈaː	-	0.2
ˈe	ˈi	0.185
ˈe	ˈe	0.185
ˈɛː	ˈɛ	0.176
ˈɛː	ˈe_j	0.176
j	ˈe	0.176
ˈi	ˈe	0.167
t	s_t	0.167
ð	z	0.158
ð	-	0.158
ˈoː	-	0.133
ʃ	s	0.125
ʃ	-	0.125
ˈɛː	ˈɛ_j	0.118
ˈi	-	0.111
t	s	0.111
ˈa	ɡ	0.105
ð	ʤ	0.105
ə	ˈe	0.1
k	ʧ	0.1
ʃ	z	0.083
ʃ	k_ˈa	0.083
l	-	0.083
f	-	0.08
#>	s_#>	0.075
#>	l_#>	0.075
#>	e_#>	0.075
#>	d_#>	0.075
v	-	0.061
ˈɛː	ˈə	0.059
#>	ˈe_#>	0.057
#>	ɡ_#>	0.057
#>	n_#>	0.057
#>	j_#>	0.057
#>	a_#>	0.057
s	ʧ	0.056
s	-	0.056
ð	dː	0.053
