Standard Mandarin	Standard Mandarin	probability
ʨʰ	ʨʰ	1.0
ʨ	ʨ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	z̩	1.0
ʐ	z	1.0
ʊ	o	1.0
ʈ͡ʂʰ	ʦʰ	1.0
ʈ͡ʂ	ʦ	1.0
ʂ	s	1.0
ɥ	ɥ	1.0
ɤ_⁵¹	ɛ_²¹	1.0
ɤ_ɻ	ɚ	1.0
ɤ_ŋ	ə_n	1.0
ɤ	ɛ	1.0
ə	ə	1.0
ɕ	ɕ	1.0
ɑ	a	1.0
ŋ	ŋ	1.0
³⁵	²¹	1.0
z̩	z̩	1.0
x	x	1.0
w_ɔ	o	1.0
w	w	1.0
u	u	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i_ŋ	i_n	1.0
i	i	1.0
f	f	1.0
e	e	1.0
a_⁵⁵	a_²¹	1.0
a_⁵¹	a_²¹³	1.0
a	a	1.0
<#_n	<#_nʲ	1.0
<#_l	<#_n	1.0
<#_a	<#_ŋ_a	1.0
<#	<#_ŋ	1.0
⁵⁵	⁵⁵	0.917
²¹⁴	⁵³	0.906
o	ə	0.818
⁵¹	²¹³	0.774
y	y	0.75
ɛ	ɛ	0.333
ɛ	a	0.333
ɛ	-	0.333
y	-	0.25
⁵¹	²¹	0.226
o	-	0.182
²¹⁴	-	0.094
⁵⁵	²¹	0.083
