Proto-Germanic	Proto-Germanic	probability
θ_ɑ	d̥	1.0
ˈɛː	ˈɛː	1.0
ˈɑː	ˈɛː	1.0
ˈɑu̯	ˈʊə̯	1.0
ˈɑ_x	ˈɛː	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈu_ŋ	ˈu	1.0
ˈu_r	ˈʊə̯_ɾ	1.0
ˈĩː	ˈʏ	1.0
ˈiu̯	ˈiː	1.0
ˈi_j	ˈi	1.0
ˈeː	ˈiː	1.0
ˈeu̯	ˈiː	1.0
ɸ	v	1.0
ɣ_ɑ	x	1.0
ɣ	x	1.0
ɡʷ	ŋ	1.0
ɡ_ɑ	k	1.0
ɛː	ə	1.0
ɔ̃ː	ə	1.0
ɔːu̯	-	1.0
ɑ̃_#>	#>	1.0
ɑː	ə	1.0
ɑi̯	-	1.0
ŋ	ŋ	1.0
ð_ɑ	d̥	1.0
z_#>	#>	1.0
z	-	1.0
xʷ_ɑ	ˈiːə̯	1.0
x_t	x_t	1.0
w_ˈi	ʋ_ˈeː	1.0
u_n	ə_n	1.0
tː	t	1.0
t_ɑ	t	1.0
t	t	1.0
s_#>	#>	1.0
r_ɑ	ɾ	1.0
r_#>	ɾ_#>	1.0
pː	p	1.0
p	p	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
n_ɑ	ə_n	1.0
m_ɑ	m	1.0
lː	ɫ	1.0
kʷ	-	1.0
k_ɑ_z_#>	#>	1.0
k	k	1.0
jː	ˈæi̯	1.0
j_ɔ̃ː	ə	1.0
j	-	1.0
iː	-	1.0
i_ɸ	v̥	1.0
e_x	iː	1.0
e	ə	1.0
d_ɑ	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ɣ	<#_x	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
#>	ɾ_#>	1.0
l	ɫ	0.926
m	m	0.905
n	n	0.9
r	ɾ	0.889
ˈuː	ˈyː	0.846
ɔː	ə	0.833
i	-	0.833
d	d	0.8
ˈiː	ˈi	0.778
ð	d̥	0.643
ɔːː	ə	0.636
w	ʋ	0.633
θ	d	0.625
β_ɑ	ə_v̥	0.6
l_ɑ	ɫ	0.6
ˈi	ˈɪ	0.591
ˈɑi̯	ˈɪə̯	0.588
ɑ	ə	0.588
xʷ	ʋ	0.571
s_k	s_x	0.571
β	v	0.556
ˈɔː	ˈuː	0.538
ɡ	ŋ	0.5
ɡ	k	0.5
x	x	0.5
x	-	0.5
s	z	0.5
ˈu	ˈɔ	0.469
u	ə	0.444
u	-	0.444
ˈɑ	ˈɑ	0.436
xʷ	-	0.429
s_k	s	0.429
β_ɑ	v̥	0.4
l_ɑ	ə_ɫ	0.4
ɑ	-	0.392
ɔːː	-	0.364
ð	-	0.357
s	s	0.333
ˈɔː	-	0.308
w	-	0.3
ˈe	ˈæ	0.292
θ	d̥	0.25
ˈɑi̯	ˈæi̯	0.235
ˈi	ˈi	0.227
β	v̥	0.222
β	-	0.222
ˈiː	-	0.222
ˈe	ˈeː	0.208
ˈɑ	ˈɛː	0.205
d	d̥	0.2
ˈu	ˈʏ	0.188
ˈu	ˈøː	0.188
ˈi	-	0.182
ˈɑi̯	-	0.176
ˈe	-	0.167
ɔː	-	0.167
ˈɔː	ˈu	0.154
ˈɑ	ˈæ	0.154
ˈuː	-	0.154
s	z̥	0.13
θ	-	0.125
ˈe	ˈɪə̯	0.125
ˈe	ˈɛː	0.125
u	n	0.111
r	-	0.111
ˈɑ	ˈɒː	0.103
m	-	0.095
ˈu	ˈoː	0.094
ˈe	ˈɪ	0.083
i	ɾ	0.083
i	ɪ	0.083
l	l	0.074
w	w	0.067
ˈu	-	0.062
ˈɑ	ˈeː	0.051
ˈɑ	-	0.051
