Provençal	Provençal	probability
ˈɛ_ʀ	ˈɛ_rː	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_ʀ	r_t	1.0
ˈã	ˈa	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	tː	1.0
ʤ_e	d_i	1.0
ɲ_ɔ	ɲ_u	1.0
ɥ_ˈɔ	ˈɔ	1.0
ɥ_ˈe	ˈɔ	1.0
ɡ_l	ɟ	1.0
ɔ	a	1.0
w_ˈẽ	ˈo	1.0
v	v	1.0
ũ	u	1.0
u_l	u_l	1.0
s_ˈẽ	ʧ_ˈɛ	1.0
s_ˈe	s_ˈɛ	1.0
p	p	1.0
n_ˈa	n_ˈa	1.0
mː	tː_i	1.0
l_ɔ	lː_a	1.0
k_ɾ	k_r	1.0
j_ˈɛ	ˈe	1.0
j_ɾ	t_r	1.0
j_#>	#>	1.0
ĩ	i	1.0
ẽ	-	1.0
e_#>	#>	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.971
f	f	0.957
ɾ	r	0.929
w_ˈe	ˈɔ	0.9
n	n	0.889
k	k	0.872
s	s	0.812
t	t	0.8
ˈa	ˈa	0.795
ʀ	r	0.773
ɾ_e	r_u	0.75
e_s	s	0.75
ˈi	ˈi	0.727
ʤ	ɟ	0.722
i	i	0.714
b	b	0.704
ˈẽ	ˈɛ	0.692
ɲ	ɲ	0.667
d	t	0.667
ɡ	ɡ	0.6
l	j	0.6
ˈɛ	ˈe	0.593
#>	u_#>	0.57
ˈu	ˈɔ	0.556
ˈe	ˈɛ	0.533
s_#>	ʧ_e_#>	0.5
j_ˈe	ˈi	0.5
j_ˈe	ˈe	0.5
j_s	ʃː	0.5
j_s	ʃ	0.5
z	ʧ	0.429
ˈɛ	ˈɛ	0.407
ˈũ	ˈu	0.4
#>	e_#>	0.395
e	e	0.349
ŋ	n	0.347
ɲ	ɲ_u	0.333
d	d	0.333
ˈẽ	-	0.308
ˈũ	ˈɔ	0.3
ˈũ	ˈo	0.3
u	ˈɔ	0.3
u	u	0.3
z	d	0.286
z	-	0.286
i	-	0.286
ˈi	e	0.273
ɡ	k	0.267
l	l	0.267
ɾ_e	e	0.25
s_#>	u_#>	0.25
s_#>	#>	0.25
e_s	ʃ	0.25
ŋ	n_u	0.224
j	ʎ	0.222
j	c_u	0.222
e	i	0.209
ŋ	n_t	0.204
w	ˈɔ	0.2
u	ˈo	0.2
u	o	0.2
ˈu	ˈu	0.185
ˈe	u	0.167
ʤ	-	0.167
j	ˈe	0.167
j	j	0.167
ŋ	ŋ	0.163
e	u	0.163
w	lː_u	0.16
b	p	0.148
ʀ	r_n	0.136
ɡ	-	0.133
l	lː	0.133
w	l	0.12
e	a	0.116
ˈu	ˈo	0.111
ʤ	ʤ	0.111
n	nː	0.111
j	c	0.111
j	-	0.111
ˈe	ˈo	0.1
ˈe	ˈe	0.1
ˈe	-	0.1
w_ˈe	ˈo	0.1
w	l_u	0.1
t	tː_e	0.1
t	tː	0.1
ʀ	-	0.091
k	kː	0.085
w	ˈo	0.08
ˈa	ˈa_r	0.077
ˈa	-	0.077
ˈu	ˈɔ_r	0.074
ˈu	ˈo_r	0.074
b	p_e	0.074
b	bː	0.074
ɾ	-	0.071
e	-	0.07
s	ʧː	0.062
s	ʦː	0.062
s	ʦ	0.062
ŋ	-	0.061
w	v_e	0.06
w	l_e	0.06
w	j	0.06
ˈa	ˈa_tː	0.051
