Portuguese	Corsican	probability
b	b	1.0
d	d	0.932
d	n_d	0.068
ẽ	ˈɛ	0.664
ẽ	ŋ	0.336
f	f	1.0
i	-	0.563
i	i	0.195
i	e	0.133
i	u	0.062
ĩ	i	1.0
j	-	0.439
j	u	0.154
j	j	0.151
j	i	0.147
j̃	u	0.473
j̃	e	0.363
j̃	ˈɛ	0.164
k	k	0.816
k	kː	0.144
l	l	0.541
l	lː	0.459
m	m	0.92
m	-	0.061
n	n	0.865
n	nː	0.094
o	a	0.633
o	ˈɔ	0.367
õ	u	1.0
p	p	0.941
p	-	0.059
s	s	0.484
s	ʧ	0.275
s	ʦ	0.05
t	t	0.377
t	n_t	0.3
t	tː	0.168
t	d	0.087
u	u	0.886
u	-	0.104
ũ	-	1.0
v	v	0.803
v	-	0.052
w	w	0.551
w	-	0.107
w	j	0.089
w	l	0.088
w	u_l	0.084
w	u	0.081
w̃	n	1.0
z	-	0.512
z	z	0.366
z	ʧ	0.068
ð	t	0.728
ð	-	0.109
ð	d	0.09
ð	tː	0.05
ɐ	a	0.77
ɐ	-	0.158
ɐ̃	-	0.616
ɐ̃	u	0.182
ɐ̃	a	0.149
ɐ̃	m	0.054
ɔ	o	0.771
ɔ	-	0.229
ɡ	ɡ	0.843
ɡ	ŋ_ɡ	0.132
ɣ	k	0.467
ɣ	-	0.248
ɣ	ɡ	0.162
ɣ	kː	0.124
ɨ	e	0.559
ɨ	-	0.16
ɨ	u	0.156
ɨ	i	0.105
ɫ	l	0.913
ɫ	lː	0.087
ɲ	n	0.536
ɲ	ɲ	0.335
ɾ	r	0.638
ɾ	e	0.179
ɾ	-	0.091
ɾ	j	0.057
ʁ	r	0.737
ʁ	rː	0.162
ʁ	-	0.067
ʃ	s	0.332
ʃ	ʧ	0.294
ʃ	j	0.144
ʃ	z	0.065
ʃ	c	0.059
ʎ	ʎ	0.466
ʎ	c	0.23
ʎ	-	0.14
ʎ	r	0.106
ʎ	z	0.057
ʒ	ɟ	0.766
ʒ	ʒ	0.078
ʒ	ʤ	0.077
ˈa	ˈa	0.897
ˈa	-	0.053
ˈe	ˈɛ	0.495
ˈe	e	0.179
ˈe	ˈe	0.139
ˈe	ˈi	0.074
ˈe	ˈa	0.05
ˈẽ	ˈɛ	0.602
ˈẽ	ˈe	0.232
ˈẽ	ˈa	0.165
ˈi	ˈi	0.729
ˈi	ˈɛ	0.096
ˈi	e	0.093
ˈĩ	ˈi	0.84
ˈĩ	ˈɛ	0.16
ˈo	ˈɔ	0.711
ˈo	ˈo	0.191
ˈo	ˈu	0.085
ˈõ	ˈo	0.504
ˈõ	ˈɔ	0.412
ˈõ	ˈu	0.083
ˈu	ˈu	0.799
ˈu	ˈo	0.141
ˈũ	ˈu	1.0
ˈɐ	ˈa	0.404
ˈɐ	ˈe	0.259
ˈɐ	ˈɛ	0.25
ˈɐ	-	0.088
ˈɐ̃	ˈa	0.698
ˈɐ̃	ˈo	0.129
ˈɐ̃	-	0.118
ˈɐ̃	ˈɔ	0.055
ˈɔ	ˈɔ	0.758
ˈɔ	ˈo	0.177
ˈɔ	ˈa	0.065
ˈɛ	ˈɛ	0.582
ˈɛ	ˈe	0.418
ˈɨ	ˈɛ	1.0
β	p	0.701
β	v	0.203
β	-	0.095
