Yiddish	Alsatian	probability
a	ə	1.0
b	b̥	0.791
b	v	0.142
b	-	0.067
d	d̥	0.899
d	-	0.067
f	f	1.0
h	h	0.968
j	j	1.0
k	kʰ	0.461
k	k	0.424
k	ʃ	0.061
k	ɡ̊	0.054
l	l	1.0
m	m	0.965
n	n	0.63
n	ə	0.282
n	-	0.066
p	p͡f	1.0
s	s	0.891
s	ʃ	0.109
t	t	0.855
t	d̥	0.141
v	ʋ	0.874
v	w	0.109
z	s	1.0
ŋ	ŋ	1.0
ə	ə	0.795
ə	-	0.205
ɛ	ə	0.799
ɛ	-	0.201
ɡ	ɡ̊	0.494
ɡ	-	0.222
ɡ	j	0.216
ɡ	v	0.068
ɪ	i	1.0
ʀ	ʁ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈɒ	0.79
ˈa	ˈe	0.086
ˈa	ˈɒː	0.064
ˈa	ˈæ	0.06
ˈaɪ̯	ˈiː	0.477
ˈaɪ̯	ˈi	0.34
ˈaɪ̯	ˈei̯	0.133
ˈaɪ̯	ˈaː	0.051
ˈɔ	ˈoː	0.273
ˈɔ	ˈo	0.2
ˈɔ	ˈu	0.193
ˈɔ	ˈɒː	0.149
ˈɔ	ˈɒ	0.131
ˈɔ	ˈaː	0.054
ˈɔɪ̯	ˈyː	0.305
ˈɔɪ̯	ˈoː	0.223
ˈɔɪ̯	ˈʊː	0.21
ˈɔɪ̯	ˈo	0.059
ˈɛ	ˈe	0.445
ˈɛ	ˈæː	0.162
ˈɛ	ˈæ	0.139
ˈɛ	ˈeː	0.125
ˈɛ	ˈi	0.062
ˈɛɪ̯	ˈəi̯	0.673
ˈɛɪ̯	ˈeː	0.327
ˈɪ	ˈi	0.644
ˈɪ	ˈiː	0.24
ˈɪ	ˈeː	0.055
ˈʊ	ˈu	0.545
ˈʊ	ˈʊː	0.279
ˈʊ	ˈo	0.099
χ	ʃ	0.462
χ	x	0.304
χ	i_ʃ	0.173
χ	-	0.061
