Yiddish	Alsatian	probability
b	b̥	0.739
b	-	0.157
b	v	0.099
d	d̥	0.806
d	-	0.098
d	ʃ	0.085
f	f	1.0
h	h	0.928
h	-	0.073
j	j	1.0
k	kʰ	0.455
k	k	0.35
k	-	0.095
k	ɡ̊	0.054
k	ʃ	0.046
l	l	1.0
m	m	0.955
m	n	0.052
n	n	0.625
n	ə	0.242
n	-	0.099
p	p͡f	1.0
s	s	0.926
s	ʃ	0.071
t	t	0.747
t	d̥	0.223
v	ʋ	0.812
v	w	0.125
v	f	0.057
z	s	1.0
ŋ	ŋ	1.0
ə	ə	0.791
ə	-	0.204
ə_ʀ	ʁ	1.0
ɛ	ə	0.38
ɛ	-	0.19
ɡ	-	0.451
ɡ	ɡ̊	0.372
ɡ	j	0.088
ɡ	v	0.077
ɡ_ə	ə	1.0
ɪ	i	1.0
ʀ	ʁ	0.973
ʀ_ə	ʁ	1.0
ʁ	ʁ	0.501
ʃ	ʃ	1.0
ʎ	l	0.126
ʦ	ʦ	1.0
ʧ	ʃ	1.0
ˈa	ˈɒ	0.832
ˈa	ˈɒː	0.106
ˈa	ˈæ	0.052
ˈaɪ̯	ˈiː	0.597
ˈaɪ̯	ˈei̯	0.207
ˈaɪ̯	ˈi	0.191
ˈɔ	ˈo	0.242
ˈɔ	ˈoː	0.221
ˈɔ	ˈɒː	0.206
ˈɔ	ˈɒ	0.155
ˈɔ	ˈaː	0.08
ˈɔɪ̯	ˈyː	0.265
ˈɔɪ̯	ˈoː	0.252
ˈɔɪ̯	ˈʊː	0.152
ˈɔɪ̯	ˈo	0.087
ˈɔɪ̯	ˈøi̯	0.056
ˈɛ	ˈe	0.3
ˈɛ	ˈæ	0.203
ˈɛ	ˈæː	0.2
ˈɛ	ˈeː	0.119
ˈɛ	ˈɛ	0.077
ˈɛɪ̯	ˈəi̯	0.815
ˈɛɪ̯	ˈeː	0.151
ˈɪ	ˈi	0.635
ˈɪ	ˈiː	0.213
ˈɪ	ˈu	0.044
ˈɪ	ˈeː	0.041
ˈɪ	ˈei̯	0.04
ˈʊ	ˈu	0.382
ˈʊ	ˈʊː	0.367
ˈʊ	ˈo	0.115
ˈʊ	ˈøː	0.073
ˈʊ	ˈoː	0.055
χ	x	0.504
χ	ʃ	0.416
χ	i_ʃ	0.067
