Russian	Polish	probability
b	b	1.0
d	d	1.0
e	ɛ	1.0
k	k	1.0
kʲ	k	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
nʲ	ɲ	1.0
p	p	1.0
r	r	1.0
sʲ	ɕ	1.0
t	t	1.0
v	v	1.0
x	x	1.0
zʲ	ʑ	1.0
ɡ	ɡ	1.0
ʐ	ʐ	1.0
ˈɨ	ˈɨ	1.0
vʲ	f	0.191
ə	ɛ	0.151
ʂ	w̃_ʂ	0.911
ˈo	ɛ	0.131
dʲ	d	0.222
z	w̃_z	0.132
ɫ	l	0.072
mʲ	m	0.313
rʲ	ʂ	0.13
tʲ	ʨ	0.83
vʲ	v_j	0.153
ʨ	ʦ	0.643
ˈe	-	0.073
ˈi	ˈi	0.903
ˈɵ	ˈa	0.903
pʲ	p_j	0.054
ɪ	ˈɔ	0.114
ɪ	ɛ	0.364
ˈa	ˈa	0.214
ˈe	ˈa	0.234
ˈo	ˈɛ	0.134
ˈo	ˈu	0.134
ˈu	ˈu	0.184
ɐ	ˈɔ	0.705
ʦ	-	0.125
ʦ	ʦ	0.845
pʲ	p	0.946
ə	a	0.196
ə	ɔ	0.506
ɪ	j_ˈa	0.086
ˈa	a	0.786
ˈu	ˈɔ	0.816
j	ɨ	0.957
mʲ	m_j	0.687
rʲ	ʐ	0.87
s	s	0.987
tʲ	ɲ_ʨ	0.17
vʲ	v	0.657
ɪ	ˈɛ	0.227
ʨ	ʈ͡ʂ	0.357
ˈi	-	0.097
ˈo	ˈɔ	0.567
ˈɵ	ˈɛ	0.097
dʲ	ʥ	0.778
z	z	0.868
ɐ	ˈɛ	0.078
ɐ	ɔ	0.088
ɫ	w	0.928
ˈe	ˈɛ	0.608
ɐ	-	0.129
ə	-	0.109
ɪ	j	0.209
ʂ	ʂ	0.089
