Luxembourgish	Swabian	probability
#>	#>	0.945
<#	<#	1.0
b	b	0.968
d	d	1.0
e	i	1.0
f	f	0.956
h	h	1.0
j	j	1.0
k	ɡ	1.0
k_#>	#>	1.0
kʰ	kʰ	1.0
l	l	0.943
l	ɡ_l	0.055
m	m	0.896
m	ʕ_m	0.097
n	n	0.786
n	a	0.096
n_#>	#>	1.0
p	b̥	0.425
p	p͡f	0.24
p	b̥͡f	0.135
s	s	1.0
t	d	0.805
t	-	0.053
t	t	0.053
tʰ	d	1.0
v	ʋ	0.663
v	b	0.268
v	f	0.063
w	ʋ	1.0
z	s	0.946
z	ʃ	0.056
ŋ	ŋ	0.91
ŋ	n	0.084
ŋ_#>	#>	1.0
ɐ	ʌ	0.708
ɐ	-	0.22
ɕ	ç	0.444
ɕ	ɡ	0.354
ɕ	x	0.192
ɕ_#>	#>	1.0
ə	a	0.655
ə	-	0.262
ə	ɪ	0.057
ə_ʀ	ʁ	1.0
ɡ	ɡ	0.9
ɡ	-	0.099
ʀ	ʁ	0.959
ʃ	ʃ	0.962
ʑ	ɡ	0.491
ʦ	ʦ	1.0
ˈaː	ˈa	0.562
ˈaː	ˈao̯	0.163
ˈaː	ˈaː	0.127
ˈaː	ˈa_ʕ	0.05
ˈe	ˈu	0.377
ˈe	ˈeə̯	0.249
ˈe	ˈae̯	0.128
ˈe	ˈi	0.086
ˈe	ˈɪ	0.083
ˈeː	ˈɔe̯	0.642
ˈeː	ˈae̯	0.125
ˈeː	ˈeː	0.074
ˈeː	ˈɛ	0.074
ˈeː	ˈɛː	0.074
ˈeː_n	ˈɔe̯	0.491
ˈi	ˈeː	0.437
ˈi	ˈi	0.219
ˈi	ˈiː	0.142
ˈi	ˈɛː	0.142
ˈiə̯	ˈɛː	0.322
ˈiə̯	ˈɛ	0.28
ˈiə̯	ˈeə̯	0.213
ˈiə̯	ˈe	0.138
ˈiː	ˈi	0.206
ˈiː	ˈiː	0.179
ˈiː	ˈəi̯	0.179
ˈiː	ˈɛ	0.179
ˈiː	ˈɛː	0.121
ˈiː	ˈɔ	0.085
ˈiː_ɐ	ˈʌ	1.0
ˈo	ˈo	0.818
ˈo	ˈɔ	0.087
ˈo	ˈu	0.085
ˈoː	ˈɔː	0.428
ˈoː	ˈaː_ɡ	0.254
ˈoː	ˈoː	0.168
ˈoː	ˈaː	0.118
ˈoː_ɐ	ˈɔː	0.491
ˈu	ˈoː	0.301
ˈu	ˈuː	0.301
ˈu	ˈɔə̯	0.173
ˈu	ˈa	0.082
ˈu	ˈɔː	0.06
ˈuə̯	ˈɔː	0.226
ˈuə̯	ˈaː	0.209
ˈuə̯	ˈoː	0.209
ˈuə̯	ˈa	0.072
ˈuː	ˈo	0.574
ˈuː	ˈu	0.282
ˈæ	ˈɛ	0.922
ˈæɪ̯	ˈəi̯	1.0
ˈæːɪ̯	ˈəi̯	0.875
ˈæːɪ̯	ˈae̯	0.09
ˈæːʊ̯	ˈao̯	1.0
ˈɑ	ˈa	0.428
ˈɑ	ˈe	0.249
ˈɑ	ˈɪ	0.122
ˈɑ	ˈɔ	0.067
ˈɑ	ˈeː	0.052
ˈɑ_n	ˈaː	1.0
ˈɑɪ̯	ˈəi̯	0.455
ˈɑɪ̯	ˈae̯	0.318
ˈɑɪ̯	ˈo	0.108
ˈɑɪ̯	ˈi	0.057
ˈɔ	ˈao̯	0.5
ˈɔ	ˈo	0.5
ˈə	ˈi	0.708
ˈə	ˈae̯	0.104
ˈə	ˈɛ	0.091
ˈə	ˈɪ	0.079
ˈəɪ̯	ˈiə̯	0.349
ˈəɪ̯	ˈeː	0.298
ˈəɪ̯	ˈɛː	0.117
ˈəɪ̯	ˈiː	0.106
ˈəɪ̯	ˈao̯	0.072
ˈəʊ̯	ˈoː	0.611
ˈəʊ̯	ˈuə̯	0.224
ˈəʊ̯	ˈo	0.148
ˈɛ	ˈɛ	0.425
ˈɛ	ˈae̯	0.28
ˈɛ	ˈe	0.28
ˈɛː	ˈe	1.0
ˈɛː_ɐ	ˈɛ	1.0
ˈʊ	ˈuə̯	0.758
ˈʊ	ˈo	0.182
ˈʊɪ̯	ˈɔ	0.491
χ	x	0.75
χ	ɡ	0.25
