Neapolitan	Neapolitan	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɔ_k	ɡ	1.0
ˈo	ˈo	1.0
ʦː	-	1.0
ʦ	θ	1.0
ʤː	-	1.0
ʤ	ð	1.0
ʎː	j	1.0
ʃ_ə	z_e	1.0
ɾ_t	r_t	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_n	e_n	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈo	1.0
tː	t	1.0
t_ɾ	r	1.0
sː_ə_#>	s_#>	1.0
s_ə	z_a	1.0
s	s	1.0
rː	r	1.0
r	r	1.0
o	o	1.0
nː	n	1.0
m_ə	m_a	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_w	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ə	o	1.0
f	f	1.0
dː	t	1.0
d	d	1.0
b	b	1.0
a_w	o	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
#>	r_#>	1.0
ˈa	ˈa	0.957
k	k	0.882
u	o	0.8
ˈɔ	ˈɔ	0.786
ɾ	r	0.776
ˈe	ˈe	0.733
p	p	0.708
v	v	0.69
t	t	0.68
ˈi	ˈi	0.645
w	w	0.625
k_j	p_j	0.6
ʃ	θ	0.565
ˈɛ	ˈɛ	0.562
kː	ʧ	0.556
ə	a	0.521
n	ŋ	0.514
ʃː	θ	0.5
ʃː	s	0.5
mː	ŋ	0.5
mː	m	0.5
j	j	0.5
e	e	0.5
e	-	0.5
n	n	0.486
kː	k	0.444
ˈu	ˈu	0.4
ˈu	ˈo	0.4
ɲː	ɲ	0.4
ɲː	ŋ	0.4
k_j	ʧ	0.4
i	e	0.4
w	ˈo	0.375
ˈi	ˈe	0.355
i	-	0.333
t	d	0.32
ˈɛ	ˈe	0.312
j	-	0.3
ə	o	0.287
i	i	0.267
ˈɔ	ˈo	0.214
v	b	0.207
ɲː	ʤ	0.2
u	u	0.2
j	ð	0.2
ʃ	z	0.174
ʃ	s	0.174
p	v	0.167
ə	e	0.149
ˈe	ˈɛ	0.133
ˈe	-	0.133
ˈɛ	j_ˈe	0.125
p	-	0.125
k	ɡ	0.118
v	-	0.103
ˈu	ˈɔ	0.1
ˈu	-	0.1
ʃ	f_j	0.087
ɾ	d	0.082
ɾ	-	0.061
