Swiss German	Dutch	probability
b̥	b	0.638
b̥	f	0.192
b̥	v	0.15
d̥	d	0.509
d̥	t	0.325
d̥	-	0.166
f	v	0.738
f	p	0.188
fː	p	1.0
h	ɦ	0.894
h	-	0.076
i	ə	0.576
i	ɪ	0.285
i	-	0.139
j	j	1.0
k	k	1.0
kː	k	1.0
l	ɫ	0.97
m	m	0.916
m	-	0.084
mː	m	1.0
n	n	0.986
nː	n	1.0
p	p	0.753
p	f	0.247
p͡f	p	0.963
r	ɾ	0.906
r	-	0.073
rː	ɾ	1.0
s	z	0.607
s	s	0.22
s	t	0.126
sː	t	0.98
t	t	0.626
t	d	0.37
tː	-	0.731
tː	d	0.269
w	ɫ	1.0
æ	i	1.0
ŋ	ŋ	0.794
ŋ	n	0.206
ə	ə	0.916
ə	-	0.084
ɡ̊	χ	0.801
ɡ̊	-	0.107
ɡ̊	ŋ	0.07
ɡ̊ː	χ	1.0
ʃ	s	0.869
ʃ	z	0.114
ʃː	s	1.0
ʋ	ʋ	0.966
ʦ	t	0.959
ˈau̯	ˈoː	0.752
ˈau̯	ˈɑu̯	0.248
ˈe	ˈɛ	0.592
ˈe	ˈaː	0.313
ˈei̯	ˈeː	0.756
ˈei̯	ˈɛi̯	0.244
ˈeː	ˈeː	0.358
ˈeː	ˈi	0.28
ˈeː	w	0.2
ˈeː	ˈɛ	0.162
ˈi	ˈɪ	0.746
ˈi	ˈɛi̯	0.107
ˈi	ˈɛ	0.083
ˈiə̯	ˈi	0.763
ˈiə̯	ˈɪ	0.237
ˈiː	ˈɛi̯	0.762
ˈiː	-	0.092
ˈiː	ˈɪ	0.075
ˈiː	ˈi	0.071
ˈo	ˈoː	0.51
ˈo	ˈɔ	0.321
ˈo	ˈaː	0.126
ˈou̯	ˈoː	0.919
ˈou̯	ˈɔ	0.081
ˈoː	ˈoː	0.742
ˈoː	ˈaː	0.189
ˈoː	ˈɔ	0.069
ˈu	ˈɔ	0.839
ˈu	ˈoː	0.088
ˈu	ˈʏ	0.051
ˈuə̯	ˈu	1.0
ˈuː	ˈœy̯	0.763
ˈuː	ˈyː	0.136
ˈuː	ˈɔ	0.1
ˈy	ˈɛ	0.368
ˈy	ˈʏ	0.209
ˈy	ˈoː	0.2
ˈy	ˈi	0.12
ˈy	ˈeː	0.064
ˈyə̯	ˈu	1.0
ˈyː	ˈi	0.44
ˈyː	ˈyː	0.214
ˈyː	ˈœy̯	0.156
ˈyː	ˈeː	0.087
ˈyː	ˈɛi̯	0.052
ˈyː	ˈu	0.051
ˈæ	ˈɛ	0.49
ˈæ	ˈeː	0.264
ˈæ	ˈɑ	0.143
ˈæ	ˈaː	0.103
ˈæi̯	ˈɛi̯	0.637
ˈæi̯	ˈeː	0.363
ˈæː	ˈeː	0.461
ˈæː	ˈɑ	0.229
ˈæː	ˈaː	0.17
ˈæː	ˈi	0.14
ˈø	ˈʏ	0.647
ˈø	ˈɑ	0.195
ˈø	ˈaː	0.158
ˈøi̯	ˈeː	0.384
ˈøi̯	ˈoː	0.214
ˈøi̯	w	0.21
ˈøi̯	ˈɔ	0.193
ˈøː	ˈoː	1.0
ˈɒ	ˈɑ	0.741
ˈɒ	ˈaː	0.107
ˈɒ	ˈɑu̯	0.07
ˈɒ	ˈɛ	0.059
ˈɒː	ˈaː	0.746
ˈɒː	ˈɑ	0.254
ˈɛi̯	ˈɛi̯	0.546
ˈɛi̯	ˈeː	0.454
χ	k	0.703
χ	χ	0.257
