Northern Low Saxon	East Franconian	probability
ˈʏ_n	n	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈʊ_ɐ	1.0
ˈɔʏ̯_ç	ə	1.0
ˈœː	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈøː	-	1.0
ˈyː	ˈaɪ̯	1.0
ʒ	j	1.0
ʃ	ʃ	1.0
ɡ_n	ŋ	1.0
ə	ɐ	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ˈøː	s	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
n_ˈaɪ̯	n_ˈiː	1.0
n_n	n_a	1.0
l_d	l_d̥	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j	ɡ̊	1.0
i	ɡ̊	1.0
h	h	1.0
f	f	1.0
d_ˈɪ	d̥_ˈɪ	1.0
d_ˈyː	d̥_ˈaɪ̯	1.0
d_ˈaɪ̯	d̥_ˈiː	1.0
d_n	z̥_n	1.0
b_m	v̥_n	1.0
aɪ̯_n	eː	1.0
m	m	0.952
l	l	0.913
b	b̥	0.904
z	s	0.902
ˈiː	ˈaɪ̯	0.885
v	v	0.873
n	n	0.788
ˈa	ˈɒ	0.777
ˈuː	ˈaʊ̯	0.753
ˈʊ	ˈʊ	0.751
ˈʏ	ˈɪ	0.74
d	d̥	0.708
ˈaː	ˈɒ_l	0.667
ɪ	i	0.667
s	s	0.621
ˈɪ	ˈɪ	0.598
ɡ	ɡ̊	0.59
ˈeː	-	0.564
ˈoː	ˈoː	0.546
x	x	0.544
t	d̥	0.525
ˈaʊ̯	ˈuː	0.523
ˈaɪ̯	ˈaː	0.504
ˈaɪ̯	ˈiː	0.496
x	ɣ̊	0.456
ˈɔ	ˈɔ	0.444
ˈeː	ˈɛ	0.436
ˈɛ	ˈɛ	0.419
ˈɛ	-	0.409
ˈɔʏ̯	ˈiː	0.401
s	ʃ	0.379
ˈɔ	ˈʊ	0.333
ˈaː	ˈa	0.333
ɪ	ɪ	0.333
ç	ç	0.331
ˈɔʏ̯	-	0.308
ˈɔʏ̯	ˈeː	0.291
t	ʦ	0.282
ˈʏ	ˈʊ	0.26
ˈʊ	ˈɔ	0.249
ˈɔ	ˈɒ	0.222
ˈaʊ̯	ˈaː	0.21
t	-	0.193
ɡ	x	0.192
ˈɛ	ˈeː	0.172
ç	ɣ̊	0.167
ç	ɡ̊_n	0.167
ç	ç_d̥	0.167
ç	-	0.167
ˈa	ˈoː	0.165
ˈɪ	ˈiː	0.16
ˈoː	-	0.152
n	n_d̥	0.135
ɡ	ç	0.132
ˈuː	ˈuː	0.124
ˈuː	-	0.122
ˈiː	ˈiː_ɐ	0.115
d	s	0.115
ˈɪ	-	0.102
z	z̥	0.098
ˈoː	ˈɛː	0.096
b	b̥͡v̥	0.096
ˈɪ	ˈaː	0.095
ˈaʊ̯	ˈɔ	0.094
ˈoː	ˈɒ	0.09
ˈoː	ˈuː	0.089
ˈaʊ̯	ˈɒ	0.088
ˈaʊ̯	-	0.086
d	ʦ	0.08
v	v_ˈɔ	0.072
ɡ	-	0.069
ˈa	-	0.058
v	-	0.055
