North Frisian	Dutch	probability
b	b	0.934
b	-	0.06
d	d	0.54
d	t	0.295
d	-	0.15
dʲ	t	0.572
dʲ	d	0.428
f	v	0.785
f	f	0.12
f	-	0.095
h	ɦ	0.957
i	ə	0.503
i	ɪ	0.322
i	-	0.175
j	χ	0.491
j	-	0.214
j	ˈaː	0.159
j	j	0.072
k	k	0.924
l	ɫ	0.945
l	-	0.055
lʲ	t	0.344
lʲ	ɫ	0.344
lʲ	ˈɑu̯	0.227
lʲ	ˈyː	0.085
m	m	0.936
m	-	0.064
n	n	0.983
nʲ	n	1.0
p	p	1.0
r	ɾ	0.97
s	z	0.46
s	s	0.391
s	-	0.122
t	t	0.809
t	d	0.174
tʲ	t	0.802
tʲ	d	0.198
v	ʋ	0.652
v	f	0.138
v	v	0.125
w	χ	0.777
w	-	0.223
x	χ	1.0
z	t	0.555
z	z	0.362
z	s	0.083
ŋ	ŋ	0.82
ŋ	n	0.18
ə	ə	0.922
ə	-	0.078
ɛi̯	i	1.0
ɡ	χ	1.0
ʃ	s	0.866
ʃ	k	0.129
ˈa	-	0.321
ˈa	ˈɛ	0.185
ˈa	ˈɪ	0.141
ˈa	ˈaː	0.084
ˈa	ˈɛi̯	0.079
ˈa	ˈɔ	0.058
ˈa	ˈoː	0.055
ˈa	ˈɑ	0.053
ˈai̯	ˈɪ	0.576
ˈai̯	w	0.241
ˈai̯	ˈɛ	0.132
ˈai̯	ˈeː	0.051
ˈaː	ˈoː	0.721
ˈaː	ˈeː	0.188
ˈaː	ˈɪ	0.09
ˈeː	ˈɛ	0.282
ˈeː	ˈʏ	0.225
ˈeː	ˈɑ	0.13
ˈeː	ˈɛi̯	0.119
ˈeː	ˈi	0.085
ˈeː	ˈaː	0.084
ˈeː	ˈeː	0.075
ˈi	ˈɛi̯	0.463
ˈi	ˈɪ	0.291
ˈi	ˈeː	0.116
ˈi	ˈoː	0.083
ˈiː	ˈi	0.446
ˈiː	ˈoː	0.197
ˈiː	ˈeː	0.185
ˈiː	ˈɛi̯	0.102
ˈiː	ˈɪ	0.061
ˈu	ˈɪ	0.657
ˈu	ˈɔ	0.343
ˈuː	ˈoː	0.538
ˈuː	ˈɑ	0.255
ˈuː	ˈeː	0.145
ˈuː	ˈœy̯	0.062
ˈyː	ˈœy̯	0.292
ˈyː	ˈɔ	0.182
ˈyː	ˈoː	0.153
ˈyː	ˈaː	0.104
ˈyː	ˈi	0.104
ˈyː	ˈeː	0.053
ˈyː	-	0.051
ˈøː	ˈyː	0.35
ˈøː	ˈoː	0.33
ˈøː	ˈœy̯	0.192
ˈøː	-	0.107
ˈœ	ˈɑ	0.418
ˈœ	ˈu	0.152
ˈœ	ˈoː	0.124
ˈœ	ˈɛ	0.124
ˈœ	ˈɔ	0.08
ˈœ	ˈɑu̯	0.067
ˈœi̯	ˈu	1.0
ˈɒ	ˈɑ	0.559
ˈɒ	ˈɪ	0.172
ˈɒ	ˈeː	0.138
ˈɒ	ˈɑu̯	0.082
ˈɒː	ˈɑ	0.553
ˈɒː	ˈaː	0.313
ˈɒː	ˈeː	0.133
ˈɔ	ˈoː	0.631
ˈɔ	ˈɔ	0.369
ˈɔi̯	ˈɛi̯	1.0
ˈɔu̯	ˈaː	0.338
ˈɔu̯	ˈoː	0.293
ˈɔu̯	-	0.182
ˈɔu̯	ˈɑ	0.058
ˈɔu̯	ˈu	0.055
ˈɔu̯	ˈɑu̯	0.055
ˈɔː	ˈɔ	0.19
ˈɔː	ˈɑ	0.177
ˈɔː	ˈeː	0.154
ˈɔː	ˈʏ	0.151
ˈɔː	ˈaː	0.107
ˈɔː	-	0.093
ˈɔː	ˈɛ	0.051
ˈɛ	ˈu	0.638
ˈɛ	ˈɛ	0.223
ˈɛ	ˈɪ	0.139
ˈɛi̯	ˈaː	0.457
ˈɛi̯	ˈu	0.2
ˈɛi̯	ˈɑ	0.161
ˈɛi̯	ˈi	0.127
ˈɛi̯	ˈɛ	0.054
ˈɛː	ˈaː	0.645
ˈɛː	ˈeː	0.355
ˈʊ	ˈɔ	0.479
ˈʊ	ˈɑ	0.185
ˈʊ	ˈɪ	0.094
ˈʊ	ˈaː	0.07
ˈʊ	ˈɛ	0.068
ˈʊ	ʋ_ˈɔ	0.058
ˈʏ	ˈœy̯	0.553
ˈʏ	ˈʏ	0.303
ˈʏ	ˈɔ	0.144
