North Frisian	Dutch	probability
b	b	0.908
b	-	0.057
b	p	0.048
d	d	0.495
d	t	0.36
d	-	0.108
d	χ	0.038
dʲ	t	0.679
dʲ	d	0.306
f	v	0.83
f	f	0.118
f	-	0.05
h	ɦ	0.965
h	-	0.048
i	ə_χ	0.351
i	ə	0.24
i	ɪ	0.209
i	-	0.158
j	χ	0.467
j	-	0.344
j	ɫ	0.102
j	j	0.084
j_ˈa	ˈaː	1.0
k	k	0.872
k	χ	0.092
k	-	0.047
l	ɫ	0.852
l	-	0.082
l	l	0.064
l_v	l	1.0
lʲ	ɫ	1.0
m	m	1.0
n	n	0.829
n	n_t	0.065
n	n_d	0.062
n	-	0.044
nʲ	n	0.609
nʲ	n_t	0.338
p	p	1.0
r	ɾ	0.989
r_s	s	0.27
s	s	0.548
s	z	0.365
s	-	0.078
t	t	0.826
t	d	0.154
tʲ	t	0.777
tʲ	d	0.177
v	ʋ	0.692
v	v	0.14
v	b	0.044
v	f	0.044
v	p	0.044
w	χ	1.0
x	χ	1.0
z	t	0.488
z	s	0.22
z	z	0.216
ŋ	ŋ	0.827
ŋ	-	0.085
ŋ	n	0.085
ə	ə	0.761
ə	-	0.235
ə_v	f	1.0
ɡ	χ	1.0
ʃ	s	0.469
ʃ	s_χ	0.331
ʃ	k	0.132
ʃ	z	0.066
ˈa	ˈɪ	0.398
ˈa	ˈɛ	0.299
ˈa	ˈɑ	0.127
ˈa	ˈʏ	0.082
ˈa	-	0.079
ˈai̯	ˈɪ	0.45
ˈai̯	ˈeː	0.297
ˈai̯	w	0.192
ˈaː	ˈeː	0.254
ˈaː	ˈoː	0.254
ˈaː	ˈɪ	0.254
ˈeː	ˈɛ	0.296
ˈeː	ˈɑ	0.224
ˈeː	ˈaː	0.153
ˈeː	ˈɛi̯	0.133
ˈeː	ˈi	0.074
ˈi	ˈɛi̯	0.562
ˈi	ˈɪ	0.201
ˈi	ˈeː	0.11
ˈi	-	0.073
ˈi	ˈoː	0.054
ˈiː	ˈi	0.447
ˈiː	ˈeː	0.175
ˈiː	ˈoː	0.167
ˈiː	ˈɛi̯	0.138
ˈiː	w	0.044
ˈuː	ˈoː	0.72
ˈuː	ˈɑ	0.163
ˈuː	ˈœy̯	0.083
ˈyː	ˈœy̯	0.333
ˈyː	ˈoː	0.25
ˈyː	ˈɔ	0.075
ˈyː	ˈeː	0.064
ˈyː	ˈu	0.064
ˈøː	ˈoː	0.282
ˈøː	-	0.186
ˈøː	ˈyː	0.186
ˈøː	ˈœy̯	0.186
ˈøː	ˈeː	0.133
ˈœ	ˈu	0.359
ˈœ	ˈɑ	0.283
ˈœ	ˈɪ	0.105
ˈœ	ˈoː	0.086
ˈœ	ˈɛ	0.086
ˈœ_lʲ	ˈɑu̯	1.0
ˈɒ	ˈɑ	0.55
ˈɒ	ˈeː	0.123
ˈɒ	ˈɪ	0.123
ˈɒ	ˈɑu̯	0.097
ˈɒ	ˈɛi̯	0.097
ˈɒː	ˈɑ	0.488
ˈɒː	ˈaː	0.389
ˈɒː	ˈeː	0.096
ˈɔ	ˈoː	0.564
ˈɔ	ˈɔ	0.428
ˈɔi̯	ˈɛi̯	0.27
ˈɔu̯	ˈu	0.304
ˈɔu̯	ˈoː_v	0.23
ˈɔu̯	ˈaː	0.175
ˈɔu̯	ˈɑ	0.113
ˈɔu̯	ˈi	0.087
ˈɔː	ˈɔ	0.284
ˈɔː	ˈeː	0.206
ˈɔː	ˈɑ	0.156
ˈɔː	ˈaː	0.103
ˈɔː	ˈoː	0.083
ˈɛ	ˈu	0.574
ˈɛ	ˈɪ	0.226
ˈɛ	ˈɛ	0.08
ˈɛi̯	ˈaː	0.371
ˈɛi̯	ˈu	0.203
ˈɛi̯	ˈɑ	0.177
ˈɛi̯	ˈi	0.117
ˈɛi̯	ˈɛ	0.117
ˈɛː	ˈeː	0.613
ˈɛː	ˈaː	0.379
ˈʊ	ˈɔ	0.376
ˈʊ	ˈɑ	0.195
ˈʊ	ˈɪ	0.153
ˈʊ	ʋ_ˈɔ	0.093
ˈʊ	ˈɛ	0.093
ˈʏ	ˈœy̯	0.517
ˈʏ	ˈʏ	0.297
ˈʏ	ˈɔ	0.124
