Aragonese	Emilian	probability
d	d	1.0
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʝ	-	1.0
k	k	0.941
o	u	0.161
w	-	0.221
ˈo	ˈɔː	0.251
ˈo	ˈʌ	0.271
ˈu	ˈo	0.441
β	b	0.161
i	-	0.722
n	ŋ_t	0.062
ˈe	e	0.052
ˈe	ˈaː	0.072
a	a	0.873
l	l	0.743
m	-	0.063
ʎ	j_ˈɔː	0.23
ˈe	ˈa_j	0.093
b	v	0.824
e	i	0.134
e	e	0.384
j	t	0.204
n	ŋ	0.344
s	s	0.774
t	t	0.884
u	u	0.644
ð	t	0.084
ɾ	-	0.104
ʎ	j	0.574
ʧ	ʤ	0.164
ˈi	ˈe	0.664
β	p	0.074
p	v	0.105
p	p	0.895
ʎ	ʧ	0.125
ˈe	ˈʌ	0.065
ˈe	ˈɛː	0.125
θ	z	0.415
θ	θ	0.545
b	b	0.176
l	j	0.096
l	-	0.16
n	-	0.056
o	l	0.186
o	-	0.546
t	t_e	0.116
u	-	0.356
ɾ	r	0.896
ʧ	ð	0.836
e	-	0.337
j	-	0.767
n	ɲ	0.067
o	ˈo	0.107
ð	d	0.847
ʎ	l	0.07
ˈa	ˈaː	0.227
ˈe	ˈɛ	0.057
ˈe	ˈɔː	0.087
ˈi	ˈiː	0.247
ˈo	ˈo	0.07
β	v	0.577
a	-	0.118
i	i	0.278
m	ŋ	0.058
n	ŋ_n	0.068
n	n	0.398
ˈa	ˈa	0.258
ˈe	ˈæ	0.078
ˈe	ˈa	0.158
ˈo	ˈʌu̯	0.318
ˈu	ˈʌu̯	0.068
ˈu	ˈuː	0.448
β	-	0.188
e	a	0.079
k	-	0.059
m	m	0.879
s	z	0.19
w	w	0.779
ð	-	0.069
ˈa	ˈɛ	0.499
ˈe	-	0.089
ˈo	ˈɔ	0.09
