Gascon	Gascon	probability
ˈɛ_j	ˈa	1.0
ˈu_t	ˈu_tː	1.0
ˈo	ˈɔ	1.0
ˈi	ˈi	1.0
ˈe_j	ʣː	1.0
ˈa_w	ˈɔ	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ʤ	-	1.0
ʎ_#>	j_o_#>	1.0
ʃ	-	1.0
ɾ_e	r_o	1.0
ɲ	ɲː	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
z_ˈa	ˈo	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
w_t	j	1.0
w_r	r_o	1.0
u_n	o_n	1.0
t_ˈa	t_ˈa	1.0
t_e	t_r	1.0
r_t	r_t	1.0
r_k	r_k	1.0
p	p	1.0
mː	tː_i	1.0
m	m	1.0
k_ɔ	kː_a	1.0
k	k	1.0
j_ʃ	ʃː	1.0
j_t	tː	1.0
f	fː	1.0
e_ɣ	i_k	1.0
e_s	s	1.0
d_ɾ	e	1.0
d	d	1.0
a_ð	a_t	1.0
a_w	u	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_w	<#_o	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
ɔ	a	0.937
a	a	0.905
ˈa	ˈa	0.9
h	f	0.9
n	n	0.882
ʒ	ʤ	0.857
e_#>	r_e_#>	0.778
ʦ	ʧ_e	0.75
ʎ	ʎː	0.75
n_#>	n_t_o_#>	0.75
ɾ	r	0.735
s	s	0.723
ˈy	ˈu	0.72
ˈu	ˈo	0.697
ˈɔ	ˈɔ	0.667
u	o	0.667
r	r	0.667
k_#>	k_o_#>	0.625
ˈɛ	ˈɛ	0.618
w_#>	l_e_#>	0.6
ð	t	0.583
b	v	0.583
s_#>	#>	0.571
#>	o_#>	0.556
ˈe	ˈe	0.51
ŋ	n	0.5
i	i	0.5
w	l	0.474
β	v	0.471
l	j	0.464
e	e	0.447
s_#>	i_#>	0.429
b	b	0.417
w_#>	#>	0.4
z	z	0.375
z	-	0.375
k_#>	ɡ_o_#>	0.375
t	t	0.324
ˈe	ˈɛ	0.294
l	l	0.286
t	tː	0.265
t	lː	0.265
ʦ	ʦː	0.25
ʎ	o	0.25
ŋ	ŋ	0.25
ŋ	n_e	0.25
ð	d	0.25
z	ʤ	0.25
n_#>	n_t_e_#>	0.25
j	-	0.25
i	e	0.25
i	-	0.25
β	p	0.235
#>	e_#>	0.226
ˈɔ	w_ˈɔ	0.222
r	r_n	0.222
e_#>	#>	0.222
e	i	0.211
j	ˈɛ	0.2
l	lː	0.179
β	b	0.176
ˈɛ	-	0.176
ð	d_ˈe	0.167
u	ˈo	0.167
u	-	0.167
w	ˈɔ	0.158
w	v_e	0.158
e	-	0.158
j	sː_o	0.15
ɾ	-	0.147
ʒ	ʤː	0.143
#>	r_e_#>	0.137
ˈu	w_ˈɔ	0.121
ˈy	ˈu_r	0.12
β	p_e	0.118
ˈe	-	0.118
ɾ	e_r	0.118
n	-	0.118
ˈɔ	-	0.111
r	-	0.111
s	ʧː	0.106
s	-	0.106
w	o	0.105
w	e	0.105
e	r_o	0.105
j	ʤː	0.1
j	j	0.1
j	e	0.1
j	d	0.1
h	ʤ	0.1
a	ˈa	0.095
ˈɛ	j_ˈɛ	0.088
ˈy	ˈɔ	0.08
ˈy	ˈo	0.08
e	a	0.079
l	o_l	0.071
s	sː	0.064
ɔ	n_a	0.063
ˈu	ˈɔ_kː	0.061
ˈu	ˈɔ	0.061
ˈu	ˈu	0.061
ˈa	ˈɔ	0.06
ˈɛ	ˈa	0.059
ˈɛ	j	0.059
t	d_o	0.059
t	-	0.059
