Russian	Polish	probability
ˈɵ	ˈa	1.0
ˈɨ	ˈɨ	1.0
ˈo_ɫ	w	1.0
ˈo_v	v	1.0
ˈo_rʲ	ˈɔ_ʐ	1.0
ˈi	ˈi	1.0
ˈa_#>	a_#>	1.0
ʨ_#>	ʦ_#>	1.0
ʦ_ə_#>	ʦ_ɛ_#>	1.0
ɫ_ˈa	w_ˈa	1.0
ɫ_ɨ	w_ɨ	1.0
ɫ_#>	w_#>	1.0
ɨ_j	ɨ	1.0
ɡ	ɡ	1.0
ɐ_r	r_ˈɔ	1.0
zʲ	ʑ	1.0
z	w̃_z	1.0
x	x	1.0
vʲ_ˈe	v_j	1.0
v	v	1.0
t_#>	t_#>	1.0
t	t	1.0
sʲ	ɕ	1.0
s_#>	s_#>	1.0
rʲ_ɪ	ʐ_ˈɛ	1.0
rʲ	ʂ	1.0
r	r	1.0
pʲ	p	1.0
p_#>	p_#>	1.0
nʲ_#>	ɲ_#>	1.0
nʲ	ɲ	1.0
n_ɨ	n	1.0
n	n	1.0
m	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ_ɪ	k_i	1.0
k_#>	k_#>	1.0
k	k	1.0
e_#>	ɛ_#>	1.0
dʲ	ʥ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_ʨ	<#_ʈ͡ʂ	1.0
<#_ʐ	<#_ʐ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_ˈɔ	1.0
<#_zʲ	<#_ʑ	1.0
<#_z	<#_z	1.0
<#_vʲ	<#_v	1.0
<#_v	<#_v	1.0
<#_tʲ	<#_ʨ	1.0
<#_t	<#_t	1.0
<#_sʲ	<#_ɕ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_pʲ	<#_p	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_mʲ	<#_m	1.0
<#_m	<#_m	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_dʲ	<#_ʥ	1.0
<#_d	<#_d	1.0
ɫ	w	0.846
tʲ_#>	ʨ_#>	0.769
j_#>	#>	0.714
ˈu	ˈɔ	0.6
vʲ	v_j	0.6
s	s	0.6
ɐ	ˈɔ	0.556
ə_#>	ɔ_#>	0.529
ˈe	ˈɛ	0.5
ʦ	ʦ	0.5
ʦ	k	0.5
ʂ	ʂ	0.5
ʂ	w̃_ʂ	0.5
ə	ˈɔ	0.5
ə	-	0.5
mʲ	m_j	0.5
mʲ	m	0.5
ˈo	ˈɔ	0.478
ˈu	ˈu	0.4
vʲ	f	0.4
s	ˈa_s	0.4
ˈa	ˈa	0.333
ˈa	w̃	0.333
ˈa	a	0.333
ə_#>	a_#>	0.294
j_#>	ɨ_#>	0.286
ɪ	ɛ	0.278
tʲ_#>	ɲ_ʨ_#>	0.231
ɪ	j	0.222
ɐ	ɔ	0.222
ɐ	-	0.222
ˈo	ˈu	0.217
ˈe	ˈa	0.2
ˈe	j_ˈa	0.2
ə_#>	#>	0.176
ˈo	ˈɛ	0.174
ɪ	ˈɛ	0.167
ɫ	l	0.154
ˈo	ɛ	0.13
ɪ	ˈɔ	0.111
ɪ	ɛ_ɲ	0.111
ɪ	-	0.111
ˈe	j_ˈɛ	0.1
