Elfdalian	Elfdalian	probability
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʉː_ɣ	ˈu	1.0
ˈʉː	-	1.0
ˈʉ_lː	ˈuː	1.0
ˈɪ̃ː	ˈi	1.0
ˈɪː_ɣ	ˈaː	1.0
ˈɛː	-	1.0
ˈɛ_s	ˈi_s	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈɑːi̯_ŋ	ˈɛː	1.0
ˈœ	ˈi	1.0
ˈyːœ̯	ˈi	1.0
ˈyœ̯	ˈɪ	1.0
ˈo	-	1.0
ʨː	t	1.0
ʨ_ɑ	k	1.0
ʨ	-	1.0
ʥː	ɡ	1.0
ʥ	ɡ	1.0
ʏ	ə	1.0
ʉ_ŋ	e	1.0
ʉ_#>	#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɑ_#>	#>	1.0
ɡː_#>	ɡ_#>	1.0
ɡː	ʤ	1.0
ɛ_ɽ	l	1.0
ɔ	-	1.0
ɑ̃	-	1.0
ŋ_ɡ	ŋ	1.0
ð_ɑ	d	1.0
ð_#>	#>	1.0
w_ˈɛ	ˈɔɪ̯	1.0
v	-	1.0
tː	t	1.0
t	t	1.0
sː	-	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
rː	ˈaɪ̯	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_ɑ	n	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ˈʉːə̯	ˈøː	1.0
f	f	1.0
d_ɛ	ə	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈʉə̯	<#_w_ˈɪ	1.0
<#_ɽ	<#_l	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
s	s	0.941
w	w	0.905
ˈɪ	ˈɪ	0.889
ɛ	ə	0.857
n	n	0.833
k	k	0.833
ɑ	-	0.815
r	r	0.803
ˈiːe̯	ˈe	0.778
ɡ	ɡ	0.778
ˈɑːi̯	ˈəi̯	0.714
<#	<#_h	0.714
ˈʉə̯	-	0.667
ˈɑːu̯	ˈu	0.667
ˈoː	-	0.625
ð	d	0.625
ˈʉ	ˈʌ	0.615
ʉ	-	0.6
ɣ	-	0.6
#>	ə_#>	0.6
v_#>	f_#>	0.571
j_ˈʉːə̯	ˈiː	0.571
tʰ	tʰ	0.529
ˈæː	ˈiː	0.5
ˈæː	-	0.5
ɣ_#>	ç_#>	0.5
ɣ_#>	#>	0.5
kː	ŋ	0.5
kː	k	0.5
tʰ	θ	0.471
ˈʉːə̯	-	0.467
ˈæ	-	0.429
v_#>	#>	0.429
j_ˈʉːə̯	ˈi	0.429
ˈʉːə̯	ˈø	0.4
ˈɪː	ˈəi̯	0.4
ʉ	n	0.4
ɣ	x	0.4
#>	d_#>	0.4
ˈʉ	-	0.385
ˈɛ	ˈɛ	0.385
ˈoː	h	0.375
ˈɑː	ˈe	0.364
j	-	0.353
ˈʉə̯	ˈɪ	0.333
ˈɑːu̯	-	0.333
ˈœː	ˈi	0.333
ˈɛ	-	0.308
ˈɪː	ˈiː	0.3
ˈɪː	-	0.3
ˈɔː	ˈɑː	0.3
ˈɔː	-	0.3
ˈɑːi̯	ˈiː	0.286
ˈɑ	ˈɑː	0.286
ˈɑ	ˈeː	0.286
ˈɑ	ˈa	0.286
ˈæ	ˈʌ	0.286
ˈæ	ˈɛ	0.286
ˈɑː	ˈeː	0.273
nː	θ	0.25
nː	r_n	0.25
nː	r	0.25
nː	n	0.25
j	ˈɪ	0.235
ˈɛ	ˈe	0.231
ˈœː	ˈiː	0.222
ˈœː	ˈe	0.222
ˈœː	-	0.222
ˈiːe̯	-	0.222
ɡ	j	0.222
ˈɔː	ˈiː	0.2
ˈɔː	ˈeː	0.2
<#	<#_j	0.19
ð	θ	0.188
ð	ð	0.188
ˈɑː	ˈa	0.182
ˈɑː	-	0.182
j	ˈɛ	0.176
n	-	0.167
k	-	0.167
ˈɑ	-	0.143
ɛ	-	0.143
ˈʉːə̯	ˈi	0.133
j	ˈiː	0.118
j	h	0.118
r	ə_r	0.115
ˈɪ	-	0.111
ɑ	k	0.111
w	ʍ	0.095
<#	<#_w	0.095
ˈɛ	ˈaːɪ̯	0.077
ɑ	n	0.074
s	z	0.059
