Swiss German	Northern Low Saxon	probability
b̥	b	0.625
b̥	f	0.21
b̥	-	0.102
b̥	v	0.063
d̥	d	0.761
d̥	-	0.222
f	f	0.773
f	b	0.188
fː	p	1.0
h	h	0.909
h	-	0.091
i	ɪ	0.634
i	i	0.197
i	-	0.169
j	ʒ	1.0
k	ɡ	0.681
k	k	0.319
kː	ɡ	1.0
l	l	0.994
m	m	0.911
m	v	0.089
mː	m	1.0
n	n	0.99
p	b	0.5
p	p	0.5
p͡f	b	0.871
p͡f	pʰ	0.129
r	ɐ	0.471
r	r	0.375
r	-	0.154
rː	ɐ	1.0
s	z	0.485
s	s	0.366
s	d	0.069
sː	d	1.0
t	d	0.79
t	t	0.152
t	-	0.057
tː	d	0.824
tː	l	0.176
w	l	1.0
æ	aɪ̯	1.0
ŋ	ŋ	0.744
ŋ	n_d	0.202
ŋ	n	0.054
ə	-	0.613
ə	n	0.387
ɡ̊	ɡ	0.514
ɡ̊	-	0.236
ɡ̊	ç	0.193
ɡ̊ː	ɡ	0.579
ɡ̊ː	ç	0.421
ʃ	ʃ	0.815
ʃ	s	0.185
ʃː	ʃ	1.0
ʋ	v	0.952
ʦ	tʰ	0.758
ʦ	d	0.215
ˈau̯	ˈaʊ̯	0.634
ˈau̯	ˈuː	0.253
ˈau̯	ˈoː	0.113
ˈe	ˈeː	0.312
ˈe	ˈɪ	0.296
ˈe	ˈœː	0.196
ˈe	ˈɛ	0.196
ˈei̯	ˈiː	0.402
ˈei̯	ˈaɪ̯	0.302
ˈei̯	ˈɛɪ̯	0.184
ˈei̯	ˈeɪ̯	0.112
ˈeː	ˈaɪ̯	0.507
ˈeː	ˈeɪ̯	0.286
ˈeː	ˈaʊ̯	0.177
ˈi	ˈɪ	0.752
ˈi	ˈiː	0.112
ˈi	ˈaː	0.054
ˈiə̯	ˈaɪ̯	0.7
ˈiə̯	ˈɪ	0.216
ˈiə̯	ˈiː	0.084
ˈiː	ˈiː	0.784
ˈiː	ˈaɪ̯	0.094
ˈiː	ˈɪ	0.069
ˈiː	ˈœ	0.053
ˈo	ˈaʊ̯	0.391
ˈo	ˈʊ	0.188
ˈo	ˈɔ	0.139
ˈo	ˈʏ	0.133
ˈo	ˈoː	0.104
ˈou̯	ˈaʊ̯	0.897
ˈou̯	ˈɔ	0.103
ˈoː	ˈaʊ̯	0.587
ˈoː	ˈoː	0.291
ˈoː	ˈøː	0.123
ˈu	ˈʊ	0.504
ˈu	ˈɔ	0.205
ˈu	ˈʏ	0.178
ˈu	ˈɔː	0.068
ˈuə̯	ˈaʊ̯	0.761
ˈuə̯	ˈuː	0.139
ˈuə̯	ˈɔʏ̯	0.099
ˈuː	ˈuː	0.935
ˈy	ˈʏ	0.537
ˈy	ˈøː	0.249
ˈy	ˈø	0.083
ˈy	ˈeː	0.063
ˈyə̯	ˈɔʏ̯	0.793
ˈyə̯	ˈaʊ̯	0.207
ˈyː	ˈyː	0.418
ˈyː	ˈaɪ̯	0.35
ˈyː	ˈeː	0.082
ˈyː	ˈiː	0.058
ˈæ	ˈa	0.201
ˈæ	ˈɛ	0.179
ˈæ	ˈeː	0.114
ˈæ	ˈɪ	0.093
ˈæ	ˈaɪ̯	0.093
ˈæ	ˈoː	0.093
ˈæ	ˈœ	0.052
ˈæ	ˈaː	0.05
ˈæi̯	j	0.443
ˈæi̯	ˈaɪ̯	0.323
ˈæi̯	ˈɪ	0.233
ˈæː	ˈeɪ̯	0.241
ˈæː	ˈɛɪ̯	0.241
ˈæː	ˈaɪ̯	0.227
ˈæː	ˈa	0.164
ˈæː	ˈeː	0.126
ˈø	ˈœː	0.478
ˈø	ˈa	0.267
ˈø	ˈœ	0.128
ˈø	ˈʏ	0.128
ˈøi̯	ˈaɪ̯	0.27
ˈøi̯	ˈiː	0.27
ˈøi̯	ˈɔʏ̯	0.243
ˈøi̯	ˈʊ	0.218
ˈøː	ˈɔʏ̯	1.0
ˈɒ	ˈa	0.67
ˈɒ	ˈoː	0.125
ˈɒ	ˈaʊ̯	0.087
ˈɒ	ˈeː	0.059
ˈɒː	ˈoː	0.574
ˈɒː	ˈa	0.171
ˈɒː	ˈoː_n	0.146
ˈɒː	ˈɛ	0.056
ˈɒː	ˈaː	0.053
ˈɛi̯	ˈɪ	0.771
ˈɛi̯	ˈaɪ̯	0.229
χ	kʰ	0.39
χ	ɡ	0.294
χ	ç	0.186
χ	x	0.129
