Swiss German	Northern Low Saxon	probability
b̥	b	0.65
b̥	f	0.172
b̥	-	0.12
b̥	v	0.051
d̥	d	0.76
d̥	-	0.237
f	f	0.816
f	b	0.102
f	-	0.067
fː	p	1.0
h	h	0.925
h	-	0.072
i	ɪ	0.506
i	-	0.142
i	i	0.137
i	n	0.124
j	ʒ	0.5
k	ɡ	0.549
k	k	0.441
l	l	0.964
l	-	0.036
m	m	1.0
mː	m	0.25
n	n	0.972
n	-	0.034
p	b	0.33
p	p	0.33
p͡f	b	1.0
r	r	0.503
r	ɐ	0.33
r	-	0.143
r_ʦ	d	1.0
rː	ɐ	0.25
s	z	0.486
s	s	0.375
s	d	0.108
s	t	0.036
sː	d	1.0
t	d	0.777
t	t	0.185
t	-	0.041
tː	d	0.644
tː	l	0.244
w	l	0.25
ŋ	ŋ	0.536
ŋ	n_d	0.312
ŋ	n	0.101
ŋ_ə	ŋ	1.0
ŋ_ɡ̊	ŋ	1.0
ə	-	0.519
ə	n	0.45
ə	ə	0.034
ə_r	ɐ	1.0
ɡ̊	ɡ	0.444
ɡ̊	-	0.322
ɡ̊	ç	0.144
ɡ̊	x	0.079
ɡ̊_ə	ŋ	0.425
ɡ̊_ə	ç	0.322
ɡ̊_ə	ɡ	0.185
ʃ	ʃ	0.777
ʃ	s	0.213
ʃ_t	s	1.0
ʃː	ʃ	0.125
ʋ	v	0.941
ʋ	-	0.058
ʦ	tʰ	0.642
ʦ	d	0.355
ˈa	ˈa	0.441
ˈa	ˈaː	0.334
ˈa	ˈaʊ̯	0.158
ˈau̯	ˈuː	0.37
ˈau̯	ˈaʊ̯	0.244
ˈau̯	ˈoː	0.213
ˈe	ˈeː	0.437
ˈe	ˈœː	0.219
ˈe	ˈɪ	0.144
ˈe	ˈɛ	0.144
ˈei̯	ˈaɪ̯	0.45
ˈei̯	ˈeɪ̯	0.341
ˈei̯	ˈiː	0.122
ˈeː	ˈaɪ̯	0.53
ˈeː	ˈeː	0.304
ˈeː	ˈeɪ̯	0.109
ˈi	ˈɪ	0.775
ˈi	ˈøː	0.071
ˈi	ˈaː	0.059
ˈi	ˈɛ	0.059
ˈi	ˈiː	0.049
ˈiə̯	ˈaɪ̯	0.474
ˈiə̯	ˈɪ	0.324
ˈiə̯	ɐ	0.186
ˈiː	ˈiː	0.854
ˈiː	ˈɪ	0.137
ˈo	ˈɔ	0.282
ˈo	ˈʊ	0.254
ˈo	ˈaʊ̯	0.134
ˈo	ˈoː	0.134
ˈo	ˈʏ	0.089
ˈou̯	ˈaʊ̯	0.715
ˈou̯	ˈɔ	0.201
ˈoː	ˈaʊ̯	0.629
ˈoː	ˈoː	0.248
ˈoː	ˈøː	0.114
ˈu	ˈʊ	0.384
ˈu	ˈɔ	0.291
ˈu	ˈʏ	0.173
ˈu	ˈuː	0.069
ˈu	ˈɔː	0.067
ˈuə̯	ˈaʊ̯	0.879
ˈuə̯	ˈuː	0.109
ˈuː	ˈuː	0.82
ˈuː	ˈøː	0.093
ˈuː	ˈʊ	0.061
ˈy	ˈʏ	0.323
ˈy	ˈeː	0.158
ˈy	ˈøː	0.158
ˈy	ˈɪ	0.116
ˈy	ˈaɪ̯	0.109
ˈyə̯	ˈɔʏ̯	0.758
ˈyə̯	ˈaʊ̯	0.185
ˈyː	ˈaɪ̯	0.378
ˈyː	ˈyː	0.349
ˈyː	ˈɔʏ̯	0.092
ˈyː	ˈiː	0.073
ˈyː	ˈeː	0.071
ˈæ	ˈɛ	0.336
ˈæ	ˈeː	0.174
ˈæ	ˈa	0.098
ˈæ	ˈø	0.085
ˈæ	ˈɪ	0.085
ˈæi̯	ˈaɪ̯	0.461
ˈæi̯	ˈɪ	0.152
ˈæi̯	j	0.152
ˈæː	ˈɛɪ̯	0.239
ˈæː	ˈeː	0.239
ˈæː	ˈa	0.158
ˈæː	ˈeɪ̯	0.158
ˈæː	ˈaɪ̯	0.104
ˈø	ˈʏ	0.341
ˈø	ˈœː	0.213
ˈø	ˈa	0.196
ˈø	ˈœ	0.076
ˈøi̯	ˈʊ	0.28
ˈøi̯	ˈiː	0.28
ˈøi̯	ˈaɪ̯	0.175
ˈøi̯	ˈɔʏ̯	0.175
ˈøː	ˈɔʏ̯	1.0
ˈɒ	ˈa	0.514
ˈɒ	ˈoː	0.212
ˈɒ	ˈaʊ̯	0.088
ˈɒ	ˈaː	0.051
ˈɒ	ˈɔ	0.051
ˈɒː	ˈoː	0.569
ˈɒː	ˈa	0.215
ˈɒː	ˈaː	0.105
ˈɒː	ˈɛ	0.083
ˈɛi̯	ˈaɪ̯	0.379
ˈɛi̯	ˈɪ	0.19
χ	kʰ	0.448
χ	x	0.243
χ	ɡ	0.221
χ	ç	0.078
χ_s	s	1.0
χ_t	ç	1.0
χ_ə	ɡ	0.629
χ_ə	ç	0.361
