Ladin	Ladin	probability
ˈɔ_n	ˈu_n	1.0
ˈu_r	ˈy	1.0
ˈo_w	ˈu	1.0
ˈe_j	ˈe	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	s	1.0
ʦ	-	1.0
ʒ_ɡ	b	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ʃ	ʦ	1.0
w_r_#>	#>	1.0
u	-	1.0
s_ˈe	s_ˈe	1.0
r_t	r_t	1.0
r_n_#>	r_#>	1.0
r_e	j_r	1.0
r_#>	#>	1.0
p_#>	s_#>	1.0
p	p	1.0
o_l	l	1.0
n_t_#>	n_#>	1.0
n_a	ɔ	1.0
m_#>	m_i_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
d_ˈe	ð	1.0
d_l	ʎ	1.0
b_a	β_ɔ	1.0
b	b	1.0
a_r	a_ɾ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
s	s	0.944
t	t	0.935
m	m	0.926
ˈa	ˈa	0.921
l	l	0.902
ˈi	ˈi	0.885
<#_d	<#_d	0.867
w	w	0.833
ˈu	ˈy	0.818
ˈe_#>	ˈa_#>	0.812
f	h	0.81
o	u	0.8
a	ɔ	0.754
ʨ	k	0.727
v	b	0.64
l_#>	t_#>	0.625
e_r	e	0.625
ɡ	ɡ	0.615
ˈo	ˈu	0.607
ˈɛ_n	ˈe_n	0.6
ʥ	-	0.6
f_#>	w_#>	0.6
r	ɾ	0.595
n	ŋ	0.593
ˈɔ	ˈɔ	0.579
w_ˈɛ	ˈa_w	0.571
i	-	0.571
e	e	0.552
ʒ	ʒ	0.538
d	ð	0.529
ˈe	ˈe	0.5
#>	ɔ_#>	0.455
ʃ	e_s	0.438
w_ˈɛ	ˈɔ	0.429
i	i	0.429
j	-	0.421
ˈɛ	ˈɛ	0.404
ˈɛ_n	ˈe_ŋ	0.4
ʥ	ʒ	0.4
f_#>	#>	0.4
ɡ	ɣ	0.385
l_#>	w_#>	0.375
e_r	ɾ_e	0.375
v	β	0.36
n	n	0.333
ʒ	z	0.308
ˈɛ	ˈe	0.298
r	r	0.297
ʨ	s	0.273
j	e	0.263
ʃ	ʦ	0.25
d	d	0.235
ˈe	ˈe_j	0.222
a	a	0.215
ˈɔ	ˈa_w	0.211
j	j	0.211
e	-	0.207
o	a	0.2
ˈɛ	ˈa	0.191
ˈe_#>	#>	0.188
ʃ	ʃ	0.188
ˈu	-	0.182
#>	t_#>	0.182
#>	s_#>	0.182
#>	e_#>	0.182
ˈo	ˈy	0.179
ˈe	-	0.167
w	-	0.167
ʒ	-	0.154
ˈo	-	0.143
<#_d	<#	0.133
ʃ	s	0.125
d	ʤ	0.118
d	-	0.118
ˈi	-	0.115
ˈe	ˈɛ	0.111
r	-	0.108
ˈɔ	ˈu	0.105
ˈɔ	w	0.105
j	ʎ	0.105
e	ˈe	0.103
e	a	0.103
f	p	0.095
f	e_h	0.095
ˈa	ˈɛ_j	0.079
n	-	0.074
m	-	0.074
ˈo	u_z_ˈa	0.071
t	j_t	0.065
ˈɛ	-	0.064
s	j_ʃ	0.056
