Campidanese	Spanish	probability
f	f	1.0
nː	ɲ	1.0
o	o	1.0
rː	ɾ_n	1.0
s	s	1.0
v	-	1.0
z	s	1.0
ŋ	ŋ	1.0
ɖː	ʝ	1.0
ɣ	ɣ	1.0
ɲː	ɲ	1.0
ʃː	θ	1.0
ʒ	θ	1.0
ʣ	x	1.0
ʤ	-	1.0
ʦ	θ	1.0
β	β	1.0
p	p	0.811
ð	ð	0.591
ˈo	o	0.071
ˈo	w_ˈe	0.491
d	d	0.952
j	j	0.202
n	-	0.092
w	w	0.92
ʧ	θ	0.792
ˈe	j	0.052
ˈi	ˈe	0.362
ˈu	w_ˈe	0.072
m	m_b	0.123
ˈo	ˈo	0.393
b	-	0.074
e	ˈe	0.064
i	e	0.584
r	-	0.154
ˈu	ˈo	0.374
a	a	0.925
b	b	0.795
j	ˈe	0.115
l	l	0.965
t	t	0.775
ɡ	ɡ	0.615
ˈe	ˈe	0.645
ˈu	ˈu	0.475
b	b_j	0.116
j	x	0.636
k	k	0.926
r	ɾ	0.786
ˈa	ˈa	0.856
ˈe	-	0.106
e	e	0.817
i	o	0.147
m	m	0.877
n	j_n	0.057
n	n	0.787
t	ð	0.077
u	-	0.077
ɡ	ɣ	0.277
ˈe	j_ˈe	0.137
e	ɾ_e	0.08
w	-	0.08
ʧ	θ_j	0.208
i	ˈe	0.069
i	ɾ	0.119
p	ɟ͡ʝ	0.189
t	ʧ	0.129
u	o	0.909
ð	-	0.409
ɡ	-	0.109
ˈi	ˈi	0.559
ˈu	-	0.079
