Ligurian	Walloon	probability
f	f	1.0
ɲ	-	1.0
ʃ	ʃ	1.0
ˈɛ	ˈɛ	1.0
d	-	0.451
j	ʀ	0.161
j	-	0.71
s	ʃ	0.111
v	f	0.141
w	ɔ_ʀ	0.1
ʒ	ʒ	0.41
ʒ	-	0.541
ˈa	ˈa	0.331
ˈaː	ˈoː	0.191
ˈuː	ˈuː	0.591
ˈø	ˈuː	0.361
ˈɔ	ɔ	0.11
ˈɛː	ˈɔː	0.051
e	ʀ	0.352
l	l	0.932
m	m	0.692
u	ˈɔ	0.062
w	ɔ_l	0.112
z	-	0.452
z	ʤ	0.52
ŋ	ˈɛ̃	0.202
ˈa	ˈɑ̃	0.222
ˈe	ˈøː	0.122
ˈeː	ˈiː	0.772
ˈi	-	0.192
b	b	0.93
e	-	0.153
k	k	0.43
p	p	0.993
u	ˈɛ	0.183
w	w	0.103
ˈa	l	0.123
ˈaː	ˈiː	0.223
ˈe	-	0.123
ˈiː	ˈi	0.843
ˈu	-	0.143
ˈɔː	ˈoː	0.13
r	-	0.304
t	t	0.454
u	ˈoː	0.064
u	-	0.074
w	-	0.684
ʧ	p	0.674
ˈi	ˈɛ	0.244
ˈu	ˈɔ	0.664
ˈy	ˈy	0.94
ˈøː	-	0.484
a	a	0.155
i	j	0.195
j	j	0.095
s	s	0.75
v	v	0.775
ŋ	ˈẽ	0.075
ŋ	-	0.485
ʤ	-	0.765
ˈa	ˈɔː	0.125
ˈe	ˈɛ	0.505
a	-	0.256
t	-	0.546
ɡ	ɡ	0.186
ʧ	-	0.326
ˈi	ˈiː	0.126
ˈy	-	0.06
ˈøː	ˈuː	0.516
ˈɛː	ˈe	0.26
b	p	0.07
i	i	0.137
i	-	0.667
n	n	0.797
r	ʀ	0.67
u	ˈa	0.617
ˈaː	ˈɔː	0.227
ˈiː	ˈiː	0.157
ˈɔː	w_ˈa	0.87
l	-	0.068
m	-	0.308
n	-	0.178
s	-	0.128
ŋ	ˈɔ̃	0.238
ɡ	-	0.788
ˈaː	ˈe	0.358
ˈeː	ˈi	0.228
ˈi	ˈi	0.438
ˈu	ˈuː	0.158
a	j	0.579
d	d	0.549
e	ˈɛ	0.169
e	j	0.299
k	ʧ	0.529
ʤ	ʤ	0.189
ˈa	w	0.199
ˈe	w	0.209
ˈuː	ˈøː	0.409
ˈø	ˈɔ	0.639
ˈɔ	ˈɔ	0.89
ˈɛː	ˈɛː	0.169
ˈɛː	ˈɛ	0.519
