East Low German	Gothic	probability
ˈʏ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈɛː	ˈi	1.0
ˈɛ	ˈi	1.0
ˈœː	ˈu	1.0
ˈœ	ˈɔ	1.0
ˈoː	ˈɔː	1.0
ˈa	ˈa	1.0
ɡ	ɡ	1.0
æ_n	r_n	1.0
w	w	1.0
tʰ	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
l_f	l_b	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_h	1.0
n	n	0.953
v	w	0.889
l	l	0.885
b	b	0.833
z	s	0.818
k	k	0.778
#>	s_#>	0.766
m	m	0.765
ˈɪ	ˈi	0.762
x	h	0.714
t	t	0.714
ˈuː	ˈuː	0.667
t_#>	θ_#>	0.667
ˈɔ	ˈu	0.6
ç	s	0.6
ˈiː	ˈiː	0.583
ˈaʊ̯	ˈoː	0.583
ˈɒː	ˈa	0.556
ˈae̯	ˈɛː	0.545
ʃ	s	0.533
ˈaː	ˈɛ_r	0.5
ˈaː	ˈa_r	0.5
æ	r	0.5
j	ɡ	0.5
j	j	0.5
d	θ	0.5
ʃ	s_k	0.467
ˈae̯	ˈiu̯	0.455
ˈɒː	ˈeː	0.444
d	d	0.429
ˈɔ	ˈa	0.4
ç	x	0.4
æ	a_r	0.389
ŋ	ŋ	0.364
ˈuː	ˈɔ	0.333
t_#>	#>	0.333
x	s	0.286
ŋ	ŋ_ɡ	0.273
ˈiː	ˈi	0.25
ˈaʊ̯	ˈɔː	0.25
k	ɡ_s	0.222
ŋ	ɣ_a	0.182
ŋ	h	0.182
z	s_ˈɛ	0.182
ˈiː	ˈɛ	0.167
ˈaʊ̯	ˈɔ	0.167
b	β	0.167
#>	n_#>	0.156
ˈɪ	ˈɛː	0.143
m	β_a	0.118
m	a	0.118
l	lː	0.115
æ	r_u	0.111
v	ʍ	0.111
t	θ	0.107
t	t_a	0.107
ˈɪ	ˈiː	0.095
#>	a_#>	0.078
t	s	0.071
d	d_u	0.071
