Min Bei	Min Bei	probability
⁵⁴	⁵⁵	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ɥ	-	1.0
œ	-	1.0
ŋ	ŋ	1.0
³³_#>	#>	1.0
y_j	w_o	1.0
x	h	1.0
w_ɛ	a_j	1.0
w	w	1.0
u_j	a	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
o	-	1.0
m	m	1.0
l	l̃	1.0
kʰ	kʰ	1.0
k	k	1.0
e_j	i	1.0
e	a_w	1.0
a_⁵⁴	a_⁵⁵	1.0
<#_ŋ	<#_ŋ	1.0
<#	<#_ŋ	1.0
⁵⁵	²⁴²	0.846
s	s	0.818
⁴²	ʔ_⁵	0.8
³³	⁵³	0.8
²⁴	ʔ_²⁴	0.8
n	nˡ	0.778
²¹	³³	0.694
a_w	o	0.6
<#_w	<#_w	0.6
a	a	0.542
j	j	0.455
u	w	0.4
a_w	e_w	0.4
<#_w	<#	0.4
i	ɛ_j	0.333
²¹	⁵³	0.306
ɔ	ø_ɥ	0.294
ɛ	-	0.286
j	-	0.273
u	o_w	0.267
ɔ	o_w	0.235
y	y	0.222
n	-	0.222
i	i	0.222
ɛ	j	0.214
ɛ	a_j	0.214
⁴²	²⁴²	0.2
³³	²¹³	0.2
²⁴	²⁴	0.2
u	u	0.2
s	ʦ	0.182
ɔ	u	0.176
ɔ	o	0.176
y	ø_ɥ	0.167
y	-	0.167
i	ɛ	0.167
i	j_e	0.167
⁵⁵	²¹³	0.154
ɛ	ɑ_j	0.143
ɛ	i	0.143
u	e_w	0.133
a	ɛ	0.125
a	ɑ_ʔ	0.125
a	o	0.125
ɔ	ɔ	0.118
y	w_o	0.111
y	w	0.111
y	u	0.111
y	o	0.111
i	j	0.111
j	o	0.091
j	e	0.091
j	a	0.091
a	ɑ	0.083
