American English	West Frisian	probability
b	b	1.0
d	d	0.531
d	t	0.335
d	-	0.134
f	f	0.902
f	-	0.089
h	h	1.0
i	ɪ	0.703
i	ə	0.297
j	j	0.668
j	ɡ	0.332
k	k	0.965
kʰ	k	1.0
l	l	1.0
m	m	0.979
n	n	0.982
oʊ̯	-	0.84
oʊ̯	j	0.16
p	p	1.0
pʰ	p	1.0
s	s	0.958
t	t	0.69
t	χ_t	0.267
tʰ	t	0.812
tʰ	ʦ	0.145
tː	t	1.0
v	v	0.559
v	-	0.319
v	f	0.122
w	ʋ	0.437
w	v	0.387
w	ˈɔ	0.068
w	-	0.058
z	s	0.682
z	z	0.318
ð	d	1.0
ŋ	ŋ	0.9
ŋ	n	0.1
ə	-	0.524
ə	ə	0.443
ɚ	r	0.606
ɚ	ə_r	0.264
ɚ	ˈuə̯_r	0.065
ɡ	ɡ	0.79
ɡ	-	0.21
ɪ	ə	1.0
ɫ	l	0.923
ɹ	r	0.859
ɹ	-	0.104
ɾ	ə	1.0
ʃ	s	1.0
ʤ	ɣ	0.635
ʤ	χ	0.365
ʧ	k	0.535
ʧ	ʦ	0.465
ˈaɪ̯	ˈiː	0.284
ˈaɪ̯	j	0.197
ˈaɪ̯	ˈuː	0.127
ˈaɪ̯	ˈi	0.123
ˈaɪ̯	ˈɪ	0.077
ˈaɪ̯	ˈɪə̯	0.076
ˈaɪ̯	ˈa	0.061
ˈaɪ̯	ˈeː	0.057
ˈaʊ̯	ˈuː	0.525
ˈaʊ̯	ˈoː	0.227
ˈaʊ̯	ˈuə̯	0.15
ˈaʊ̯	ˈyː	0.058
ˈeɪ̯	ˈa	0.353
ˈeɪ̯	ˈɛi̯	0.27
ˈeɪ̯	ˈaː	0.144
ˈeɪ̯	ə	0.091
ˈeɪ̯	ˈɪə̯	0.065
ˈi	ˈiə̯	0.268
ˈi	ˈɪə̯	0.213
ˈi	ˈi	0.154
ˈi	j	0.106
ˈi	ˈɛ	0.093
ˈoʊ̯	ˈiə̯	0.416
ˈoʊ̯	ˈɪə̯	0.152
ˈoʊ̯	ˈoə̯	0.102
ˈoʊ̯	ˈɔː	0.1
ˈoʊ̯	ˈuə̯	0.056
ˈoʊ̯	ˈɔ	0.051
ˈu	ˈɪ	0.303
ˈu	ˈuə̯	0.213
ˈu	ˈoː	0.172
ˈu	ˈoə̯	0.103
ˈu	j	0.095
ˈu	ˈiː	0.082
ˈæ	ˈa	0.288
ˈæ	ˈɔː	0.24
ˈæ	ˈaː	0.132
ˈæ	ˈɛː	0.102
ˈæ	ˈɪə̯	0.088
ˈæ	ˈɛ	0.088
ˈæ	ˈɪ	0.061
ˈɑ	ˈɛ	0.347
ˈɑ	ˈɛː	0.199
ˈɑ	ˈɔ	0.156
ˈɑ	ˈa	0.118
ˈɑ	ˈaː	0.054
ˈɑ	ˈi	0.054
ˈɑ	ˈɔː	0.054
ˈɔ	ˈoə̯	0.579
ˈɔ	ˈø	0.091
ˈɔ	ˈaː	0.089
ˈɔ	ˈɔu̯	0.086
ˈɔ	ˈɛ	0.086
ˈɔ	ˈa	0.069
ˈɛ	ˈɪə̯	0.214
ˈɛ	ˈiə̯	0.143
ˈɛ	ˈɪ	0.137
ˈɛ	ˈaː	0.109
ˈɛ	-	0.086
ˈɛ	ˈɛ	0.084
ˈɛ	ˈa	0.08
ˈɝ	ˈɛ	0.353
ˈɝ	j	0.25
ˈɝ	ˈiə̯	0.203
ˈɝ	-	0.194
ˈɪ	ˈɪ	0.546
ˈɪ	ˈi	0.108
ˈɪ	ˈɔ	0.093
ˈɪ	ˈeː	0.083
ˈɪ	ˈɛː	0.056
ˈʊ	ˈuə̯	0.569
ˈʊ	ˈɔ	0.431
ˈʌ	ˈɔ	0.35
ˈʌ	ˈu	0.21
ˈʌ	ˈoə̯	0.138
ˈʌ	ˈy	0.077
ˈʌ	ˈuə̯	0.064
ˈʌ	ˈuː	0.051
θ	t	0.437
θ	-	0.183
θ	d	0.162
θ	ʦ	0.139
θ	n	0.078
