Slovak	Proto-Slavic	probability
ˈæ	ẽ̂ː	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	l	1.0
ʋ	v	1.0
ʊ̯ˈɔ	ǒ	1.0
ʃ	ʒ_ĭ	1.0
ɫ_ˈa	ôː_l	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
ɛ_m	m_ĭ	1.0
ɛ_#>	e_#>	1.0
z	z	1.0
v	v	1.0
t_#>	t_ŭ_#>	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_ˈa	r	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
iː	ŭ	1.0
i	ŭ	1.0
d	d	1.0
b	b	1.0
<#_ˈɔ	<#_ô	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_c	<#_t	1.0
<#	<#_ô	1.0
r	r	0.909
ɔ	o	0.846
p	p	0.846
ɫ	l	0.833
t	t	0.812
ɲ	n	0.714
ˈr̩	r	0.667
a	ǎ	0.667
#>	ĭ_#>	0.667
x	x	0.636
c	t_ĭ	0.571
ˈɫ̩	ĭ̂_l	0.5
ˈɫ̩	ĭˀ_l	0.5
ɛ	ɛ̌	0.5
ɛ	ɛː	0.5
ˈi	ǐ	0.429
ɪ̯ˈɛ	ɛː	0.429
c	t_i	0.429
ˈɛ	e	0.412
x	ɡ_ŭ	0.364
ˈɛ	ɛ̂ː	0.353
ˈɔ	ô	0.333
ˈɔ	o	0.333
ˈr̩	ĭ̂_r	0.333
ˈa	aˀ	0.333
a	a	0.333
#>	ŭ_#>	0.333
ˈi	ɨ̌	0.286
ˈi	i	0.286
ɲ	ɲ	0.286
ɪ̯ˈɛ	ɛˀ	0.286
ɪ̯ˈɛ	l	0.286
ˈa	r	0.222
ˈa	ẽ	0.222
ˈa	ê	0.222
ˈɔ	ǒ	0.19
t	d_ŭ	0.188
ɫ	l_ŭ	0.167
ɔ	ǒ	0.154
p	b_ŭ	0.154
ˈɔ	ôː	0.143
ˈɛ	ĭ̌	0.118
ˈɛ	ê	0.118
r	oˀ	0.091
