French	Asturian	probability
p	p	1.0
y	ˈu	1.0
z	θ	1.0
ø	u	1.0
ɔ̃	e	1.0
ə	e	1.0
ɥ	ˈu	1.0
a	ˈa	0.31
f	f	0.911
j	ʝ_a	0.071
k	k_w	0.061
o	s_u	0.251
s	s	0.51
ɔ	w_ˈe	0.291
ɛ	j_ˈe	0.11
ɛ̃	u	0.1
ɡ	ɡ	0.411
ʒ	-	0.221
e	ˈa	0.182
e	e_s	0.192
i	u	0.052
i	ˈe	0.212
w	-	0.12
ɔ	o	0.332
ɛ	ˈe	0.382
ʁ	ɾ_u	0.072
ʁ	r	0.122
b	b	0.813
j	-	0.303
l	l	0.263
v	b	0.703
ɛ	e	0.073
ɛ̃	ˈa	0.143
ʁ	ɾ_e	0.093
a	-	0.164
d	-	0.054
l	ʎ	0.584
m	m	0.804
s	-	0.204
t	t	0.814
u	o	0.154
w	ˈu	0.134
œ	ˈo	0.404
ɑ̃	ŋ	0.104
ʁ	-	0.074
ʁ	ɾ	0.574
j	j	0.625
n	n_a	0.465
n	n	0.535
o	ˈo	0.295
ɛ̃	ŋ	0.355
ʁ	ɾ_a	0.055
ʃ	k_a	0.185
ʃ	k	0.815
a	a	0.486
i	j_ˈe	0.06
k	k	0.896
m	m_a	0.196
o	ʎ_u	0.126
s	θ	0.286
t	s_t	0.186
u	ˈo	0.846
w	ˈe	0.746
œ	w_ˈe	0.596
ɑ̃	ˈe_n	0.896
b	β	0.187
d	ð	0.057
e	ˈa_ɾ	0.457
f	-	0.067
i	ˈi	0.677
l	l_u	0.117
o	l	0.17
v	β	0.297
ɛ̃	ˈi_ŋ	0.147
ɛ̃	n_u	0.207
d	d	0.888
o	u	0.158
ɔ	ˈo	0.378
e	ˈa_ð	0.169
ɛ	ˈa	0.369
ɡ	ɣ	0.589
ʒ	ʃ	0.779
