Gascon	Aragonese	probability
a	a	1.0
b	b	1.0
nː	m	1.0
p	p	1.0
ð	ð	1.0
ɣ	ɣ	1.0
ʃ	ʃ	1.0
ʦ	θ	1.0
β	β	1.0
k	ɡ	0.081
r	ɾ	0.921
s	θ	0.171
ˈu	ˈo	0.421
w	w	0.522
z	s	0.632
ɔ	n_a	0.052
ɲ	ɲ_o	0.242
ɾ	ɾ	0.882
ʎ	ʎ_o	0.512
ˈa	ˈa	0.762
ˈi	ˈi	0.952
ˈɛ	j_ˈe	0.552
d	d	0.983
i	j	0.333
n	n	0.833
u	u	0.123
w	-	0.143
e	ɾ	0.104
j	j	0.744
k	k_o	0.084
l	ʎ	0.074
ŋ	ŋ	0.254
ʎ	ʎ	0.44
ˈe	ˈe	0.864
e	e	0.625
m	m	0.955
ʒ	-	0.105
ʒ	ʧ	0.895
ˈe	j_ˈe	0.055
ˈu	w_ˈe	0.375
ˈy	ˈu_ɾ	0.075
ˈɔ	ˈo	0.435
ˈɔ	w_ˈe	0.565
j	-	0.236
k	k	0.786
l	l	0.926
s	-	0.06
t	t	0.6
ɡ	ɡ	0.976
ˈu	ˈu	0.156
ˈy	ˈu	0.836
h	f	0.977
n	n_t	0.167
t	-	0.127
u	o	0.877
ŋ	n_o	0.367
ˈa	ˈa_ɾ	0.177
i	ɾ_e	0.148
i	i	0.518
w	l_o	0.098
z	θ	0.368
ŋ	n	0.378
ɲ	ɲ	0.758
ɾ	-	0.118
e	ɾ_o	0.109
r	ɾ_n	0.079
s	s	0.739
t	j_t	0.059
t	t_o	0.099
w	o	0.199
ɔ	a	0.9
ˈɛ	-	0.059
ˈɛ	ˈe	0.389
