Gothic	Gothic	probability
θ_iː	d̥	1.0
β_a	m	1.0
β	m	1.0
ˈɛ	ˈɛ	1.0
ˈuː	ˈaʊ̯	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈaɪ̯	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_l	ˈɛ_l	1.0
ʍ	v	1.0
ɣ_a	ŋ	1.0
ɡʷː	ˈaɪ̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
x	-	1.0
u	-	1.0
t_s	s	1.0
t_a	z̥	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_n	ɐ_n	1.0
n_θ	n	1.0
n_s	ə	1.0
n_#>	#>	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	-	1.0
k_ˈa	ˈa	1.0
j_a	n	1.0
iː	-	1.0
i_f	a	1.0
i	-	1.0
h_t	x_d̥	1.0
f_s	b̥	1.0
f	f	1.0
e	-	1.0
d	d̥	1.0
b	b̥	1.0
aː	-	1.0
a_x	i	1.0
a_r	ɐ	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_ɡ̊	1.0
<#_h	<#	1.0
<#_d	<#_d̥	1.0
w	v	0.895
θ	d̥	0.867
n	n	0.862
ˈɛː	ˈaː	0.8
p	f	0.75
oː	-	0.75
h	h	0.75
ˈeː	ˈoː	0.714
k	ç	0.714
ˈiu̯	ˈiː	0.7
r	ɐ	0.652
ɡ	ɡ̊	0.6
j	-	0.6
ˈa	ˈɒ	0.591
ˈɔ	ˈɔ	0.5
s	ʃ	0.471
ˈi	ˈɪ	0.458
ˈɔː	ˈuː	0.455
ˈu	ˈʊ	0.438
ɡ	-	0.4
j	j	0.4
a	a	0.353
a	-	0.353
r	r	0.348
ˈi	ˈiː	0.333
ˈu	ˈɔ	0.312
t	ʦ	0.308
t	d̥	0.308
ˈiu̯	ˈaɪ̯	0.3
ˈeː	-	0.286
k	x	0.286
ˈɔ	ˈuː	0.25
ˈɔ	-	0.25
p	v̥	0.25
oː	a	0.25
h	-	0.25
s	s	0.235
ˈa	ˈoː	0.227
ˈi	-	0.208
ˈɛː	-	0.2
ˈɔː	ˈɘ	0.182
ˈɔː	ˈaː	0.182
ˈɔː	-	0.182
s	ɐ	0.176
a	ɐ	0.176
t	z̥	0.154
t	s	0.154
n	-	0.138
θ	-	0.133
ˈu	ˈoː	0.125
ˈu	-	0.125
s	-	0.118
a	n	0.118
w	-	0.105
ˈa	ˈɛ	0.091
ˈa	ˈaː	0.091
t	t	0.077
