Swiss German	Icelandic	probability
b̥	b̥	0.662
b̥	v	0.125
b̥	-	0.085
b̥	v_ʏ	0.074
b̥	f	0.034
d̥	ð	0.368
d̥	θ	0.325
d̥	-	0.183
d̥	d̥	0.108
f	f	0.745
f	p	0.103
f	v_ʏ	0.083
f	v	0.035
f	-	0.034
fː	p	0.309
fː	ʰp	0.309
h	h	0.85
h	-	0.072
h	ç	0.063
i	ʏ	0.42
i	ɑu̯	0.152
i	ŋ	0.152
i	u	0.152
i	ɛː	0.102
j	ˈu	0.355
j	ˈɑːu̯	0.166
k	c	0.561
k	ʰk	0.123
k	k	0.066
l	l	0.611
l	l̥	0.186
l	t_l̥	0.137
l	l̥_ʏ	0.03
l	-	0.028
m	m	0.616
m	m_ʏ	0.261
m	p	0.056
m	j	0.051
n	n	0.584
n	-	0.187
n	t_n̥	0.104
n	nː	0.079
n	n̥	0.035
n_d̥	nː	1.0
nː	nː	0.468
p	v	1.0
p͡f	p	0.103
p͡f	ʰp	0.103
r	r	0.535
r	r̥	0.341
r	-	0.048
r	r_ɪ	0.036
r_ə	r̥	1.0
rː	ˈœ	0.468
s	s	0.781
s	t	0.133
s	sː	0.038
s	v	0.037
s	ð	0.029
sː	t	0.5
sː	t_ʏ	0.332
sː	sː	0.078
sː	ʰt	0.074
t	ð	0.335
t	d̥	0.263
t	t	0.199
t	ʰt_ʏ	0.084
t	θ	0.046
tː	ð	1.0
w	l̥	0.103
ŋ	ŋ	0.462
ŋ	n	0.245
ŋ	ɲ	0.13
ŋ	nː	0.13
ŋ_k	ʰk	0.468
ə	a	0.508
ə	-	0.186
ə	ɪ	0.106
ə	ʏ	0.103
ə	n̥	0.065
ɡ̊	ɡ̊	0.457
ɡ̊	-	0.208
ɡ̊	ɟ̊	0.201
ɡ̊	ɣ_ʏ	0.051
ɡ̊	ɣ	0.045
ʃ	s	0.652
ʃ	s_c	0.177
ʃ	s_k	0.134
ʃː	k	0.468
ʋ	v	0.481
ʋ	-	0.314
ʋ	ˈu	0.122
ʋ	kʰ	0.067
ʦ	tʰ	0.532
ʦ	t	0.246
ʦ	ɣ	0.099
ʦ	d̥	0.099
ˈa	ˈa	0.631
ˈa	ˈɑu̯	0.105
ˈa	ˈaːi̯	0.097
ˈau̯	ˈœːy̯	1.0
ˈe	ˈɛ	0.639
ˈe	ˈɛː	0.179
ˈe	u	0.179
ˈei̯	ˈɛi̯	1.0
ˈeː	j_ˈoːu̯	0.53
ˈeː	ˈɑːu̯	0.285
ˈi	ˈɪ	0.355
ˈi	ˈi	0.18
ˈi	ˈɪː	0.166
ˈi	j	0.141
ˈi	ˈɛː	0.047
ˈiə̯	j_ˈoːu̯	0.496
ˈiə̯	ˈiː	0.194
ˈiə̯	j	0.194
ˈiə̯	ˈɛː	0.078
ˈiː	ˈiː	1.0
ˈo	ˈɔ	0.278
ˈo	ˈʏ_t	0.144
ˈo	ˈʏː	0.144
ˈo	ˈʏ	0.093
ˈo	ˈɑːu̯	0.082
ˈou̯	ˈœː	0.28
ˈou̯	ˈa	0.28
ˈou̯	ˈɛːi̯	0.164
ˈou̯	ˈœːy̯	0.062
ˈou̯	r	0.059
ˈoː	ˈœːy̯	0.369
ˈoː	ˈɔ	0.224
ˈoː	ˈɔː	0.114
ˈoː	ˈɛːi̯	0.105
ˈoː	ˈɑːu̯	0.105
ˈu	ˈʏ	0.2
ˈu	ˈɔ	0.142
ˈu	ˈoːu̯	0.132
ˈu	ˈuː	0.132
ˈu	ˈu	0.105
ˈuə̯	ˈoːu̯	0.708
ˈuə̯	ˈɔu̯	0.179
ˈuə̯	ˈiː	0.078
ˈuː	ˈuː	0.738
ˈuː	ˈʏ_nː	0.118
ˈuː	ˈiː	0.096
ˈy	ˈai̯	0.247
ˈy	ˈuː	0.187
ˈy	-	0.126
ˈy	ˈi	0.121
ˈy	ˈɪː	0.116
ˈyə̯	ˈaːi̯	0.53
ˈyə̯	ˈai̯	0.177
ˈyə̯	ˈoːu̯	0.164
ˈyː	ˈiː	0.356
ˈyː	j	0.293
ˈyː	ˈʏː	0.2
ˈyː	ˈɪ	0.059
ˈyː	ˈi	0.044
ˈæ	j	0.374
ˈæ	ˈɛ	0.108
ˈæ	ˈa	0.105
ˈæ	ˈɛː	0.082
ˈæ	ˈɪː	0.069
ˈæi̯	ˈɛːi̯	0.327
ˈæi̯	ˈeːi̯	0.285
ˈæː	ˈɛː	0.199
ˈæː	ˈiː	0.199
ˈæː	ˈa	0.116
ˈæː	ˈɛ	0.116
ˈø	ˈɪ	0.341
ˈø	ˈʏ	0.199
ˈø	ˈou̯	0.183
ˈø	ˈɛ	0.062
ˈøi̯	ˈɔ	0.229
ˈøi̯	ˈeːi̯	0.199
ˈøi̯	ˈiː	0.107
ˈøi̯	ˈœː	0.068
ˈøː	ˈou̯	0.45
ˈøː	ˈœy̯	0.211
ˈøː	ˈɛːi̯	0.113
ˈɒ	ˈa	0.316
ˈɒ	ˈaː	0.229
ˈɒ	ˈœ	0.157
ˈɒ	ˈɑu̯	0.061
ˈɒ	ˈɔu̯	0.061
ˈɒ_χ	ˈɑu̯	0.468
ˈɒː	ˈaː	0.364
ˈɒː	ˈɑːu̯	0.235
ˈɒː	ˈa	0.184
ˈɒː	ˈɔ	0.07
ˈɒː	ˈɔː	0.049
ˈɛi̯	ˈɛ	0.574
ˈɛi̯	ˈɛːi̯	0.269
χ	k	0.247
χ	-	0.244
χ	kʰ	0.233
χ	cʰ	0.071
χ	rː̥	0.049
χ_t	ʰt	1.0
