Macedonian	Belarusian	probability
#>	ɨ_#>	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_t	<#_ʦʲ	1.0
<#_ɡ	<#_ɣ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʣ	<#_zʲ	1.0
<#_ʧ	<#_ʧ	1.0
<#_ˈo	<#_v_ˈo	1.0
a	-	1.0
d	d	1.0
i	ˈɨ	1.0
l	lʲ	1.0
m_#>	m_#>	1.0
n_#>	nʲ	1.0
o_#>	a_#>	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
r_ˈa	r_ˈo	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
v_ɛ	vʲ_ˈe	1.0
z	zʲ	1.0
ɡ	ɣ	1.0
ʃ	ʂ	1.0
ʦ	ʦ	1.0
ˈo_ɫ	ˈo_w	1.0
ˈɛ_k	a_k	1.0
ˈɛ_l	æ_lʲ	1.0
<#_p	<#_p	0.571
<#_s	<#_s	0.571
<#_v	<#_vʲ	0.571
t_#>	ʦʲ_#>	0.571
ˈa	a	0.231
ˈa	ˈu	0.231
ˈa	ˈa	0.231
n	nʲ	0.2
ɛ_#>	ˈæ_#>	0.222
ˈɛ	æ	0.172
b	bʲ	0.333
k_#>	x_#>	0.273
ɛ_#>	a_#>	0.333
ˈo	a	0.353
ˈɛ	ˈe	0.483
<#_d	<#_ʣʲ	0.444
a_#>	a_#>	0.294
k_#>	k_#>	0.364
k_#>	i_#>	0.364
o	kʲ	0.4
s	s	0.444
ɛ_#>	ʦʲ_#>	0.444
ˈa	-	0.154
ˈa	ˈo	0.154
ˈi	ˈi	0.444
<#	<#_v	0.5
<#	x	0.5
<#_m	<#_m	0.5
<#_m	<#_mʲ	0.5
<#_z	<#_z	0.5
<#_z	<#_zʲ	0.5
f_#>	v_ɨ_#>	0.5
f_#>	w_#>	0.5
k	k	0.5
k	k_a	0.5
m	m	0.5
m	mʲ	0.5
v	v	0.455
v	vʲ	0.545
ɛ	ˈe	0.25
ɛ	æ	0.375
ɛ	e	0.375
ɫ	lʲ	0.125
ɫ	ɫ	0.875
ɫ_#>	lʲ_#>	0.5
ɫ_#>	ɫ_#>	0.5
ˈo_r	a_r	0.5
ˈo_r	ˈo_r	0.5
ˈr̩	ˈe_r	0.25
ˈr̩	r	0.75
<#_d	<#_d	0.556
a_#>	ˈa_#>	0.706
o	ˈo	0.6
s	sʲ	0.556
ˈi	ˈɨ	0.556
b	b	0.667
ˈo	ˈo	0.647
n	n	0.8
ˈɛ	ˈæ	0.138
<#_p	<#_pʲ	0.429
<#_s	<#_sʲ	0.429
<#_v	<#_v	0.429
t_#>	t_#>	0.429
ˈɛ	a	0.069
ˈɛ	ˈɛ	0.069
ˈɛ	ˈo	0.069
