Dalmatian	Aromanian	probability
b	b	1.0
e	i	1.0
i	i	1.0
o	u	1.0
ŋ	n	1.0
ɡ	ɡ	1.0
ʧ	ʦ	1.0
ˈe	ˈi	1.0
ˈi	i	1.0
ˈɔ	-	1.0
a	-	0.221
j	-	0.061
l	ʎ	0.391
n	n	0.891
ˈa	ˈu	0.091
ˈa	ˈe	0.121
d	ʣ	0.262
p	p	0.652
t	t_i	0.142
ˈa	ˈa	0.172
ˈu	ˈu	0.32
a	ə	0.663
f	f	0.813
p	-	0.183
r	r_i	0.363
s	s	0.663
w	-	0.643
ˈu	ˈo	0.193
v	j	0.334
ˈo	ˈu	0.74
j	w	0.055
j	j	0.885
k	k	0.895
m	m	0.955
p	k	0.165
a	i	0.116
k	-	0.076
ˈa	-	0.06
ˈo	ˈo	0.26
s	ʃ	0.337
w	ˈɨ	0.357
d	d	0.738
f	-	0.068
l	r	0.058
l	l	0.508
r	r	0.588
t	t	0.858
v	v	0.308
v	-	0.358
ˈa	ˈi	0.268
ˈa	e̯ˈa	0.288
ˈu	ˈa	0.258
f	ç	0.119
n	-	0.109
ˈu	ˈɨ	0.229
