Bokmål Norwegian	Swabian	probability
f	f	1.0
i	ɪ	1.0
m	m	1.0
mː	m	1.0
pʰ	p͡f	1.0
pː	f	1.0
sː	s	1.0
ŋː	ŋ	1.0
ɪ	ɪ	1.0
ɳ	ʕ	1.0
ʈː	ʦ	1.0
b	-	0.061
j	ˈɛː	0.151
k	ɡ	0.071
lː	e	0.151
lː	l	0.811
s	ʃ	0.481
tː	s	0.541
ŋ	ɡ	0.811
ʂ	ʃ	0.951
ˈeː	ˈɔe̯	0.141
ˈuː	ˈu	0.051
ˈuː	ˈɔə̯	0.151
ˈæɪ̯	ˈɛː	0.11
ˈæɪ̯	ˈɔe̯	0.671
ˈæː	-	0.091
ˈøː	ˈɛ	0.091
ˈøː	ˈao̯	0.241
ˈɑ	ˈɔː	0.101
ˈɛ	ˈae̯	0.061
ˈɛ	ˈa	0.1
ˈʉ	ˈae̯	0.051
l	ɡ_l	0.112
n	n	0.622
t	s	0.632
tː	ʦ	0.112
ə	a	0.612
ˈiː	a	0.082
ˈoː	-	0.142
ˈuː	ˈao̯	0.072
ˈyː	ˈiː	0.282
ˈæ	ˈi	0.502
ˈœ	-	0.052
ˈœ	ˈao̯	0.082
ˈœ	ˈe	0.12
ˈœ	ˈeə̯	0.172
ˈœ	ˈae̯	0.172
ˈɑ	ˈa	0.782
ˈɔ	ˈu	0.072
ˈɪ	ˈeː	0.072
ˈɪ	ˈɪ	0.132
ˈʉ	ˈo	0.742
ˈʉː	ˈae̯	0.062
j	h	0.3
k	ç	0.573
kː	ɡ	0.503
s	s	0.493
t	d	0.333
ɡː	-	0.133
ɾ	d_ʌ	0.123
ʈ	d	0.33
ˈeː	ˈɛː	0.063
ˈoː	ˈae̯	0.063
d	s	0.154
k	x	0.14
kʰ	kʰ	0.834
nː	d	0.114
p	f	0.834
ə	-	0.354
ɡ	ɡ	0.94
ɾ	ʌ	0.134
ʋ	ʋ	0.744
ˈeː	ˈɪ	0.164
ˈoː	ˈɔː	0.304
ˈæː	ˈeː	0.294
ˈœ	ʋ	0.054
ˈœ	ˈiə̯	0.054
ˈœ	ˈu	0.094
ˈɑː	ˈa	0.634
ˈɔ	ˈi	0.264
ˈʏ	ˈɪ	0.4
h	h	0.965
j	x	0.085
ˈeː	ˈiː	0.065
ˈeː	ˈeː	0.095
ˈeː	ˈɛ	0.185
ˈoː	ˈo	0.105
ˈoː	ˈoː	0.105
ˈoː	ˈaː	0.125
ˈyː	ˈəi̯	0.325
ˈæː	ˈɛ	0.615
ˈøː	ˈae̯	0.085
ˈɔ	ˈaː	0.095
ˈɪ	-	0.05
ˈɪ	ˈʌ	0.105
ˈʉː	ˈoː	0.065
ˈʉː	ˈɔ	0.085
ˈʏ	ˈəi̯	0.05
k	-	0.216
kʰ	ʁ	0.166
n	ç	0.086
nː	n	0.736
p	b̥͡f	0.166
tʰ	d	0.56
ɡ	-	0.06
ɾ	ʕ	0.276
ˈeː	ˈɔː	0.06
ˈiː	ˈae̯	0.146
ˈuː	ˈɔe̯	0.056
ˈɑː	ˈaː	0.366
ˈɔ	ˈa	0.116
ˈɔ	ˈɔ	0.16
ˈɛ	ˈɔe̯	0.246
ˈɪ	ˈi	0.136
ˈʊ	ˈao̯	0.266
ˈʊ	ˈeː	0.266
j	-	0.197
j	ɡ	0.267
kː	ŋ_ɡ	0.497
n	-	0.247
tʰ	ʦ	0.397
tː	ç	0.117
ç	kʰ	0.977
ɡː	ɡ	0.867
ʈ	ʦ	0.67
ʋ	-	0.097
ˈiː	ˈi	0.237
ˈuː	ˈuə̯	0.307
ˈʉ	ˈao̯	0.117
l	l	0.888
nː	-	0.078
ʋ	b	0.128
ˈuː	ˈɛ	0.118
ˈyː	ˈiə̯	0.358
ˈæ	ˈɛ	0.498
ˈæɪ̯	ˈeː	0.18
ˈøː	-	0.088
ˈøː	ˈuə̯	0.128
ˈøː	ˈoː	0.288
ˈɛ	ˈɛ	0.48
ˈɪ	ˈe	0.368
ˈʉ	ʋ_ˈo	0.078
b	b	0.939
d	d	0.749
tː	x	0.19
ŋ	i	0.189
ɾ	ʁ	0.419
ˈeː	ˈoː	0.059
ˈeː	ˈae̯	0.059
ˈeː	ˈa	0.109
ˈiː	ˈaː	0.079
ˈiː	ˈəi̯	0.399
ˈoː	ŋ	0.109
ˈuː	ˈɔ	0.169
ˈœ	ˈoː	0.119
ˈɑ	-	0.059
ˈɔ	ˈo	0.219
ˈɪ	ˈɛ	0.099
ˈʉː	ˈao̯	0.599
ˈʊ	ˈoː	0.469
ˈʏ	ˈu	0.549
