Wymysorys	German	probability
ˈʏ	ˈʊ	1.0
ˈy	ˈuː	1.0
ˈo	ˈaː	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ɛ_r	ɐ	1.0
z	z	1.0
v_ɛ	b	1.0
u	l	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_#>	k_ə_#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
w	l	0.943
v	v	0.926
n	n	0.898
s	s	0.897
ŋ	ŋ	0.778
ˈɘ̟	ˈɪ	0.762
t	t	0.696
a	n	0.688
ə	-	0.667
r	ʁ	0.658
ˈɑ	ˈa	0.654
ˈɑi̯	ˈaʊ̯	0.65
ˈa	ˈaɪ̯	0.643
k	kʰ	0.632
ˈi̯ø	ˈa_ɐ	0.6
ɟ	ɡ	0.6
ˈɔ	ˈa	0.583
ˈø	ˈaː	0.571
ˈi	ˈiː	0.556
ˈɛ	ˈɛ	0.5
x	ç	0.5
x	x	0.5
w_#>	l_ə_#>	0.5
w_#>	#>	0.5
ˈø	ˈoː	0.429
ˈei̯	ˈeː	0.429
ˈi̯ø	ˈaː_ɡ	0.4
ɡ̊	ɡ̊	0.4
ɟ	-	0.4
ˈɑi̯	ˈɔʏ̯	0.35
ˈu	ˈɔ	0.348
ˈu	ˈoː	0.348
r	ɐ	0.342
ə	ɐ	0.333
ˈu	ˈʊ	0.304
ˈei̯	ˈɪ	0.286
ˈei̯	ˈiː	0.286
k	k	0.263
t	tʰ	0.261
ˈɛ	ˈaɪ̯	0.25
ˈɛ	ˈa	0.25
ˈɔ	ˈaː	0.25
ˈɘ̟	ˈʏ	0.238
ˈi	ˈyː	0.222
ŋ	n_ɪ	0.222
ˈa	ˈɛ	0.214
ɡ̊	ɡ_ə	0.2
ɡ̊	ç	0.2
ɡ̊	-	0.2
ˈɑ	ˈeː	0.192
a	ə_n	0.188
ˈɔ	ˈɔ	0.167
ˈɑ	ˈɛ	0.154
ˈa	ˈeː	0.143
a	ə	0.125
ˈi	ˈuː	0.111
ˈi	ˈeː	0.111
k	ç	0.105
s	z_ə	0.103
v	-	0.074
n	b_n	0.061
w	-	0.057
