Proto-Slavic	Standard Serbian	probability
̂_l	̂	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʤ	d	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɨː	iː	1.0
ɨ	i	1.0
ɛː_̂	eː_̂	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
ŭ_̌	a_̂	1.0
ŭ_k	k	1.0
uː	uː	1.0
u	u	1.0
tʲ	ʨ	1.0
t	t	1.0
s	s	1.0
rʲ	r	1.0
r_ŭ	a_r	1.0
p	p	1.0
o_̌	o	1.0
o_l	l_aː	1.0
n	n	1.0
m_ĭ	a_m	1.0
m	m	1.0
l_ŭ	o	1.0
j	j	1.0
ĭː	r̩ː	1.0
ĭ_̌	a_̂	1.0
ĭ_̂_l	uː_̂	1.0
ĭ_ˀ_l	u_̂	1.0
iː	iː	1.0
ẽː	eː	1.0
eː	-	1.0
d_l	l	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a_̌	a	1.0
a_ˀ	a	1.0
a	a	1.0
k	k	0.953
ɡ	ɡ	0.908
̂	̂	0.872
e	e	0.851
l	l	0.783
ˀ	̂	0.762
ŭ	-	0.732
ĭ	-	0.726
i	i	0.672
ɛː_̌	e_̂	0.667
̌	̂	0.607
ẽ	eː	0.594
o	o	0.584
õː	uː	0.58
oː	r_aː	0.522
r	r	0.49
oː	oː	0.478
ɛː	e	0.469
ẽ	-	0.406
r	-	0.359
ɛː_̌	e	0.333
ɛː	eː	0.288
õː	u	0.284
ŭ	a	0.268
̌	-	0.25
ɛː	-	0.243
l	-	0.217
i	-	0.206
o	oː	0.191
ĭ	a	0.151
r	r̩_̂	0.15
̌	̌	0.143
ˀ	-	0.143
õː	uː_̌	0.137
ĭ	r̩ː	0.123
e	eː	0.113
o	r	0.103
ˀ	a_̂	0.095
ɡ	-	0.092
̂	-	0.085
i	iː_̌	0.074
o	-	0.07
o	o_̂	0.052
