Swiss German	Proto-Germanic	probability
b̥	b	0.607
b̥	β	0.364
d̥	θ	0.819
d̥	d	0.153
f	ɸ	0.761
f	p	0.155
fː	p	1.0
h	x	0.921
h	-	0.079
i	ɑ	0.453
i	i	0.182
i	u	0.182
i	ˈi	0.182
j	j	1.0
k	k	0.857
k	kʷ	0.143
kː	kː	1.0
l	l	0.871
m	m	0.924
m	-	0.076
mː	mː	1.0
n	n	0.839
n	nː	0.095
n	-	0.061
nː	nː	1.0
p	β	1.0
p͡f	p	0.819
p͡f	pː	0.181
r	r	0.817
r	z	0.121
r	-	0.051
rː	ɔːː	1.0
s	s	0.878
s	ɑ_z	0.077
sː	t	0.971
t	d	0.304
t	t	0.289
t	ð	0.275
t	θ	0.106
tː	ð	1.0
w	l	1.0
æ	e	1.0
ŋ	ŋ	0.789
ŋ	n_d	0.092
ŋ	d	0.061
ŋ	n	0.058
ə	n_ɑ̃	0.441
ə	ɔː	0.112
ə	-	0.083
ə	ɔ̃ː	0.073
ə	ɛː	0.068
ɡ̊	ɣ	0.79
ɡ̊	-	0.066
ɡ̊	ɡ	0.062
ɡ̊ː	ɣ	1.0
ʃ	s	0.979
ʃː	k	1.0
ʋ	w	0.91
ʋ	xʷ	0.09
ʦ	t	0.971
ˈau̯	ˈɑu̯	0.717
ˈau̯	ɔ̃ː	0.283
ˈe	ɑi̯	0.347
ˈe	ˈe	0.328
ˈe	ˈɑ	0.227
ˈe	ˈɑi̯	0.098
ˈei̯	ˈɑi̯	0.485
ˈei̯	jː	0.404
ˈei̯	j	0.111
ˈeː	ˈɑi̯	0.75
ˈeː	ˈe	0.25
ˈi	ˈi	0.775
ˈi	ˈe	0.137
ˈiə̯	ˈe	0.375
ˈiə̯	ˈeu̯	0.367
ˈiə̯	ˈeː	0.168
ˈiə̯	ˈĩː	0.089
ˈiː	ˈiː	0.737
ˈiː	ˈi	0.204
ˈiː	ˈeu̯	0.06
ˈo	ˈu	0.867
ˈo	ˈɛː	0.071
ˈou̯	ˈɑu̯	0.659
ˈou̯	w	0.341
ˈoː	ˈɑu̯	0.476
ˈoː	ˈu	0.335
ˈoː	ˈɛː	0.189
ˈu	ˈu	0.904
ˈuə̯	ˈɔː	0.941
ˈuə̯	ˈuː	0.059
ˈuː	ˈuː	0.943
ˈuː	ˈu	0.057
ˈy	ˈu	0.623
ˈy	ˈi	0.31
ˈy	ˈeu̯	0.067
ˈyə̯	ˈɔː	1.0
ˈyː	ˈeu̯	0.303
ˈyː	ˈiu̯	0.204
ˈyː	ˈe	0.173
ˈyː	ˈuː	0.065
ˈyː	ˈɔ	0.065
ˈyː	ˈɔː	0.053
ˈæ	ˈe	0.555
ˈæ	ˈɑ	0.357
ˈæi̯	ˈɑi̯	1.0
ˈæː	ˈe	1.0
ˈø	ˈɑ	0.536
ˈø	ˈu	0.361
ˈø	ˈe	0.103
ˈøi̯	ˈɑi̯	0.365
ˈøi̯	ˈɑu̯	0.351
ˈøi̯	ˈiu̯	0.188
ˈøi̯	ˈu	0.096
ˈøː	ˈu	0.604
ˈøː	ˈɑu̯	0.396
ˈɒ	ˈɑ	1.0
ˈɒː	ˈɑ	0.595
ˈɒː	ˈɛː	0.353
ˈɛi̯	ˈɑi̯	1.0
χ	k	0.662
χ	x	0.299
