German	Mainland North Frisian	probability
ˈʊ_n	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɛː	ˈɛi̯	1.0
ˈiː_ɐ_#>	ˈɛ_#>	1.0
ˈiː	ˈiː	1.0
ˈa_s	ˈɒː_d	1.0
ˈa_n	ˈœ	1.0
ʦ	t	1.0
ʁ	ʀ	1.0
ɪ	i	1.0
ɡ̊	-	1.0
ə_n	ə	1.0
ɐ_n	ʀ_n	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
z	s	1.0
v_ˈɔ	ˈʊ	1.0
tʰ	d	1.0
s_t	s_t	1.0
s_n	z_ə	1.0
s_#>	s_#>	1.0
p͡f	p	1.0
n_d	n	1.0
m	m	1.0
l_t	lʲ	1.0
kʰ	k	1.0
k_n	ç	1.0
h	h	1.0
f_n	p_ə	1.0
f_#>	p_#>	1.0
b_n	v_ə	1.0
<#_ˈa	<#_ˈeː	1.0
<#_ʁ	<#_ʀ	1.0
<#_n	<#_n	1.0
l	l	0.94
v	v	0.862
f	f	0.852
b	b	0.833
k	k	0.75
ˈeː	ˈiː	0.714
ə	-	0.68
ɡ	ɡ	0.611
n	n	0.6
ɐ	ʀ	0.564
x	x	0.545
s	tʲ	0.538
d	t	0.529
ʃ	s	0.517
ˈyː	ˈɛi̯	0.5
ˈyː	ˈɛ	0.5
ˈoː	ˈyː	0.5
ˈaɪ̯	ˈi	0.5
ɡ_n	j_ə	0.5
ɡ_n	d_ə	0.5
b̥	ə_v̥	0.5
b̥	v̥	0.5
ʃ	ʃ	0.483
t	t	0.469
s	t	0.462
ˈuː	ˈœ	0.455
x	k	0.455
ɐ	ə_ʀ	0.436
ç	k	0.429
ˈaɪ̯	ˈiː	0.417
ˈɪ	ˈi	0.412
ˈaʊ̯	ˈʏ	0.4
ˈaʊ̯	ˈuː	0.4
ˈaː	ˈɛi̯	0.357
ˈʏ	ˈeː	0.333
ˈʏ	ˈa	0.333
ˈʏ	-	0.333
ˈɔ	ˈɔ	0.333
d̥	-	0.333
n	ə	0.309
ˈoː	ˈɔu̯	0.3
ˈɪ	ˈa	0.294
ˈɛ	ˈɛː	0.286
ˈeː	-	0.286
ç	x	0.286
k	-	0.25
ə	ə	0.24
d	d	0.235
ˈa	ˈɒ	0.222
t	d̥	0.219
t	dʲ	0.219
ˈɛ	ˈeː	0.214
ˈɛ	ˈa	0.214
ˈaː	ˈeː	0.214
ˈoː	ˈuː	0.2
ˈaʊ̯	ˈœː	0.2
d̥	nʲ	0.2
d̥	d̥	0.2
ˈa	ˈɒː	0.185
ˈuː	ˈʏ	0.182
ˈuː	ˈɛ	0.182
ˈuː	ˈœi̯	0.182
ˈɪ	ˈʊ	0.176
ˈɔ	ˈʊ	0.167
ˈɔ	ˈɔː	0.167
ˈɔ	ˈœ	0.167
ˈɔ	ˈaː	0.167
ɡ	-	0.167
ˈa	ˈʊ	0.148
ˈɛ	ˈɒ	0.143
ˈɛ	j_ˈa	0.143
ˈaː	ˈɛː	0.143
ˈaː	ˈɔː	0.143
ˈaː	ˈɒː	0.143
ç	ŋ	0.143
ç	k_ə	0.143
d̥	ə	0.133
d̥	z̥	0.133
ˈɪ	ˈai̯	0.118
d	tʲ	0.118
d	-	0.118
ˈa	ˈuː	0.111
ˈa	ˈa	0.111
ɡ	j_ə	0.111
ɡ	j	0.111
t	d	0.094
n	nʲ	0.091
ˈaɪ̯	ˈa	0.083
b	v_ə	0.083
b	-	0.083
ə	x	0.08
ˈa	ˈɔː	0.074
ˈa	ˈœ	0.074
ˈa	ˈeː	0.074
f	v̥	0.074
f	v_ə	0.074
v	ˈuː	0.069
v	-	0.069
l	lʲ	0.06
