Ladin	Gascon	probability
ŋ	ŋ	1.0
ʥ	ʒ	1.0
ʧ	s	1.0
b	β	0.171
k	k_w	0.051
s	s	0.921
ɡ	ɣ	0.451
ˈe	ˈe	0.381
ˈɔ	ˈɔ	0.441
ˈɛ	ˈɛ	0.311
d	-	0.082
l	ʎ	0.052
n	-	0.072
n	n	0.552
r	r	0.412
w	w	0.562
ɲ	ɲ	0.962
ˈɛ	ˈa_j	0.062
e	-	0.233
f	h	0.673
r	a_r	0.083
v	b	0.633
ʨ	k	0.673
ˈɛ	-	0.153
a	a	0.24
a	ɔ	0.644
d	d	0.384
e	e	0.584
f	<#_e	0.204
i	i	0.644
j	ˈi	0.204
j	j	0.344
m	m	0.884
o	a	0.114
t	t	0.944
ʒ	ʒ	0.544
ˈi	ˈi_ʎ	0.084
a	-	0.085
e	ˈe	0.065
w	-	0.055
w	ˈa_w	0.185
ʃ	j_ʃ	0.075
ˈe	ˈa	0.275
ˈɛ	ˈe	0.305
d	d_ɾ	0.056
i	-	0.356
j	-	0.186
j	e	0.236
m	m_i	0.116
n	ŋ	0.376
o	u	0.886
r	ɾ	0.416
t	j_t	0.056
ʃ	s	0.526
ˈe	ˈɛ	0.246
ˈo	ˈu	0.636
ˈu	ˈy	0.956
l	-	0.187
v	β	0.367
ʒ	z	0.407
ˈo	ˈy	0.247
ˈɛ	ˈa	0.127
e	a	0.118
l	l	0.618
w	β	0.198
ʨ	s	0.288
ˈɔ	ˈa_w	0.158
ˈɔ	ˈu	0.358
b	b	0.829
d	ð	0.479
f	p	0.099
k	k	0.949
l	w	0.129
p	p	0.99
r	-	0.089
s	ʃ	0.069
ɡ	ɡ	0.549
ʃ	ʦ	0.399
ˈa	ˈa	0.969
ˈi	ˈi	0.859
