Gothic	Gothic	probability
θ_u	d̥	1.0
θ_iː	d̥	1.0
θ_a	d_ə	1.0
ˈɛ_r	r	1.0
ˈeː	ˈɑː	1.0
ˈa_l	ˈœu̯	1.0
ʍ	v	1.0
ɡʷː	ˈœɪ̯	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ð	-	1.0
x	χ	1.0
s_t	s	1.0
s_k	s	1.0
s_#>	#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
oː	-	1.0
nː	n	1.0
n_s	n	1.0
n_#>	#>	1.0
m	m	1.0
lː	ɫ	1.0
l_b	ɫ_v̥	1.0
l	ɫ	1.0
k	k	1.0
j_a_n_#>	#>	1.0
iː	-	1.0
i	-	1.0
h_l	ɫ	1.0
f	v̥	1.0
e	ə	1.0
d_u	d̥	1.0
b	b	1.0
a_n_#>	#>	1.0
<#_θ	<#_d	1.0
<#_ˈu	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_χ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
#>	r_#>	1.0
t	t	0.909
n	n	0.875
w	v	0.857
ˈɔ	ˈʊə̯	0.833
ˈɔː	ˈʊə̯	0.818
ˈoː	ˈu	0.778
ˈiu̯	ˈi	0.778
ˈiː	ˈəɪ̯	0.75
ɡ	-	0.714
θ	d̥	0.692
s	s	0.667
a	-	0.667
ˈu	ˈɔ	0.647
d	d	0.647
ˈuː	ˈœɪ̯	0.6
u	-	0.571
j	-	0.571
h	ɦ	0.571
ˈa	ˈa	0.519
β	v̥	0.5
β	-	0.5
ˈɛː	ˈɪə̯	0.5
ˈɛ	ˈæː	0.5
ˈɛ	-	0.5
ˈi	ˈə	0.5
ɣ	χ	0.5
ɣ	-	0.5
ŋ	ŋ	0.5
ŋ	n	0.5
u	ə	0.429
j	j	0.429
ˈuː	-	0.4
d	d̥	0.353
a	ə	0.333
θ	-	0.308
ɡ	χ	0.286
h	-	0.286
ˈa	ˈɑː	0.259
ˈɛː	ˈəɪ̯	0.25
ˈɛː	-	0.25
ˈiː	ˈə	0.25
ˈu	-	0.235
ˈoː	-	0.222
ˈiu̯	-	0.222
ˈi	-	0.2
ˈɔː	-	0.182
ˈɔ	ˈoː	0.167
ˈi	ˈɪə̯	0.167
s	t	0.167
s	-	0.167
h	χ	0.143
ˈi	ˈæ	0.133
ˈu	ˈa	0.118
ˈa	ˈɛ	0.111
ˈa	-	0.111
w	-	0.095
t	-	0.091
n	ə_ŋ	0.062
n	-	0.062
