Friulian	Friulian	probability
ˈɛ_s	s_u	1.0
ˈɛ_r	r_u	1.0
ˈɔː	ˈa	1.0
ˈuː_f	ˈo_u	1.0
ˈoː_r	ˈɔ_ɾ	1.0
ˈo_t	ˈu_t	1.0
ˈeː_t	ˈi_ð	1.0
ˈaː_r	ˈa_ɾ	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʤ	ʤ	1.0
ɟ	-	1.0
z_v	b	1.0
z	ʒ	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈa	ˈo	1.0
v_i	b	1.0
t_e	t_a	1.0
s_ˈa	s_ˈa	1.0
s_e	s	1.0
r_e	a	1.0
p	p	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
l_t	t_ɛ	1.0
l_i	ɣ_u	1.0
l_e	a	1.0
l_#>	i_#>	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
f_l	f_ɾ	1.0
e_r	ɾ	1.0
d_i	i	1.0
d_e	ð_a	1.0
c	k	1.0
b	b	1.0
a_l	a_l	1.0
a_d	a_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
e	a	0.962
n	n	0.923
f	f	0.905
ˈu	ˈu	0.867
<#	<#_a	0.8
d	d	0.786
ˈi	ˈi	0.778
i	i	0.708
ɡ	ɡ	0.7
t	t	0.686
ˈaː	ˈa_i	0.684
ˈi_n	ˈɛ_n	0.667
k	k	0.652
ˈuː	ˈu	0.625
s	s	0.612
v	b	0.607
ˈeː	ˈi	0.6
r	ɾ	0.588
a	a	0.571
l	l	0.556
#>	u_#>	0.51
ˈɛ_l	ɖː_u	0.5
ˈɛ_l	u	0.5
ˈoː	ˈɔ_z	0.5
ˈoː	ˈu	0.5
ˈiː	ˈɛ	0.5
ʧ	ʧ	0.5
ɲ	n_ʤ	0.5
u	u	0.5
u	-	0.5
o	ɔ	0.5
ˈe	ˈi	0.45
ˈɔ	ˈɔ	0.444
w	-	0.438
ˈo	ˈu	0.433
ˈeː	-	0.4
ˈe	ˈɛ	0.4
ˈuː	ˈo	0.375
#>	i_#>	0.375
ŋ	n_u	0.36
ŋ	n_i	0.36
ˈɔ	ˈo	0.333
ˈi_n	n	0.333
j	ˈe	0.318
ˈaː	ˈa	0.316
w	ˈɔ	0.312
ˈɛ	ɭː	0.308
ɡ	ɣ	0.3
o	u	0.3
ʧ	-	0.278
ˈo	ˈɔ	0.267
ˈiː	ˈi_ɾ	0.25
ˈiː	i	0.25
ˈɛ	ˈɛ	0.231
ˈɛ	ˈe	0.231
ˈɛ	-	0.231
ˈɔ	ˈu	0.222
v	-	0.214
d	t	0.214
a	ɾ	0.214
a	-	0.214
i	u	0.208
ɲ	nː	0.2
ɲ	n	0.2
ŋ	ŋ	0.2
o	o_z	0.2
<#	<#_ʤ	0.2
r	r	0.196
l	ɾ	0.185
j	ˈɛ	0.182
j	-	0.182
k	ɣ	0.174
t	ð	0.171
ˈo	ˈo	0.167
ˈe	-	0.15
t	-	0.143
s	ʃ	0.143
j	j	0.136
ˈu	ˈo	0.133
ˈo	-	0.133
w	ˈo	0.125
w	w	0.125
ˈi	ˈi_ɭː	0.111
ˈi	ˈe	0.111
ʧ	ʦ	0.111
ʧ	ʒ	0.111
l	ɖː	0.111
v	β	0.107
s	ʒ_i	0.102
s	z	0.102
ɲ	ɲ	0.1
r	-	0.098
f	-	0.095
j	ˈi	0.091
j	ŭ	0.091
k	k_ɾ	0.087
k	k_u	0.087
i	i_ɾ	0.083
ŋ	nː	0.08
r	u	0.078
n	nː	0.077
l	ɖː_u	0.074
l	-	0.074
v	ɾ	0.071
