Emilian	Emilian	probability
ˈɛ_r_#>	ˈa_#>	1.0
ˈɛ_r	ˈɛ_rː	1.0
ˈɔ	ˈɔ	1.0
ˈæ	ˈɛ	1.0
ˈiː_r	e	1.0
ˈi	ˈi	1.0
ˈaː_ŋ	n	1.0
ˈaː_t	ˈa_tː	1.0
ˈaː	ˈa	1.0
ˈa_ŋ	ˈa_n	1.0
ʧ	c	1.0
ʤ	ɟ	1.0
w	w	1.0
t_#>	t_e_#>	1.0
r_ˈa	r_ˈɛ	1.0
r_t	r_t	1.0
r_e	r	1.0
r_#>	#>	1.0
p_#>	p_u_#>	1.0
p	p	1.0
o	u	1.0
m_#>	m_e_#>	1.0
k_r	k_r	1.0
j_#>	ʎ_u_#>	1.0
f	f	1.0
a_v	a_p	1.0
a_l	a_l	1.0
a_d	a_t	1.0
<#_θ	<#_ʧ	1.0
<#_ˈɔː	<#_ˈo	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
m	m	0.966
a	a	0.957
k	k	0.902
b	b	0.882
r	r	0.878
ð	ɟ	0.857
v	v	0.794
ˈɔː	ˈɔ	0.778
i	i	0.778
ˈa_j	ˈɛ	0.75
ɲ	ɲ	0.75
u	u	0.75
n	n	0.75
s	s	0.721
t	t	0.719
j	j	0.706
ˈe	ˈi	0.7
ˈʌ	ˈɔ	0.667
z	ʧ	0.667
d	d	0.667
ŋ_#>	n_u_#>	0.643
l	l	0.642
ˈo	ˈu	0.632
e_r	e	0.615
#>	u_#>	0.593
ˈɛ	ˈa	0.581
ɡ	ɡ	0.545
ˈʌu̯	ˈɔ	0.5
ˈɛː	ˈe	0.5
ˈuː	ˈu	0.5
ˈa	ˈa	0.455
θ	-	0.444
ˈiː	ˈi	0.417
ŋ	n	0.417
ˈa	ˈɛ	0.409
e	e	0.364
ŋ_#>	n_e_#>	0.357
θ	ʧː	0.333
ˈʌu̯	ˈo	0.333
ˈʌ	ˈo	0.333
ˈiː	ˈɛ	0.333
ŋ	ŋ	0.333
ˈɛ	ˈe	0.326
#>	e_#>	0.322
j	ʎ	0.294
l	lː	0.283
t	tː	0.281
e	r	0.273
ˈo	ˈɔ	0.263
ˈɛː	ˈɛ	0.25
ˈɛː	-	0.25
ˈuː	ˈɔ	0.25
ˈuː	ˈo	0.25
ˈiː	ˈe	0.25
ˈa_j	ˈe	0.25
ɲ	-	0.25
u	ˈɔ	0.25
d	t	0.242
e_r	r	0.231
θ	ʦ	0.222
i	-	0.222
ˈe	-	0.2
ɡ	k_u	0.182
ɡ	k	0.182
e	u	0.182
e	-	0.182
ˈʌu̯	-	0.167
ŋ	-	0.167
z	z_u	0.167
z	s_i	0.167
e_r	r_u	0.154
n	-	0.15
v	p	0.147
ð	-	0.143
ˈa	ˈe	0.136
b	bː	0.118
s	sː	0.116
ˈɔː	ˈo	0.111
ˈɔː	-	0.111
ˈo	-	0.105
ˈe	ˈe	0.1
n	nː	0.1
k	kː	0.098
ˈɛ	ˈɛ	0.093
ɡ	-	0.091
ŋ	m	0.083
s	ʃ	0.07
#>	a_#>	0.068
d	r	0.061
v	-	0.059
