Spanish	Walloon	probability
f	f	1.0
ð	-	1.0
ŋ	-	1.0
ɲ	-	1.0
ʧ	t	1.0
a	a	0.341
l	-	0.251
o	ˈɔ̃	0.331
t	-	0.441
w	w	0.531
x	-	0.721
ɡ	-	0.111
ɡ	ɡ	0.701
ɣ	-	0.961
ɾ	ʀ	0.691
ʝ	j	0.131
ˈe	ˈøː	0.061
θ	s	0.51
b	v	0.802
e	-	0.472
k	ʧ	0.542
o	ɔ	0.122
ˈa	ˈɔː	0.12
ˈe	ˈa	0.132
ˈo	ˈoː	0.22
ˈu	ˈɛ	0.102
ˈu	ˈɔ	0.102
β	v	0.152
i	i	0.513
s	s	0.813
ˈe	-	0.203
ˈi	ˈi	0.153
ˈu	ˈuː	0.393
β	f	0.193
a	ɔː	0.074
e	ɛ	0.44
j	-	0.84
m	-	0.204
ɟ͡ʝ	l	0.654
ˈa	ˈiː	0.254
ˈi	ˈɛ	0.334
ˈo	ˈu	0.144
ˈo	ˈøː	0.194
ˈo	ˈɔ	0.284
a	j	0.095
a	ɛ	0.145
a	ˈɔ	0.106
b	b	0.176
d	d	0.966
j	j	0.16
m	m	0.796
n	n	0.296
n	-	0.686
o	ˈɔ	0.06
r	ʀ	0.976
ɟ͡ʝ	p_l	0.346
ˈa	ˈɑ̃	0.066
ˈo	ˈuː	0.106
ˈu	ˈu	0.186
ˈu	-	0.216
θ	-	0.206
i	ɛ	0.487
o	ˈuː	0.107
o	ˈa	0.27
ɾ	-	0.297
ˈa	ˈa	0.267
ˈe	w_ˈɛ	0.077
ˈi	-	0.057
ˈi	ˈẽ	0.067
β	p	0.137
a	w	0.08
a	-	0.158
k	-	0.08
k	k	0.378
o	-	0.058
p	p	0.958
ɡ	k	0.188
ˈi	ˈiː	0.388
θ	ʒ	0.108
θ	ʃ	0.148
l	l	0.749
s	-	0.069
s	ʃ	0.119
t	t	0.559
w	-	0.469
x	ʤ	0.279
ʝ	-	0.869
ˈa	ˈe	0.089
ˈa	ˈɛ̃	0.109
ˈe	ˈɛ	0.129
ˈe	ˈiː	0.179
β	-	0.519
