Old Frisian	Elfdalian	probability
ˈuː_ɣ	rː	1.0
ˈeː_t	ɑ̃	1.0
ˈeː_r	r	1.0
ˈe_r	r	1.0
ˈe_d	ˈɑː_ð	1.0
ˈa_l	ˈɔː	1.0
ʦ	ʨ	1.0
ɡ	ɡ	1.0
ə_r	r	1.0
ə_n	ɛ_n	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	s	1.0
x_t	tː	1.0
x	k	1.0
v	v	1.0
s_w	s	1.0
s_l	l̥	1.0
r_t	r_t	1.0
r_n	nː	1.0
pː	pː	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
lː	lː	1.0
l_ə	ɽ	1.0
k_ˈi	ʨ_ˈɪː	1.0
j_ə	ɑ	1.0
iː	ɔ̃	1.0
i	ʉ	1.0
f	f	1.0
e	-	1.0
dː	ð	1.0
bː	v	1.0
b	b	1.0
s	s	0.99
r	r	0.96
p	p	0.86
w	w	0.848
θ	tʰ	0.845
n	n	0.832
t	t	0.783
ɡː	ɡː	0.75
ˈo	-	0.694
ˈi	ˈɪ	0.663
ɣ	ɣ	0.633
ˈuː	ˈɑːu̯	0.63
ˈi̯aː	j_ˈʉːə̯	0.627
ˈoː	ˈʉːə̯	0.622
ˈu	ˈʉ	0.614
ˈɛː	ˈiːe̯	0.599
l	ɽ	0.538
k	k	0.514
d	ð	0.511
ˈiː	ˈɑːi̯	0.51
k	ʨ	0.486
ˈi̯uː	ˈʏː	0.457
j	-	0.434
ˈiː	ˈɪː	0.414
ˈa	ˈɑ	0.406
ˈoː	-	0.378
ˈɔː	ˈɑ	0.371
ɣ	-	0.367
ˈɔː	ˈʉə̯	0.355
d	d	0.346
ˈaː	ˈoː	0.345
ə	ɑ	0.334
ˈaː	ˈɔː	0.331
ˈeː	ˈyːœ̯	0.324
ˈaː	ˈœː	0.324
ˈeː	ˈɔː	0.297
ˈu	-	0.284
ˈɔː	-	0.274
ə	-	0.274
ˈi̯uː	j	0.272
ˈi̯uː	-	0.272
j	ɣ	0.253
ɡː	ʥː	0.25
ˈi̯aː	-	0.246
ˈe	ˈɛ	0.238
ˈuː	ˈʉː	0.232
ə	ɛ	0.217
l	l	0.201
ˈeː	-	0.194
ˈo	ˈʉ	0.179
n	-	0.168
ˈa	ˈɛ	0.164
j	ʥ	0.156
j	ɡ	0.156
θ	-	0.155
ˈe	-	0.153
ˈɛː	ˈœː	0.152
w	-	0.152
ˈɛː	ˈæː	0.144
d	-	0.143
t	tː	0.142
p	pʰ	0.14
l	ˈʉːə̯	0.139
ˈuː	-	0.138
ˈi	j	0.131
ˈa	ˈɑː	0.129
ˈo	ˈʏː	0.128
ˈi̯aː	ˈʉːə̯	0.127
ˈa	ˈɔ	0.127
ˈeː	ˈɑːi̯	0.125
l	-	0.122
ˈe	ˈæ	0.109
ˈɛː	ˈɛ	0.105
ˈi	-	0.104
ˈu	ˈʉː	0.102
ˈi	ˈɪː	0.102
ˈe	ˈɑː	0.094
ˈa	ˈo	0.086
ˈa	-	0.086
ə	ɔ	0.083
ˈe	j	0.081
ə	ʉ	0.078
ˈe	ˈɛː	0.077
ˈe	ˈyœ̯	0.077
ˈiː	ˈɪ̃ː	0.076
t	-	0.074
ˈeː	ˈœ	0.06
ˈe	j_ˈæ	0.06
ˈe	ˈʏ	0.059
ˈe	ˈʉ	0.051
