Lombard	Latin	probability
a	ãː	0.646
a	a	0.155
a	aː	0.072
ã	a	0.732
ã	ɪ	0.268
b	b	0.984
d	d	0.619
d	t	0.27
d	k	0.063
e	ɛ	0.486
e	ɔ	0.237
e	ɪ	0.068
e	ãː	0.05
ẽ	ɛ̃ː	1.0
f	f	0.684
f	w	0.21
f	p	0.057
i	ɛ	0.472
i	ae̯	0.2
i	i	0.194
i	iː	0.115
ĩ	iː	0.653
ĩ	ɛ	0.347
j	-	0.34
j	ɫ	0.231
j	lʲ_i	0.096
j	i	0.096
j	ʊ	0.095
k	k	0.737
k	kʷ	0.086
k	kː	0.075
l	ɫ	0.52
l	lʲː	0.304
l	l	0.1
m	m	0.804
m	ɪ_m	0.081
m	-	0.077
n	n	0.931
o	oː	0.5
o	ʊ	0.5
p	p	0.959
r	r	0.935
s	s	0.648
s	k	0.2
s	sː	0.089
t	t	0.543
t	n_t	0.131
t	k_t	0.125
t	tː	0.091
t	n_d	0.053
u	ɔ	0.334
u	oː	0.166
u	eː	0.107
u	ɪ	0.088
u	uː	0.069
u	ʊ̃ː	0.069
ũ	ɔ	1.0
w	-	0.625
w	aː	0.188
w	ɡʷ	0.188
y	o	1.0
z	s	0.675
z	t	0.325
ɛ	ɛ	0.566
ɛ	aː	0.434
ɡ	k	0.415
ɡ	ɡ	0.4
ɡ	b	0.091
ɡ	ŋ	0.055
ɲ	n	0.83
ɲ	ɡ_n	0.17
ʃ	p	0.362
ʃ	k	0.24
ʃ	s	0.215
ʃ	-	0.183
ʋ	w	0.656
ʋ	-	0.237
ʋ	ˈuː	0.052
ʤ	ɡ	0.466
ʤ	j	0.244
ʤ	n_d	0.103
ʤ	k	0.082
ʤ	ŋ_ɡ	0.078
ʦ	t	0.497
ʦ	d	0.209
ʦ	k	0.17
ʦ	ɡ	0.077
ʧ	k	0.606
ʧ	t	0.149
ʧ	ɡ	0.111
ʧ	kʷ	0.096
ˈa	ˈa	0.498
ˈa	ˈaː	0.439
ˈaː	ˈa	0.519
ˈaː	ˈaː	0.481
ˈãː	ˈa	0.576
ˈãː	ˈaː	0.299
ˈãː	ŋ	0.051
ˈe	ˈɪ	0.347
ˈe	ˈɛ	0.299
ˈe	ˈeː	0.241
ˈe	ˈae̯	0.073
ˈeː	ˈɪ	0.588
ˈeː	ˈeː	0.412
ˈẽː	ˈɪ	0.623
ˈẽː	ˈɛ	0.301
ˈẽː	ˈa	0.076
ˈi	ˈiː	0.745
ˈi	ˈuː	0.115
ˈi	ˈi	0.072
ˈiː	ˈiː	1.0
ˈĩː	ˈiː	0.941
ˈĩː	iː	0.059
ˈo	ˈɔ	0.675
ˈo	ˈoː	0.325
ˈu	ˈʊ	0.574
ˈu	ˈɔ	0.122
ˈu	ˈoː	0.096
ˈu	u	0.061
ˈu	ˈau̯	0.061
ˈuː	ˈa	0.662
ˈuː	ˈʊ	0.338
ˈũː	ˈɔ	0.408
ˈũː	ˈoː	0.357
ˈũː	ˈʊ	0.207
ˈy	ˈuː	0.584
ˈy	ʊ̃ː	0.115
ˈy	ˈɛ	0.097
ˈy	ˈʊ	0.062
ˈy	ˈɪ	0.061
ˈyː	ˈoː	0.597
ˈyː	ˈʊ	0.268
ˈyː	ˈuː	0.102
ˈỹː	ʊ̃ː	1.0
ˈø	ˈɔ	0.69
ˈø	ˈʊ	0.162
ˈø	ˈu	0.148
ˈøː	ˈɔ	0.715
ˈøː	ˈo	0.144
ˈøː	ˈoː	0.14
ˈɔ	ˈɔ	0.604
ˈɔ	ˈau̯	0.221
ˈɔ	ˈa	0.102
ˈɛ	ˈɛ	0.775
ˈɛ	ˈeː	0.137
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	ɛ	1.0
