American English	West Flemish	probability
b	b	1.0
d	t	0.447
d	d	0.447
d	p	0.054
d	-	0.053
f	v	0.767
f	f	0.189
h	-	0.884
h	k	0.076
i	ə	0.686
i	iə̯	0.243
i	m	0.071
j	j	0.5
j	ɦ	0.5
k	k	0.961
kʰ	k	0.938
kʰ	-	0.062
l	l	0.957
m	m	0.95
m	-	0.05
n	n	0.993
oʊ̯	-	0.602
oʊ̯	w	0.398
p	p	1.0
pʰ	p	1.0
s	z	0.555
s	s	0.445
t	t	1.0
tʰ	t	0.964
tː	t	1.0
v	v	1.0
w	ʋ	0.914
w	-	0.086
z	z	0.509
z	s	0.491
ð	d	0.549
ð	-	0.451
ŋ	ŋ	1.0
ə	-	0.42
ə	ə	0.419
ə	ˈæ	0.16
ɚ	ɾ	0.819
ɚ	-	0.092
ɚ	ə_ɾ	0.089
ɡ	ɦ	0.953
ɪ	-	1.0
ɫ	w	0.385
ɫ	l	0.27
ɫ	ə_l	0.243
ɫ	-	0.072
ɹ	ɾ	0.982
ɾ	t	1.0
ʃ	ʃ	0.584
ʃ	s	0.416
ʔ	t	0.788
ʔ	h	0.212
ʤ	ɦ	0.787
ʤ	k	0.213
ʧ	k	1.0
ˈaɪ̯	ˈɪ	0.284
ˈaɪ̯	ˈiə̯	0.174
ˈaɪ̯	ˈeː	0.146
ˈaɪ̯	ˈi	0.142
ˈaɪ̯	ə	0.111
ˈaɪ̯	ˈoː	0.106
ˈaʊ̯	ˈyː	0.668
ˈaʊ̯	ˈu	0.15
ˈaʊ̯	ˈuə̯	0.132
ˈeɪ̯	ˈɒː	0.502
ˈeɪ̯	ˈɑ	0.177
ˈeɪ̯	ˈeː	0.141
ˈeɪ̯	ˈæ	0.063
ˈeɪ̯	ˈɛ	0.058
ˈeɪ̯	ˈoː	0.058
ˈi	ˈiə̯	0.256
ˈi	ˈoː	0.236
ˈi	ˈɒː	0.164
ˈi	ˈuə̯	0.128
ˈi	ˈeː	0.074
ˈoʊ̯	ˈɛː	0.365
ˈoʊ̯	ˈu	0.152
ˈoʊ̯	ˈeː	0.12
ˈoʊ̯	ˈɒː	0.078
ˈoʊ̯	j	0.059
ˈoʊ̯	w	0.059
ˈu	ˈuə̯	0.282
ˈu	ˈɒː	0.217
ˈu	ˈi	0.159
ˈu	ˈɑ	0.146
ˈu	ˈiə̯	0.11
ˈu	ˈɛː	0.085
ˈæ	ˈɑ	0.891
ˈæ	w	0.056
ˈæ	ˈæ	0.054
ˈɑ	ˈæ	0.37
ˈɑ	ˈɔ	0.276
ˈɑ	ˈɒː	0.178
ˈɑ	ˈɑ	0.132
ˈɔ	ˈoː	0.378
ˈɔ	ˈɑ	0.18
ˈɔ	ˈɔ	0.157
ˈɔ	ˈiə̯	0.119
ˈɔ	ˈøː	0.092
ˈɔ	ʋ	0.073
ˈɛ	ˈiə̯	0.28
ˈɛ	ˈeː	0.207
ˈɛ	ˈoː	0.127
ˈɛ	ˈɒː	0.11
ˈɛ	-	0.076
ˈɛ	ˈæ	0.066
ˈɛ	ˈɔ	0.057
ˈɝ	ˈæ	0.569
ˈɝ	ˈɛː	0.267
ˈɝ	ˈoː	0.163
ˈɪ	ˈɪ	0.498
ˈɪ	ˈɛ	0.098
ˈɪ	ˈæ	0.084
ˈɪ	ˈœ	0.078
ˈɪ	ɪ	0.075
ˈɪ	ˈiə̯	0.071
ˈɪ	ˈi	0.062
ˈʊ	ˈuə̯	0.54
ˈʊ	ˈœ	0.46
ˈʌ	ˈu	0.256
ˈʌ	ˈoː	0.151
ˈʌ	ˈɛː	0.123
ˈʌ	ˈøː	0.107
ˈʌ	ˈɔ	0.104
ˈʌ	ˈœ	0.1
ˈʌ	ˈɑ	0.068
ˈʌ	ˈuə̯	0.067
ˈʌɪ̯	ˈɑ	0.29
ˈʌɪ̯	ˈi	0.186
ˈʌɪ̯	ˈɛ	0.18
ˈʌɪ̯	ˈæ	0.164
ˈʌɪ̯	ˈœ	0.116
ˈʌɪ̯	ˈyː	0.062
θ	d	0.688
θ	t	0.164
θ	n_t	0.147
