Eastphalian	Eastphalian	probability
ˈʊ_l	ˈuː	1.0
ˈɛɪ̯_ŋ	ˈiː	1.0
ˈɛɪ̯_f	ˈi_f	1.0
ˈɛɪ̯_#>	ˈɑː_#>	1.0
ˈɛə̯	ˈe	1.0
ˈɛ_k	ˈaː	1.0
ˈɔʏ̯	ˈi	1.0
ˈøː	-	1.0
ˈyː	-	1.0
ˈoː_ɐ	ˈɪ_r	1.0
ˈiː_#>	#>	1.0
ˈeː	-	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈe	1.0
ˈa_l	ˈɑː	1.0
ɣ̊	-	1.0
ɡ	-	1.0
ə	-	1.0
ɒː	i	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥_#>	s_#>	1.0
z_ə	z	1.0
v̥	f	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_n	n	1.0
m	m	1.0
k_ə	ʤ	1.0
k_n	k	1.0
h	h	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
b_m	p	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
#>	θ_#>	1.0
f	f	0.929
l	l	0.9
z	s	0.867
ˈɛː	-	0.857
ˈɪ	ˈɪ	0.826
v	w	0.826
ʃ	ʃ	0.786
ɣ	ɡ	0.75
ˈuː	ˈu	0.667
ˈiː	ˈəi̯	0.667
ɪ_ç	i	0.667
ˈaʊ̯	ˈø	0.625
n	n	0.615
w	w	0.6
ˈʏ	ˈɪ	0.556
ˈɛ	ˈɛ	0.556
ˈʊ	ˈʌ	0.545
ɐ	ə_r	0.514
ˈœ	ˈɪ	0.5
ˈœ	ˈa	0.5
ˈoː	ˈo	0.5
ˈoː	-	0.5
x	ç	0.5
x	x	0.5
j	j	0.5
j	-	0.5
ˈʏ	-	0.444
ˈɛ	ˈɪ	0.444
d	θ	0.444
d	d	0.444
k	k	0.417
w	-	0.4
ɐ	r	0.378
ˈeo̯	ˈiː	0.364
ˈɛɪ̯	ˈiː	0.35
ˈɛɪ̯	ˈe	0.35
ˈɔ	ˈo	0.333
ˈuː	ˈuː	0.333
ɪ_ç	e	0.333
k	kʰ	0.333
n	-	0.308
ˈɒː	ˈeː	0.286
ˈɒː	-	0.286
ˈʊ	-	0.273
ˈeo̯	ˈi	0.273
ˈa	ˈa	0.273
ˈɔ	ˈɑː	0.25
ˈɔ	-	0.25
ˈiː	ˈiː	0.25
ˈaʊ̯	ˈɪ	0.25
ɣ	-	0.25
ˈa	ˈɛ	0.227
ˈa	ˈɑː	0.227
ˈɒː	ˈi	0.214
ˈɒː	ˈe	0.214
ʃ	s	0.214
ˈɛɪ̯	ˈɛ	0.2
ˈʊ	ˈu	0.182
ˈeo̯	ˈe	0.182
ˈeo̯	-	0.182
v	-	0.174
ˈɔ	ˈɪ	0.167
ˈɛː	ˈɛː	0.143
ˈa	ˈɪ	0.136
ˈa	ˈeː	0.136
z	z	0.133
ˈaʊ̯	ˈøː	0.125
k	ʧ	0.125
k	k_ə	0.125
d	ð	0.111
ˈɛɪ̯	-	0.1
l	-	0.1
ˈɪ	ˈɛ	0.087
ˈɪ	-	0.087
ˈiː	ˈaːɪ̯	0.083
f	-	0.071
n	d	0.062
ɐ	ˈiː_r	0.054
ɐ	ˈiː	0.054
