Campidanese	Gascon	probability
bː	-	1.0
d	d	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɲː	ɲ	1.0
ʃː	j_ʃ	1.0
ʒ	z	1.0
ʣ	ʎ	1.0
ʧ	s	1.0
β	β	1.0
j	w	0.171
j	ʎ	0.361
m	m	0.931
u	w	0.151
ɣ	ɣ	0.451
i	ˈi	0.152
n	-	0.282
ˈo	w_ˈe	0.12
a	a	0.243
j	-	0.323
o	u	0.353
r	ɾ	0.393
sː	-	0.443
t	j_t	0.093
u	-	0.203
ɡ	ɡ	0.933
ˈu	ˈu	0.43
e	e	0.424
rː	-	0.544
u	j	0.084
u	e	0.454
z	-	0.114
f	h	0.965
i	-	0.445
j	ʒ	0.145
n	n	0.65
r	r	0.275
s	s	0.975
ð	ð	0.745
ɣ	k	0.125
ɣ	-	0.295
ʤ	-	0.305
ʤ	ʒ	0.695
ˈo	ˈu	0.435
a	-	0.056
e	-	0.576
i	e	0.276
l	-	0.096
l	l	0.866
r	l	0.076
r	-	0.196
rː	r	0.456
z	s	0.796
ˈe	ˈɛ	0.346
i	i	0.127
o	a_w	0.07
o	-	0.577
p	p	0.987
sː	s	0.557
ð	j	0.117
ɡ	k	0.067
ˈu	ˈy	0.57
a	ɔ	0.688
b	-	0.128
n	ŋ	0.068
t	w_t	0.198
t	t	0.708
u	u	0.108
ð	-	0.138
ˈe	ˈe	0.578
ˈi	ˈi	0.468
ˈi	ˈe	0.498
b	b_j	0.059
b	b	0.759
k	k	0.979
m	nː	0.069
z	z	0.09
ɣ	ʤ	0.129
ˈa	ˈa	0.939
ˈo	ˈɔ	0.299
