American English	Swiss German	probability
b	b̥	1.0
d	t	0.708
d	d̥	0.241
f	f	0.775
f	b̥	0.11
f	l_b̥	0.073
h	h	0.984
i	i	0.815
i	æ	0.185
j	j	0.63
j	ɡ̊	0.314
j	ˈi	0.056
k	χ	0.707
k	k	0.248
kʰ	χ	0.973
l	l	1.0
m	m	0.913
n	n	0.805
n	ŋ	0.075
n	-	0.06
oʊ̯	-	0.635
oʊ̯	ə	0.365
p	f	0.639
p	fː	0.241
p	p	0.085
pʰ	p͡f	1.0
s	s	0.659
s	ʃ	0.335
t	t	0.855
t	sː	0.074
t	ʦ	0.071
tʰ	ʦ	0.929
tʰ	-	0.071
tː	ʦ	1.0
v	b̥	0.561
v	f	0.318
v	-	0.12
w	ʋ	0.949
z	s	0.837
z	r	0.163
ð	d̥	0.692
ð	tː	0.23
ð	t	0.078
ŋ	ŋ	0.929
ŋ	i	0.071
ə	ə	0.801
ə	-	0.133
ə	ˈe	0.066
ɚ	ə	0.491
ɚ	r	0.258
ɚ	-	0.149
ɚ	r_ə	0.07
ɡ	ɡ̊	0.946
ɡ	-	0.054
ɪ	ə	0.951
ɫ	l	0.789
ɫ	ɡ̊_l	0.149
ɫ	-	0.055
ɹ	r	0.968
ɾ	sː	0.72
ɾ	χ	0.28
ʃ	ʃ	0.937
ʃ	ʃː	0.063
ʔ	sː	0.321
ʔ	s	0.27
ʔ	ʦ	0.193
ʔ	χ	0.191
ʤ	ɡ̊ː	1.0
ʧ	χ	0.974
ˈaɪ̯	ˈi	0.348
ˈaɪ̯	ˈyː	0.27
ˈaɪ̯	ˈiː	0.176
ˈaɪ̯	ˈoː	0.057
ˈaɪ̯	ˈy	0.057
ˈaʊ̯	ˈuː	0.572
ˈaʊ̯	ˈu	0.277
ˈaʊ̯	ˈuə̯	0.091
ˈaʊ̯	ˈo	0.059
ˈeɪ̯	ˈɒ	0.458
ˈeɪ̯	ˈɒː	0.315
ˈeɪ̯	ˈæː	0.1
ˈeɪ̯	ˈæ	0.081
ˈi	ˈyː	0.151
ˈi	ˈau̯	0.123
ˈi	ˈyə̯	0.104
ˈi	ˈɒː	0.101
ˈi	ˈiə̯	0.092
ˈi	ˈøː	0.088
ˈi	ˈou̯	0.065
ˈi	ˈeː	0.059
ˈi	ˈoː	0.052
ˈoʊ̯	ˈɛi̯	0.236
ˈoʊ̯	ˈɒ	0.156
ˈoʊ̯	ˈeː	0.144
ˈoʊ̯	ˈæi̯	0.107
ˈoʊ̯	ˈei̯	0.101
ˈoʊ̯	ˈy	0.066
ˈoʊ̯	w	0.064
ˈoʊ̯	ˈo	0.064
ˈoʊ̯	ˈɒː	0.061
ˈu	ˈuə̯	0.384
ˈu	ˈo	0.215
ˈu	ˈøi̯	0.146
ˈu	ˈɒ	0.133
ˈu	ˈiː	0.066
ˈu	r	0.056
ˈæ	ˈɒ	0.594
ˈæ	ˈɒː	0.236
ˈæ	ˈæ	0.16
ˈɑ	ˈɒ	0.324
ˈɑ	ˈo	0.192
ˈɑ	ˈɒː	0.12
ˈɑ	ˈæ	0.113
ˈɑ	ˈæː	0.106
ˈɑ	ˈu	0.052
ˈɑ	ˈæi̯	0.052
ˈɔ	ˈo	0.386
ˈɔ	ˈe	0.193
ˈɔ	ˈɒ	0.168
ˈɔ	ˈiə̯	0.084
ˈɔ	ˈu	0.084
ˈɔ	ˈy	0.084
ˈɛ	ˈæ	0.328
ˈɛ	ˈɒː	0.102
ˈɛ	ˈe	0.089
ˈɛ	ˈoː	0.081
ˈɛ	ˈæː	0.068
ˈɛ	ˈy	0.066
ˈɛ	ˈeː	0.051
ˈɝ	ˈu	0.45
ˈɝ	ˈi	0.168
ˈɝ	ˈiː	0.168
ˈɝ	ˈoː	0.168
ˈɪ	ˈi	0.543
ˈɪ	ˈy	0.179
ˈɪ	ˈyː	0.06
ˈɪ	ˈu	0.052
ˈɪ	ˈæ	0.052
ˈʊ	ˈuə̯	0.343
ˈʊ	ˈu	0.341
ˈʊ	ˈo	0.316
ˈʌ	ˈu	0.494
ˈʌ	ˈoː	0.187
ˈʌ	ˈo	0.085
ˈʌɪ̯	ˈiː	0.364
ˈʌɪ̯	ˈiə̯	0.205
ˈʌɪ̯	ˈɒ	0.205
ˈʌɪ̯	ˈæ	0.133
ˈʌɪ̯	ˈi	0.094
θ	d̥	0.796
θ	-	0.096
θ	t	0.085
