American English	Swiss German	probability
b	b̥	1.0
d	t	0.747
d	d̥	0.194
d	ʦ	0.031
d	tː	0.03
d	ɡ̊	0.03
f	f	0.792
f	b̥	0.126
f	χ	0.041
f	ɡ̊	0.041
h	h	1.0
i	i_ɡ̊	0.758
i	i	0.182
j	j	0.683
j	ɡ̊	0.221
k	k	0.499
k	χ	0.477
kʰ	χ	0.875
kʰ	f	0.092
l	l	1.0
m	m	0.946
m	mː	0.054
n	n	0.645
n	-	0.314
n	nː	0.03
n	i	0.03
n_d	ŋ	1.0
oʊ̯	-	0.629
oʊ̯	ə	0.361
p	f	0.295
p	fː	0.218
p	f_ə	0.218
p	p͡f	0.123
p	p	0.093
pʰ	p͡f	0.491
s	s	0.588
s	ʃ	0.41
t	χ_t	0.23
t	t	0.223
t	sː	0.222
t	s	0.17
t	ʦ	0.141
tʰ	ʦ	1.0
v	f	0.409
v	b̥	0.243
v	b̥_ə	0.243
v	-	0.073
w	ʋ	0.886
w	-	0.049
w	ˈei̯	0.043
w	r	0.042
z	s	0.758
z	r	0.127
ð	d̥	0.384
ð	tː	0.301
ð	d̥_ə	0.121
ð	t	0.121
ŋ	ŋ	0.954
ŋ	i	0.049
ə	ə	0.608
ə	-	0.111
ə	ˈe	0.111
ɚ	ə_r	0.501
ɚ	r	0.289
ɚ	r_ə	0.113
ɚ	-	0.079
ɚ	rː	0.032
ɡ	ɡ̊	0.838
ɡ	-	0.151
ɪ	-	0.372
ɪ	ə	0.182
ɫ	l	0.662
ɫ	l_ə	0.169
ɫ	ɡ̊_l	0.085
ɫ	n	0.05
ɫ	ə_l	0.042
ɹ	r	1.0
ɾ	sː	1.0
ʃ	ʃ	0.867
ʃ	ʃː	0.13
ʤ	ɡ̊	1.0
ʧ	χ	1.0
ˈaɪ̯	ˈiː	0.301
ˈaɪ̯	ˈyː	0.209
ˈaɪ̯	ˈi	0.116
ˈaɪ̯	ˈiə̯	0.077
ˈaɪ̯	ˈɒ	0.067
ˈaʊ̯	ˈuː	0.598
ˈaʊ̯	ˈu	0.178
ˈaʊ̯	ˈuə̯	0.135
ˈaʊ̯	ˈo	0.072
ˈaʊ̯_θ	ˈuː	1.0
ˈeɪ̯	ˈɒ	0.37
ˈeɪ̯	ˈɒː	0.229
ˈeɪ̯	ˈæ_ɡ̊	0.136
ˈeɪ̯	ˈa	0.09
ˈeɪ̯	ˈoː	0.09
ˈi	ˈyː	0.198
ˈi	ˈɒː	0.146
ˈi	ˈiə̯	0.098
ˈi	ˈau̯	0.091
ˈi	ˈyə̯	0.091
ˈoʊ̯	ˈɛi̯	0.244
ˈoʊ̯	ˈeː	0.166
ˈoʊ̯	ˈæi̯	0.126
ˈoʊ̯	ˈa	0.096
ˈoʊ̯	ˈɒ	0.074
ˈu	ˈuə̯	0.33
ˈu	ˈɒ	0.287
ˈu	ˈo	0.165
ˈu	ˈøi̯	0.162
ˈæ	ˈɒː	0.308
ˈæ	ˈɒ	0.233
ˈæ	ˈæ	0.21
ˈæ	ˈa	0.159
ˈæ	ˈø	0.059
ˈɑ	ˈɒ	0.301
ˈɑ	ˈo	0.221
ˈɑ	ˈæ	0.131
ˈɑ	ˈɒː	0.087
ˈɑ	ˈæi̯	0.07
ˈɔ	ˈo	0.279
ˈɔ	ˈɒ	0.238
ˈɔ	ˈe	0.207
ˈɔ	ˈiə̯	0.136
ˈɔ	ˈu	0.101
ˈɛ	ˈæ	0.207
ˈɛ	ˈoː	0.139
ˈɛ	ˈɒː	0.121
ˈɛ	ˈe	0.089
ˈɛ	ˈei̯	0.076
ˈɝ	ˈi	0.28
ˈɝ	ˈu	0.28
ˈɝ	ˈæ	0.171
ˈɝ	ˈoː	0.171
ˈɪ	ˈi	0.457
ˈɪ	ˈy	0.143
ˈɪ	ˈu	0.1
ˈɪ	ˈiː	0.087
ˈɪ	ˈæ	0.068
ˈʊ	ˈuə̯	0.496
ˈʊ	ˈo	0.278
ˈʊ	ˈu	0.211
ˈʌ	ˈu	0.241
ˈʌ	ˈuə̯	0.165
ˈʌ	ˈɒ	0.143
ˈʌ	ˈoː	0.111
ˈʌ	ˈo	0.095
θ	d̥	0.876
θ	ŋ	0.08
θ	t	0.046
