Pennsylvania German	Pennsylvania German	probability
ˈɔɪ̯	-	1.0
ˈeː_ɑ_#>	ˈiː_#>	1.0
ˈaʊ̯	ˈuː	1.0
ʦ	t	1.0
ɾ_ˈɔː	r	1.0
ɾ_ɪ	ɐ	1.0
ɾ_ə	ɐ	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ɑ	ɐ	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
p	p	1.0
n_ɑ	n_ɐ	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_ə	b_m	1.0
eː	ɒː_n	1.0
d_ə	n	1.0
d	d	1.0
b	b	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
#>	n_ə_#>	1.0
ɾ	r	0.931
n	n	0.923
d̥	d̥	0.867
ʋ	v	0.833
k	k	0.81
b̥	f	0.8
f	f	0.788
t	t	0.769
ɡ̊	-	0.75
ə	n	0.735
ˈiː	ˈɛɪ̯	0.667
ˈaː	-	0.667
n_ə	n_n	0.667
ˈɪ	ˈɪ	0.645
ˈuː	ˈaʊ̯	0.636
ˈa	ˈa	0.625
ɡ	ɣ	0.615
j	-	0.6
ʃ	s	0.548
x	x	0.545
ˈoː	ˈeo̯	0.538
ˈʊ	ˈʊ	0.5
ˈeː	ˈɛɪ̯	0.5
ç	ç	0.5
ç	k	0.5
d_ɑ	ɐ	0.5
d_ɑ	t_ɐ	0.5
s	z	0.487
ˈaɪ̯	ˈiː	0.478
ˈoː	ˈɒː	0.462
ˈɔ	ˈɔ	0.455
ʃ	ʃ	0.452
ˈɛː	-	0.429
j	j	0.4
s	t	0.359
ˈɛ	-	0.353
ˈaː	ˈa_ɐ	0.333
n_ə	n	0.333
ˈɛ	ˈɛ	0.294
ˈɛː	ˈɛː	0.286
ˈɛː	ˈa	0.286
ˈʊ	-	0.278
ˈɔ	ˈʊ	0.273
ˈɔ	-	0.273
x	k	0.273
ˈɔː	ˈɒː	0.25
ˈɔː	-	0.25
ɡ̊	ɣ̊	0.25
ɡ	j	0.231
t	-	0.231
ˈʊ	ˈɔ	0.222
ˈiː	ˈɔʏ̯	0.222
f	p	0.212
b̥	v̥	0.2
k	-	0.19
ˈɔː	ˈeo̯	0.188
ˈuː	ˈɔʏ̯	0.182
ˈuː	-	0.182
x	k_ə	0.182
ˈɛ	ˈɛː	0.176
ˈɛ	ˈœ	0.176
ˈaɪ̯	ˈɪ	0.174
ʋ	w	0.167
ˈɪ	ˈʏ	0.161
ɡ	-	0.154
ˈeː	-	0.15
ˈaɪ̯	ˈʏ	0.13
ˈaɪ̯	-	0.13
ˈɔː	ˈaː	0.125
ˈɔː	ˈa	0.125
ˈa	ˈɒː	0.125
ə	ə	0.118
ˈiː	-	0.111
s	z̥	0.103
ˈeː	ˈɛɪ̯_n	0.1
ˈeː	ˈɛ	0.1
ˈeː	n	0.1
ˈɪ	ˈɛ	0.097
ˈɪ	-	0.097
ˈa	ˈɔ	0.094
ˈa	-	0.094
ə	-	0.088
ˈaɪ̯	ˈyː	0.087
n	-	0.077
ɾ	-	0.069
d̥	t	0.067
d̥	-	0.067
ˈɔː	ˈɛə̯	0.062
ˈa	ˈɪ	0.062
ə	ŋ	0.059
s	s	0.051
