Catalan	Catalan	probability
β_ɾ	p_r	1.0
β_ə	b_a	1.0
ˈo_#>	ˈo_n_i_#>	1.0
ˈa_t	ˈa_i	1.0
ˈa	ˈa	1.0
ʎ_#>	ɖː_u_#>	1.0
ɡ	ɡ	1.0
ə_s	i	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ð_ə	t_a	1.0
w_ɾ	i_d	1.0
u_l	u_l	1.0
t_ə	t_a	1.0
s_#>	#>	1.0
r_#>	r_i_#>	1.0
p	p	1.0
n_ə	n_a	1.0
n_d	nː_a	1.0
n	n	1.0
k_l	c	1.0
j_t	tː	1.0
j	-	1.0
d	d	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
f	f	0.958
k	k	0.956
m	m	0.875
ˈa_#>	ˈa_#>	0.857
ɲ	ɲː	0.8
u	u	0.786
ˈɔ	ˈɔ	0.767
ˈu	ˈu	0.762
ˈi	ˈi	0.75
i	i	0.75
ə	a	0.722
#>	u_#>	0.72
ɾ_ə	r_u	0.714
ɣ	ɡ	0.714
ɾ	r	0.7
ˈi_#>	ˈi_#>	0.667
ʒ	ɟ	0.667
ð	t	0.667
<#_ˈɔ	<#_ˈɔ	0.667
s	s	0.651
<#_ə	<#	0.636
t	t	0.621
ʃ	ʃː	0.6
ˈo	ˈu	0.571
l	l	0.552
ɾ_ˈɛ	r_ˈi	0.5
ɾ_ˈɛ	r	0.5
z	z	0.5
z	j	0.5
r	l	0.5
n_#>	n_t_u_#>	0.5
n_#>	n_t_i_#>	0.5
ˈe	ˈɛ	0.486
b	b	0.485
ʎ	ɖː	0.467
b	v	0.424
ʃ	sː	0.4
t	tː	0.379
ˈɛ	ˈe	0.367
<#_ə	<#_a	0.364
β	p	0.333
ˈɛ	ˈɛ	0.333
ˈi_#>	ˈi_n_i_#>	0.333
ʎ	cː	0.333
ð	-	0.333
<#_ˈɔ	<#_ˈo	0.333
r	r	0.312
ɾ_ə	u	0.286
ɣ	k	0.286
w	u	0.25
i	-	0.25
ˈe	ˈe	0.243
l	j	0.241
ˈu	ˈɔ	0.238
ˈo	ˈo	0.238
u	o	0.214
w	ʧ_i	0.208
w	-	0.208
ˈɛ	ˈi	0.2
ʎ	u	0.2
ɾ	-	0.2
ɲ	nː	0.2
ˈo	ˈɔ	0.19
r	rː	0.188
#>	n_u_#>	0.173
β	p_a	0.167
β	b	0.167
β	a	0.167
β	-	0.167
ˈɔ	ˈo	0.167
ʒ	ɟː	0.167
ʒ	-	0.167
w	i	0.167
ˈa_#>	ˈa_n_i_#>	0.143
ˈe	ˈi	0.135
ˈe	ˈa	0.135
ˈi	ˈɛ	0.125
ˈi	-	0.125
m	mː	0.125
l	ɖː	0.103
l	l_i	0.103
ə	i	0.101
ˈɛ	-	0.1
ɾ	a_r	0.1
s	sː	0.093
b	-	0.091
w	ʦː_u	0.083
w	w	0.083
s	i	0.07
ˈɔ	ˈɔ_l	0.067
ə	ˈi	0.063
ə	u	0.063
