Northern Low Saxon	Faroese	probability
aɪ̯	a	1.0
b	b̥	0.711
b	p	0.138
b	tʰ	0.066
d	-	0.261
d	d̥	0.217
d	t	0.187
d	tʰ	0.137
d	ʰt	0.116
f	f	0.61
f	v	0.246
f	kʰ	0.082
f	-	0.062
h	h	0.854
h	j	0.146
i	ʊ	1.0
j	ˈaːi̯	1.0
k	k	0.415
k	ʰʧ	0.369
k	ʰkː	0.216
kʰ	kʰ	0.638
kʰ	ʧʰ	0.349
l	l	0.761
l	l̥	0.212
m	m	0.55
m	v	0.207
m	ɹ_m	0.116
n	n	0.486
n	a	0.193
n	nː	0.11
n	-	0.094
p	ʰp	1.0
r	ɹ	0.881
r	-	0.081
s	s	0.978
t	ʰtː	0.47
t	t	0.448
tʰ	tʰ	0.941
tʰ	ʧʰ	0.059
v	v	0.814
v	-	0.186
x	ʰtː	0.553
x	w	0.175
x	v	0.106
x	j	0.105
x	-	0.061
z	s	0.789
z	ʃ	0.211
ç	ɡ̊	0.328
ç	v	0.19
ç	ʤ̊	0.109
ç	ʤ̊ː	0.109
ç	ʰtː	0.082
ç	w	0.08
ç	ɡ̊ː	0.06
ŋ	ŋ	0.541
ŋ	ɡ̊	0.159
ŋ	a	0.077
ŋ	ɲ	0.077
ŋ	ʤ̊ː	0.075
ŋ	-	0.072
ɐ	ɹ	0.546
ɐ	ɪ_ɹ	0.153
ɐ	ʊ_ɹ	0.074
ɐ	ˈœ	0.072
ɐ	ˈɔ	0.052
ə	ˈɪ	0.693
ə	w	0.307
ɡ	ɡ̊	0.275
ɡ	k	0.249
ɡ	ʧ	0.145
ɡ	ʰk	0.103
ɡ	ʰʧː	0.068
ɡ	-	0.065
ɪ	a	0.333
ɪ	ŋ	0.333
ɪ	ɛ	0.333
ʃ	s	0.563
ʃ	ʃ	0.412
ʒ	-	0.751
ʒ	tʰ	0.249
ˈa	ˈa	0.398
ˈa	ˈɛːa̯	0.239
ˈa	ˈɔ	0.163
ˈa	ˈɛ	0.123
ˈaɪ̯	ˈai̯	0.142
ˈaɪ̯	ˈʊ̯iː	0.141
ˈaɪ̯	ˈʊ	0.138
ˈaɪ̯	ˈɪ	0.091
ˈaɪ̯	ˈʏ	0.091
ˈaɪ̯	ˈɔːu̯	0.085
ˈaɪ̯	ˈaːi̯	0.061
ˈaɪ̯	ˈeː	0.056
ˈaɪ̯	ˈɛ	0.05
ˈaʊ̯	ˈɛːi̯	0.274
ˈaʊ̯	ˈɔːu̯	0.243
ˈaʊ̯	ˈɔ̯aː	0.125
ˈaʊ̯	ˈɛːa̯	0.092
ˈaʊ̯	ˈoː	0.085
ˈaː	ˈa	0.615
ˈaː	ˈɔ	0.206
ˈaː	ˈɪ	0.179
ˈeɪ̯	ˈɔːu̯	0.674
ˈeɪ̯	ˈɛ	0.326
ˈeː	ˈøː	0.229
ˈeː	ˈɔ	0.209
ˈeː	ˈeː	0.197
ˈeː	ˈʊ	0.132
ˈeː	ˈiː	0.09
ˈeː	ˈuː	0.061
ˈeː	ˈeə̯	0.055
ˈiː	ˈʊ̯iː	0.715
ˈiː	ˈeː	0.108
ˈiː	ˈɛːa̯	0.089
ˈiː	ˈʊ	0.05
ˈoː	ˈɔ̯aː	0.409
ˈoː	ˈa	0.177
ˈoː	ˈoː	0.105
ˈoː	ˈɛ	0.094
ˈoː	ˈɛːa̯	0.068
ˈoː	j	0.052
ˈuː	ˈʉːu̯	0.492
ˈuː	ˈoː	0.118
ˈuː	ˈʊ	0.112
ˈuː	-	0.09
ˈuː	ʊ	0.09
ˈyː	ˈʊ̯iː	0.473
ˈyː	ˈʉːu̯	0.238
ˈyː	ˈʏ	0.236
ˈyː	ˈɛ	0.054
ˈø	ˈɪ	0.714
ˈø	ˈɛ	0.286
ˈøː	ˈiː	0.302
ˈøː	ˈøː	0.283
ˈøː	ˈɪ	0.165
ˈøː	ˈɔ	0.125
ˈøː	ˈɛːi̯	0.125
ˈœ	ˈɔ	0.529
ˈœ	ˈɛ	0.304
ˈœ	ˈœ	0.168
ˈœː	ˈɛ	0.78
ˈœː	ˈʊ	0.22
ˈɔ	ˈœ	0.418
ˈɔ	ˈa	0.256
ˈɔ	ʎ	0.093
ˈɔ	ˈɔ	0.088
ˈɔ	ˈʊ	0.088
ˈɔ	ˈuː	0.057
ˈɔʏ̯	ˈøː	0.501
ˈɔʏ̯	ˈɔːi̯	0.232
ˈɔʏ̯	ˈɔ	0.205
ˈɔʏ̯	ˈʊ	0.062
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛːa̯	0.348
ˈɛ	j	0.343
ˈɛ	ˈɛ	0.188
ˈɛ	ˈeː	0.122
ˈɛɪ̯	ˈai̯	0.534
ˈɛɪ̯	j	0.466
ˈɛː	ˈɛːa̯	1.0
ˈɪ	ˈɪ	0.523
ˈɪ	ˈɛ	0.112
ˈɪ	ˈʉːu̯	0.071
ˈɪ	ˈeː	0.065
ˈɪ	-	0.058
ˈʊ	ˈʊ	0.917
ˈʏ	ˈɪ	0.367
ˈʏ	ˈʊ	0.246
ˈʏ	ˈuː	0.194
ˈʏ	ˈa	0.085
ˈʏ	ˈɛːa̯	0.056
ˈʏ	ˈɔ	0.051
