Emilian	Emilian	probability
ˈʌu̯_v	ˈu_p	1.0
ˈæ	ˈi	1.0
ˈi	-	1.0
ˈe_t	ˈi_t	1.0
ˈa_j	ˈe	1.0
ˈa_d	e_d	1.0
ʧ_a	k_e	1.0
ʧ	kʲ	1.0
ʤ	ɡ	1.0
ɲ	n	1.0
w	-	1.0
p_#>	p_#>	1.0
p	p	1.0
o	w	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	r_#>	1.0
k_w	p	1.0
k_r	k_r	1.0
f	f	1.0
a_#>	#>	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
r	r	0.969
k	k	0.923
n	n	0.867
#>	e_#>	0.829
ð	ʤ	0.818
u	u	0.818
b	b	0.778
s	s	0.774
ˈe	ˈi	0.75
ˈɛ	ˈa	0.725
ŋ_#>	n_#>	0.714
t	t	0.688
a	ə	0.679
θ	ʧ	0.667
ŋ	n	0.667
i	i	0.667
e_r	r	0.625
ˈʌu̯	ˈu	0.6
ˈɛː	j_ˈa	0.6
ɡ	k	0.6
e	e	0.6
l	r	0.583
ˈuː	ˈo	0.556
ˈɔ	ˈo	0.545
ˈo	ˈu	0.538
ˈɛ_l	ˈe_l	0.5
ˈɛ_l	u_m	0.5
ˈiː	ˈi	0.5
e_n	n_e	0.5
e_n	n	0.5
d	d	0.483
v	v	0.478
ˈʌ	ˈu	0.444
ˈuː	ˈu	0.444
z	ʧ	0.444
ˈaː	ˈa	0.417
l	l	0.417
ˈa	ˈɨ	0.409
ˈa	ˈe	0.409
ˈʌu̯	o̯ˈa	0.4
ˈɛː	ˈe	0.4
v	-	0.391
ˈɔː	o̯ˈa	0.375
e_r	r_u	0.375
j	l	0.357
ˈʌ	-	0.333
ˈaː	-	0.333
z	ʃ	0.333
i	e	0.333
ˈɔː	ˈo	0.312
ˈo	ˈo	0.308
ˈiː	ˈe	0.286
ŋ_#>	#>	0.286
ˈɔ	o̯ˈa	0.273
ˈe	-	0.25
ˈaː	ˈɨ	0.25
d	t	0.241
ˈʌ	ˈo	0.222
z	-	0.222
b	f_r	0.222
t	p_t	0.219
ˈiː	e̯ˈa	0.214
j	ˈi	0.214
j	j	0.214
j	-	0.214
θ	ʦ	0.2
ɡ	ɡ	0.2
ɡ	-	0.2
e	ˈe	0.2
e	-	0.2
ˈɔː	-	0.188
ˈɔ	ˈu	0.182
ð	ʒ	0.182
u	o	0.182
ˈo	o̯ˈa	0.154
d	z	0.138
d	-	0.138
θ	t	0.133
n	e_n	0.133
v	w	0.13
s	ʃ_t	0.129
ˈɛ	j_ˈe	0.125
ˈɔː	ˈau̯	0.125
#>	ə_#>	0.122
a	e	0.113
ŋ	-	0.111
s	ʃ	0.097
t	ʦ	0.094
ˈa	ˈa	0.091
ˈa	-	0.091
k	ʧʲ	0.077
ŋ	ŋ	0.074
ŋ	m	0.074
ŋ	j_n	0.074
a	j	0.057
