Eastern Lombard	Québécois French	probability
b	b	1.0
f	f	1.0
i	i	1.0
p	p	1.0
ʋ	v	1.0
ʧ	j	1.0
k	ʃ	0.431
r	ʁ	0.981
t	-	0.371
ɡ	-	0.631
ɲ	-	0.261
ɲ	ɲ	0.501
ʤ	ʒ	0.231
ˈa	ẽɪ̯̃	0.211
ˈe	ɛ	0.091
ˈe	j	0.131
ˈi	w_ɛ	0.101
ˈi	ẽɪ̯̃	0.231
ˈo	ʊ	0.171
ˈy	u	0.141
ˈɛ	-	0.121
e	ɛ	0.052
j	j	0.2
l	l	0.812
n	n	0.632
ˈe	i	0.242
ˈu	u	0.122
ˈø	-	0.422
n	-	0.273
t	d	0.13
ɲ	ẽɪ̯̃	0.123
ˈu	aœ̯	0.413
ˈø	u	0.083
ˈɔ	ɑɔ̯	0.513
ˈɛ	i	0.063
d	d	0.264
d	-	0.694
z	ʒ	0.884
ɲ	n	0.114
ʤ	ɡ	0.144
ˈa	e	0.294
ˈe	ɪ	0.234
ˈo	ɑɔ̯	0.664
ˈø	y	0.194
a	-	0.115
a	ɛ	0.235
a	a	0.65
e	œ	0.35
e	-	0.525
j	æɛ̯	0.055
o	ɪ	0.055
ʤ	-	0.625
ˈi	ɪ	0.065
ˈo	oʊ̯	0.105
ˈø	øʏ̯	0.105
ˈɛ	ɛ	0.215
e	æɛ̯	0.066
m	m	0.956
n	ã	0.096
t	t	0.466
z	-	0.116
ˈu	ɛ	0.076
ˈø	œ	0.196
ˈɛ	w_ɛ	0.226
j	-	0.267
ˈe	w_ɛ	0.057
ˈe	æɛ̯	0.17
ˈi	i_ʁ	0.087
ˈu	ɒ̃ʊ̯̃	0.267
ˈɔ	ɥ	0.107
ˈɛ	æɛ̯	0.307
j	l	0.478
l	-	0.188
ˈi	i	0.188
ˈɔ	ɔ	0.38
ˈɛ	a	0.068
k	k	0.559
o	-	0.349
o	ɔ	0.549
s	s	0.849
ɡ	ɡ	0.369
ˈa	a	0.099
ˈa	æɛ̯	0.299
ˈi	w	0.059
ˈi	-	0.269
ˈo	u	0.059
ˈu	ɔ	0.089
ˈy	y	0.859
