Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	³⁵	1.0
⁵³	²¹⁴	1.0
⁵	³⁵	1.0
⁴	⁵¹	1.0
ʨʰ	-	1.0
ʔ_³²	⁵⁵	1.0
ʔ	-	1.0
ɤ	ɤ	1.0
ɛ	ɛ	1.0
ɔ̃	ɔ	1.0
ŋ	ŋ	1.0
¹¹	⁵¹	1.0
²⁴	³⁵	1.0
²³	³⁵	1.0
²²	⁵¹	1.0
w_e	i	1.0
w_a	a	1.0
u_t̚	u	1.0
u_j	i	1.0
t̚	-	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_ʔ	w_ɔ	1.0
o	ɑ_w	1.0
n	n	1.0
k̚	-	1.0
j_ã	i_ŋ	1.0
ĩ	j_ɛ	1.0
h_u	y	1.0
b	m	1.0
ã	n	1.0
a_j	ʐ̩	1.0
<#_ʨ	<#	1.0
<#_ɡ	<#	1.0
<#_s	<#	1.0
<#_l	<#	1.0
<#_k	<#	1.0
<#_b	<#_w	1.0
<#	<#_ʂ	1.0
⁴⁴	⁵⁵	0.938
³³	⁵¹	0.882
w	w	0.739
kʰ	kʰ	0.6
k	ʨ	0.571
m	n	0.556
h	x	0.533
j	j	0.524
ʨ	ʦ	0.5
ʨ	ʈ͡ʂ	0.5
ʦʰ	ʦʰ	0.5
ʦʰ	ʈ͡ʂʰ	0.5
ɪ	ɤ	0.5
ɪ	-	0.5
e	a	0.5
j	-	0.476
l	l	0.462
ɔ	u	0.455
t	t	0.455
ɕ	ʂ	0.429
ŋ̍	ɑ_ŋ	0.417
kʰ	ʨʰ	0.4
p	p	0.385
p	f	0.385
ʦ	ʨʰ_ɥ	0.333
ʦ	ʦ	0.333
ʦ	ʂ	0.333
³²	⁵⁵	0.333
³²	⁵¹	0.333
h	f	0.333
l	n	0.308
i	i	0.304
a	a	0.3
ɕ	ɕ	0.286
ɕ	s	0.286
k	k	0.286
t	ʈ͡ʂʰ	0.273
t	ʈ͡ʂ	0.273
ŋ̍	a_n	0.25
u	ə	0.25
u	y	0.25
u	u	0.25
u	-	0.25
p	pʰ	0.231
l	ɤ	0.231
m	w	0.222
m	m	0.222
i	ʐ̩	0.217
a	ɑ	0.2
ɔ	ɑ	0.182
ɔ	w_ɑ	0.182
ɔ	-	0.182
w	a	0.174
ŋ̍	ə_n	0.167
ŋ̍	n	0.167
³²	²¹⁴	0.167
³²	-	0.167
e	j_a	0.167
e	e_j	0.167
e	-	0.167
a	ʊ	0.167
k	ʨʰ	0.143
h	x_w	0.133
a	o	0.133
i	ɻ	0.13
i	z̩	0.13
i	o	0.13
³³	⁵⁵	0.118
w	-	0.087
i	-	0.087
a	j_o	0.067
a	a_j	0.067
a	-	0.067
⁴⁴	-	0.062
